# new DOI queue (mechanistic) generated at 2026-05-15T06:35:11.703377+00:00
# doi,compound,target,optional_study_title,optional_study_year,optional_authors
10.1007/s13205-025-04673-z,,,Neuropharmacology of synaptic plasticity: pathways to cognitive resilience in healthy aging,2026,Falguni Goel; Payal Singh; Sachchida Nand; Dharmendra Kumar Yadav
10.1007/s11916-017-0607-y,,,"Multimodal Analgesia, Current Concepts, and Acute Pain Considerations",2017,Erik Helander; Bethany L. Menard; Chris M. Harmon; Ben Homra; Alexander V. Allain; Gregory J. Bordelon; Melville Q. Wyche; Ira W. Padnos; Anna Lavrova; Alan D. Kaye
10.1038/mp.2017.61,,,Neuronal plasticity and neurotrophic factors in drug responses,2017,Eero Ċastrén; Hanna Antila
10.1016/j.jep.2017.05.016,,,Neuropathic and inflammatory antinociceptive effects and electrocortical changes produced by Salvia divinorum in rats,2017,Karina Simón‐Arceo; Ma. Eva González‐Trujano; Ulises Coffeen; Rodrigo Fernández‐Mas; Francisco Mercado; Angélica Almanza; Bernardo Contreras; Orlando Jaimes; Francisco Pellicer
10.18632/oncotarget.15419,,,Opioids: Modulators of angiogenesis in wound healing and cancer,2017,Martina Ondrovics; Andrea Hoelbl‐Kovacic; Daniela Fux
10.1016/b978-0-444-63930-1.00001-6,,,"Pharmacology and Structure-Activity Relationship of Natural Products With Psychoactive Effects From Salvia divinorum, Mitragyna speciosa, and Ayahuasca",2017,Simon Phipps; Oliver Grundmann
10.1016/bs.apha.2017.09.002,,,Phosphorylation of the Amino Terminus of the Dopamine Transporter: Regulatory Mechanisms and Implications for Amphetamine Action,2017,Caline S. Karam; Jonathan A. Javitch
10.1002/ejp.1075,,,Role of the spinal TrkB‐<scp>NMDA</scp> receptor link in the <scp>BDNF</scp>‐induced long‐lasting mechanical hyperalgesia in the rat: A behavioural study,2017,José Luis Marcos; Danny Galleguillos; Teresa Pélissier; Alejandro Hernández; Luís Velásquez; Luis Villanueva; Luís Constandil
10.1007/164_2017_71,,,SLC6 Transporter Folding Diseases and Pharmacochaperoning,2017,Michael Freissmuth; Thomas Stockner; Sonja Sučić
10.1111/bph.13878,,,THE CONCISE GUIDE TO PHARMACOLOGY 2017/18: G protein‐coupled receptors,2017,S P H Alexander; Arthur Christopoulos; Anthony P. Davenport; Eamonn Kelly; Neil V. Marrion; John A. Peters; Elena Faccenda; Simon D Harding; Adam J Pawson; Joanna L Sharman
10.1038/nrd.2017.16,,,Targeting glutamate signalling in depression: progress and prospects,2017,James W. Murrough; Chadi G. Abdallah; Sanjay J. Mathew
10.1038/tp.2016.282,,,The impact of Disrupted-in-Schizophrenia 1 (DISC1) on the dopaminergic system: a systematic review,2017,Tarik Dahoun; Svenja V. Trossbach; Nicholas J. Brandon; Carsten Korth; Oliver Howes
10.1038/s41467-017-01709-8,,,TrkB dependent adult hippocampal progenitor differentiation mediates sustained ketamine antidepressant response,2017,Zhenzhong Ma; Tong Zang; Shari G. Birnbaum; Zilai Wang; Jane E. Johnson; Chun‐Li Zhang; Luis F. Parada
10.1016/j.neuroimage.2017.07.020,,,Two dose investigation of the 5-HT-agonist psilocybin on relative and global cerebral blood flow,2017,Candace R. Lewis; Katrin H. Preller; Rainer Kraehenmann; Lars Michels; Philipp Stäempfli; Franz X. Vollenweider
10.1038/mp.2017.233,,,VGF function in depression and antidepressant efficacy,2017,Cheng Jiang; W-J Lin; Masato Sadahiro; Benoît Labonté; Caroline Ménard; M L Pfau; Carol A. Tamminga; Gustavo Turecki; Eric J. Nestler; Scott J. Russo
10.1016/j.biopsych.2016.12.020,,,"( R )-Ketamine Shows Greater Potency and Longer Lasting Antidepressant Effects Than Its Metabolite (2 R ,6 R )-Hydroxynorketamine",2016,Chun Yang; Youge Qu; Masahito Abe; Dai Nozawa; Shigeyuki Chaki; Kenji Hashimoto
10.1016/j.pbb.2016.10.004,,,"Acute agmatine administration, similar to ketamine, reverses depressive-like behavior induced by chronic unpredictable stress in mice",2016,Vivian B. Neis; Luis E.B. Bettio; Morgana Moretti; Priscila B. Rosa; Camille M. Ribeiro; Andiara E. Freitas; Filipe Marques Gonçalves; Rodrigo Bainy Leal; Ana Lúcia S. Rodrigues
10.1016/j.euroneuro.2016.03.009,,,Agmatine produces antidepressant-like effects by activating AMPA receptors and mTOR signaling,2016,Vivian B. Neis; Morgana Moretti; Luis E.B. Bettio; Camille M. Ribeiro; Priscila B. Rosa; Filipe Marques Gonçalves; Mark William Lopes; Rodrigo Bainy Leal; Ana Lúcia S. Rodrigues
10.1038/mp.2015.211,,,Antidepressant action of ketamine via mTOR is mediated by inhibition of nitrergic Rheb degradation,2016,Maged M. Harraz; Rakesh K. Tyagi; Pedro Cortés; S H Snyder
10.3109/07853890.2015.1131327,,,"BDNF in sleep, insomnia, and sleep deprivation",2016,Karen Schmitt; Edith Holsboer‐Trachsler; Anne Eckert
10.1007/s11255-016-1315-y,,,BDNF-ERK1/2 signaling pathway in ketamine-associated lower urinary tract symptoms,2016,Xiaolong Wang; Biwen Peng; Chang Xu; Zheng‐Yan Gao; Yuanfei Cao; Zhao Liu; Tongzu Liu
10.1007/s12640-016-9611-y,,,Baicalin Attenuates Ketamine-Induced Neurotoxicity in the Developing Rats: Involvement of PI3K/Akt and CREB/BDNF/Bcl-2 Pathways,2016,Daiying Zuo; Li Lin; Yumiao Liu; Chengna Wang; Jingwen Xu; Feng Sun; Lin Li; Zengqiang Li; Yingliang Wu
10.1038/mp.2016.39,,,"Cocaine self-administration disrupted by the N-methyl-D-aspartate receptor antagonist ketamine: a randomized, crossover trial",2016,Elias Dakwar; Carl L. Hart; Frances R. Levin; Edward V. Nunes; Richard W. Foltin
10.1073/pnas.1603282113,,,Control of serotonin transporter phosphorylation by conformational state,2016,Yuan‐Wei Zhang; Benjamin E. Turk; Gary Rudnick
10.2174/1570159x14666160225154812,,,D-cycloserine in Schizophrenia: New Strategies for Improving Clinical Outcomes by Enhancing Plasticity,2016,Donald Goff
10.1155/2016/8056370,,,Dendritic Spines in Depression: What We Learned from Animal Models,2016,Hui Qiao; Ming-Xing Li; Chang Xu; Hui-Bin Chen; Shu-Cheng An; Xin‐Ming Ma
10.1038/nm.4225,,,Developmental timing and critical windows for the treatment of psychiatric disorders,2016,Òscar Marín
10.1038/npp.2016.21,,,Early-Life Social Isolation Stress Increases Kappa Opioid Receptor Responsiveness and Downregulates the Dopamine System,2016,Anushree N. Karkhanis; Jamie H. Rose; Jeffrey L. Weiner; Sara R. Jones
10.3389/fphar.2016.00348,,,Effects of Ketamine on Resting-State EEG Activity and Their Relationship to Perceptual/Dissociative Symptoms in Healthy Humans,2016,Sara de la Salle; Joëlle Choueiry; Dhrasti Shah; Hayley Bowers; Judy McIntosh; Vadim Ilivitsky; Verner Knott
10.1016/j.clinph.2016.03.005,,,Electroencephalogram signatures of ketamine anesthesia-induced unconsciousness,2016,Oluwaseun Akeju; Andrew H. Song; Allison E. Hamilos; Kara J. Pavone; Francisco Flores; Emery N. Brown; Patrick L. Purdon
10.26686/wgtn.17014082.v1,,,Exploring the Aversive and Anxiogenic Effects of Novel Kappa Opioid Receptor Agonists in Rats,2016,Aimee Culverhouse
10.1016/j.neuropharm.2016.09.011,,,Fast-acting antidepressants rapidly stimulate ERK signaling and BDNF release in primary neuronal cultures,2016,Ashley E. Lepack; Eunyoung Bang; Boyoung Lee; Jason M. Dwyer; Ronald S. Duman
10.1038/srep21322,,,Hedonic sensitivity to low-dose ketamine is modulated by gonadal hormones in a sex-dependent manner,2016,Samantha K. Saland; Kristin J. Schoepfer; Mohamed Kabbaj
10.1016/j.neuroimage.2016.12.032,,,Imaging the neuroplastic effects of ketamine with VBM and the necessity of placebo control,2016,Anna Höflich; Sebastian Ganger; Martin Tik; Andreas Hahn; Georg S. Kranz; Thomas Vanicek; Marie Spies; Christoph Kraus; Christian Windischberger; Siegfried Kasper
10.1016/j.biopha.2016.10.094,,,Inhibition of long non-coding RNA IGF2AS protects apoptosis and neuronal loss in anesthetic-damaged mouse neural stem cell derived neurons,2016,Chengwei Song; Chengjun Song; Kui Chen; Xiang Dong Zhang
10.1038/tp.2016.116,,,Involvement of the agmatinergic system in the depressive-like phenotype of the Crtc1 knockout mouse model of depression,2016,Elsa M. Meylan; Lionel Breuillaud; Tamara Seredenina; Pierre J. Magistretti; Olivier Halfon; Ruth Luthi‐Carter; J-R Cardinaux
10.1101/084525,,,Isoflurane produces antidepressant effects and induces TrkB signaling in rodents,2016,Hanna Antila; Maria Ryazantseva; Dina Popova; Pia Sipilä; Ramón Guirado; Samuel Kohtala; İpek Yalçın; Jesse Lindholm; Liisa Vesa; Vinicius Sato
10.1016/j.nbd.2016.12.026,,,Ketamine accelerates fear extinction via mTORC1 signaling,2016,Matthew J. Girgenti; Sriparna Ghosal; Dora Lopresto; Jane R. Taylor; Ronald S. Duman
10.1016/j.neuropharm.2016.04.021,,,Ketamine modulates hippocampal neurogenesis and pro-inflammatory cytokines but not stressor induced neurochemical changes,2016,Melanie Clarke; Sara Razmjou; Natalie Prowse; Zach Dwyer; Darcy Litteljohn; Rowan Pentz; Hymie Anisman; Shawn Hayley
10.1111/bdi.12436,,,Ketamine‐induced inhibition of glycogen synthase kinase‐3 contributes to the augmentation of α‐amino‐3‐hydroxy‐5‐methylisoxazole‐4‐propionic acid (AMPA) receptor signaling,2016,Eléonore Beurel; Steven F. Grieco; Celeste Amadei; Kimberlee Downey; Richard S. Jope
10.1016/j.biopha.2016.05.050,,,Long noncoding RNA BDNF-AS regulates ketamine-induced neurotoxicity in neural stem cell derived neurons,2016,Xiaozhu Zheng; Chunshui Lin; Yuhong Li; Jing Ye; Jiali Zhou; Peipei Guo
10.1523/eneuro.0133-15.2016,,,Longitudinal Effects of Ketamine on Dendritic Architecture<i>In Vivo</i>in the Mouse Medial Frontal Cortex,2016,Victoria Phoumthipphavong; Florent Barthas; Samantha Hassett; Alex C. Kwan
10.1038/ncomms12540,,,Microglia contact induces synapse formation in developing somatosensory cortex,2016,Akiko Miyamoto; Hiroaki Wake; Ayako Ishikawa; Kei Eto; Keisuke Shibata; Hideji Murakoshi; Schuichi Koizumi; Andrew J. Moorhouse; Yumiko Yoshimura; Junichi Nabekura
10.1111/epi.13480,,,Midazolam–ketamine dual therapy stops cholinergic status epilepticus and reduces Morris water maze deficits,2016,Jérôme Niquet; Roger A. Baldwin; Keith M. Norman; Lucie Suchomelová; Lucille A. Lumley; Claude G. Wasterlain
10.1038/mp.2015.194,,,Misassembly of full-length Disrupted-in-Schizophrenia 1 protein is linked to altered dopamine homeostasis and behavioral deficits,2016,Svenja V. Trossbach; Verian Bader; Laura Hecher; M.E. Pum; Shababa T. Masoud; Ingrid Prikulis; Sandra Schäble; M A de Souza Silva; Ping Su; Benoit Boulat
10.1002/ptr.5599,,,Molecular Signaling Pathways Behind the Biological Effects of<i>Salvia</i>Species Diterpenes in Neuropharmacology and Cardiology,2016,Maryam Akaberi; Mehrdad Iranshahi; Soghra Mehri
10.1371/journal.pone.0157602,,,N-Acetyl Cysteine May Support Dopamine Neurons in Parkinson's Disease: Preliminary Clinical and Cell Line Data,2016,Daniel Monti; George Zabrecky; Daniel Kremens; Tsao‐Wei Liang; Nancy Wintering; Jingli Cai; Xiatao Wei; Anthony J. Bazzan; Zhong Li; Brendan Bowen
10.1159/000454985,,,Nardostachys jatamansi Targets BDNF-TrkB to Alleviate Ketamine-Induced Schizophrenia-Like Symptoms in Rats,2016,Anjali Janardhanan; Anjana Sadanand; Arambakkam Janardhanam Vanisree
10.1038/srep26331,,,PKA-CREB-BDNF signaling regulated long lasting antidepressant activities of Yueju but not ketamine,2016,Wenda Xue; Wei Wang; Tong Gong; Hailou Zhang; Weiwei Tao; Lihong Xue; Yan Sun; Fushun Wang; Gang Chen
10.1074/jbc.m116.749119,,,Pharmacological Chaperones of the Dopamine Transporter Rescue Dopamine Transporter Deficiency Syndrome Mutations in Heterologous Cells,2016,Pieter Beerepoot; Vincent Lam; Ali Salahpour
10.1126/scitranslmed.aaf7151,,,Post-anesthesia AMPA receptor potentiation prevents anesthesia-induced learning and synaptic deficits,2016,Lianyan Huang; Joseph Cichon; Ipe Ninan; Guang Yang
10.4103/1673-5374.177708,,,Practical application of the neuroregenerative properties of ketamine: real world treatment experience,2016,Theodore A. Henderson
10.1093/ijnp/pyw089,,,Rapid and Sustained Antidepressant Action of the mGlu2/3 Receptor Antagonist MGS0039 in the Social Defeat Stress Model: Comparison with Ketamine,2016,Chao Dong; Ji-chun Zhang; Wei Yao; Qian Ren; Min Ma; Chun Yang; Shigeyuki Chaki; Kenji Hashimoto
10.1038/srep21548,,,μ Opioid receptor: novel antagonists and structural modeling,2016,Teresa Kaserer; Aquilino Lantero; Helmut Schmidhammer; Mariana Spetea; Daniela Schuster
10.1038/mp.2015.176,,,Activation of a ventral hippocampus–medial prefrontal cortex pathway is both necessary and sufficient for an antidepressant response to ketamine,2015,Flavia Carreño; Jennifer J. Donegan; Angela M. Boley; Aparna Shah; M DeGuzman; Alan Frazer; Daniel J. Lodge
10.1073/pnas.1511670112,,,Amphetamine activates Rho GTPase signaling to mediate dopamine transporter internalization and acute behavioral effects of amphetamine,2015,David Wheeler; Suzanne M. Underhill; Donna B. Stolz; Geoffrey Murdoch; Edda Thiels; Guillermo Romero; Susan Amara
10.1021/acschemneuro.5b00099,,,An Orally Active Phenylaminotetralin-Chemotype Serotonin 5-HT<sub>7</sub>and 5-HT<sub>1A</sub>Receptor Partial Agonist That Corrects Motor Stereotypy in Mouse Models,2015,Clinton E. Canal; Daniel E. Felsing; Yue Liu; Wanying Zhu; JodiAnne T. Wood; Charles K. Perry; Rajender Vemula; Raymond G. Booth
10.1093/jat/bkv073,,,"Analysis of 25I-NBOMe, 25B-NBOMe, 25C-NBOMe and Other Dimethoxyphenyl-<i>N</i>-[(2-Methoxyphenyl) Methyl]Ethanamine Derivatives on Blotter Paper",2015,Justin L. Poklis; Stephen A. Raso; Kylie N. Alford; Alphonse Poklis; Michelle R. Peace
10.1016/j.pnpbp.2015.06.001,,,Antidepressant drug action — From rapid changes on network function to network rewiring,2015,Tomi Rantamäki; İpek Yalçın
10.1016/j.neuropharm.2015.10.034,,,BDNF – a key transducer of antidepressant effects,2015,Carl Björkholm; Lisa M. Monteggia
10.1038/tp.2015.157,,,BDNF–TrkB signaling in the nucleus accumbens shell of mice has key role in methamphetamine withdrawal symptoms,2015,Qian Ren; Min Ma; Chun Yang; J-C Zhang; Wei Yao; Kenji Hashimoto
10.1523/jneurosci.1391-15.2015,,,Brain Region-Specific Trafficking of the Dopamine Transporter,2015,Ethan R. Block; Jacob Nuttle; Judith Joyce Balcita‐Pedicino; John Caltagarone; Simon C. Watkins; Susan R. Sesack; Alexander Sorkin
10.1007/s00213-015-4062-3,,,"Comparison of ketamine, 7,8-dihydroxyflavone, and ANA-12 antidepressant effects in the social defeat stress model of depression",2015,Ji‐chun Zhang; Wei Yao; Chao Dong; Chun Yang; Qian Ren; Min Ma; Mei Han; Kenji Hashimoto
10.1007/s12035-015-9580-9,,,"Creatine, Similar to Ketamine, Counteracts Depressive-Like Behavior Induced by Corticosterone via PI3K/Akt/mTOR Pathway",2015,Francis L. Pazini; Maurício P. Cunha; Júlia M. Rosa; André R.S. Colla; Vicente Lieberknecht; Ágatha Oliveira‐Giacomelli; Ana Lúcia S. Rodrigues
10.1074/jbc.m115.691592,,,Dopamine Transporter Activity Is Modulated by α-Synuclein,2015,Brittany Butler; Kaustuv Saha; Tanu Rana; Jonas P. Becker; Danielle Sambo; Paran Davari; J. Shawn Goodwin; Habibeh Khoshbouei
10.1016/j.pharep.2015.08.010,,,Effects of ketamine administration on the phosphorylation levels of CREB and TrKB and on oxidative damage after infusion of MEK inhibitor,2015,Gislaine Z. Réus; Helena M. Abaleira; Stephanie E. Titus; Camila O. Arent; Monique Michels; Jaine R. da Luz; Maria Augusta B. dos Santos; Anelise S. Carlessi; Beatriz I. Matias; Lívia Bruchchen
10.1016/j.bcp.2015.03.011,,,Emerging mechanisms and treatments for depression beyond SSRIs and SNRIs,2015,Elena Dale; Benny Bang‐Andersen; Connie Sánchez
10.2174/1566524015666150330143008,,,Glutamate Signaling in Synaptogenesis and NMDA Receptors as Potential Therapeutic Targets for Psychiatric Disorders,2015,Yuta Ohgi; Takashi Futamura; Kenji Hashimoto
10.3390/ijms16047796,,,Inflammatory Biomarkers as Differential Predictors of Antidepressant Response,2015,Kenji Hashimoto
10.1124/jpet.114.222356,,,"Interactions between Bupropion and 3,4-Methylenedioxymethamphetamine in Healthy Subjects",2015,Yasmin Schmid; Anna Rickli; Antonia Schaffner; Urs Duthaler; Eric Grouzmann; Cédric M. Hysek; Matthias E. Liechti
10.3389/fphar.2015.00006,,,Interactions of the opioid and cannabinoid systems in reward: Insights from knockout studies,2015,Befort Katia
10.1038/srep13573,,,Involvement of normalized NMDA receptor and mTOR-related signaling in rapid antidepressant effects of Yueju and ketamine on chronically stressed mice,2015,Juanjuan Tang; Wenda Xue; Baomei Xia; Li Ren; Weiwei Tao; Chang Chen; Hailou Zhang; Ruyan Wu; Qisheng Wang; Haoxin Wu
10.1176/appi.ajp.2015.14121537,,,Ketamine Inside Neurons?,2015,Henry A. Lester; Luke D. Lavis; Dennis A. Dougherty
10.1038/npp.2015.70,,,"Ketamine Strengthens CRF-Activated Amygdala Inputs to Basal Dendrites in mPFC Layer V Pyramidal Cells in the Prelimbic but not Infralimbic Subregion, A Key Suppressor of Stress Responses",2015,Rong-Jian Liu; Kristie T. Ota; Sophie Dutheil; Ronald S. Duman; George K. Aghajanian
10.1016/j.bbr.2015.01.010,,,Ketamine administration during the second postnatal week induces enduring schizophrenia-like behavioral symptoms and reduces parvalbumin expression in the medial prefrontal cortex of adult mice,2015,Vivek Jeevakumar; Christopher Driskill; Alyssa Paine; Millad Sobhanian; Haris Vakil; Brett Morris; Jeremiah Ramos; Sven Kroener
10.1176/appi.ajp.2015.15040465,,,Ketamine and Other NMDA Antagonists: Early Clinical Trials and Possible Mechanisms in Depression,2015,D. Jeffrey Newport; Linda L. Carpenter; William M. McDonald; James B. Potash; Mauricio Tohen; Charles B. Nemeroff
10.1016/j.seizure.2015.05.010,,,Ketamine for the treatment of refractory status epilepticus,2015,Fang Yao; Xuefeng Wang
10.1093/ijnp/pyv040,,,Ketamine-Induced Modulation of the Thalamo-Cortical Network in Healthy Volunteers As a Model for Schizophrenia,2015,Anna Höflich; Andreas Hahn; Martin Küblböck; Georg S. Kranz; Thomas Vanicek; Christian Windischberger; Alois Saria; Siegfried Kasper; Dietmar Winkler; Rupert Lanzenberger
10.1093/cercor/bhv018,,,NMDA Receptor Antagonist Ketamine Distorts Object Recognition by Reducing Feedback to Early Visual Cortex,2015,Anouk M. van Loon; Johannes J. Fahrenfort; Bauke van der Velde; Philipp Lirk; Nienke Vulink; Markus W. Hollmann; H. Steven Scholte; Victor A. F. Lamme
10.1016/s0140-6736(15)00608-x,,,"Neurodevelopmental outcome at 2 years of age after general anaesthesia and awake-regional anaesthesia in infancy (GAS): an international multicentre, randomised controlled trial",2015,Andrew Davidson; Nicola Disma; Jurgen C. de Graaff; Davinia E. Withington; Liam Dorris; Graham Bell; Robyn Stargatt; David C. Bellinger; Tibor Schuster; Sarah Arnup
10.1038/nature14431,,,Neurotransmitter and psychostimulant recognition by the dopamine transporter,2015,Kevin H. Wang; Aravind Penmatsa; Eric Gouaux
10.26686/wgtn.17014103,,,Pre-clinical Anti-Addictive and Side-Effect profiles of Novel Kappa-opioid Agonists,2015,David A. Young
10.1038/nature14680,,,Propagation of conformational changes during μ-opioid receptor activation,2015,Rémy Sounier; Camille Mas; Jan Steyaert; Toon Laeremans; Aashish Manglik; Weijiao Huang; Brian K. Kobilka; Hélène Déméné; Sébastien Granier
10.1007/s00213-015-4128-2,,,Regulation of glutamate transporter 1 via BDNF-TrkB signaling plays a role in the anti-apoptotic and antidepressant effects of ketamine in chronic unpredictable stress model of depression,2015,Wenxue Liu; Jing Wang; Ze-Min Xie; Ning Xu; Guang-Fen Zhang; Min Jia; Zhiqiang Zhou; Kenji Hashimoto; Jianjun Yang
10.1097/aln.0000000000000579,,,Repeated Exposure to Ketamine–Xylazine during Early Development Impairs Motor Learning–dependent Dendritic Spine Plasticity in Adulthood,2015,Lianyan Huang; Guang Yang
10.1016/j.pnpbp.2015.02.015,,,"Role of calcium, glutamate and NMDA in major depression and therapeutic application",2015,Lorenz Deutschenbaur; Johannes Beck; Anna Kiyhankhadiv; Markus Mühlhauser; Stefan Borgwardt; Marc Walter; Gregor Hasler; Daniel Sollberger; Undine E. Lang
10.1093/ijnp/pyv039,,,Serotonergic Psychedelics Temporarily Modify Information Transfer in Humans,2015,Joan Francesc Alonso; Sergio Romero; Miguel Ángel Mañanas; Jordi Riba
10.3389/fnins.2015.00466,,,Sex Differences in Kappa Opioid Receptor Function and Their Potential Impact on Addiction,2015,Elena H. Chartoff; Maria Mavrikaki
10.1038/mp.2015.91,,,Sex differences in glutamate receptor gene expression in major depression and suicide,2015,Aidan Gray; Thomas M. Hyde; Amy Deep‐Soboslay; Joel E. Kleinman; Monsheel Sodhi
10.4088/jcp.14l09527,,,"Single-Dose Ketamine Followed by Daily &lt;span style=""font-variant:small-caps; ""&gt;d&lt;/span&gt;-Cycloserine in Treatment-Resistant Bipolar Depression",2015,Joshua T. Kantrowitz; Batsheva Halberstam; James E. Gangwisch
10.1016/j.neuropharm.2015.10.025,,,Social isolation rearing increases dopamine uptake and psychostimulant potency in the striatum,2015,Jordan T. Yorgason; Erin S. Calipari; Mark J. Ferris; Anushree N. Karkhanis; Steve C. Fordahl; Jeffrey L. Weiner; Sara R. Jones
10.1016/j.neulet.2015.01.022,,,Spine synapse remodeling in the pathophysiology and treatment of depression,2015,Catharine H. Duman; Ronald S. Duman
10.1016/j.biopsych.2015.08.035,,,"Spines, Synapses, and Schizophrenia",2015,Alfredo Ramos‐Miguel; Alasdair M. Barr; William G. Honer
10.1021/cn500282f,,,Structural Analysis of Dopamine- and Amphetamine-Induced Depolarization Currents in the Human Dopamine Transporter,2015,Qiong‐Yao Tang; Renata Kolanoś; Louis J. DeFelice; Richard A. Glennon
10.1124/jpet.114.222299,,,Studies of the Biogenic Amine Transporters 15. Identification of Novel Allosteric Dopamine Transporter Ligands with Nanomolar Potency,2015,Richard B. Rothman; Subramaniam Ananthan; John S. Partilla; Surendra Kumar Saini; Omar Moukha‐Chafiq; Vibha Pathak; Michael H. Baumann
10.1016/j.bmcl.2015.09.045,,,Synthesis and pharmacological evaluation of piperidine (piperazine)-substituted benzoxazole derivatives as multi-target antipsychotics,2015,Ling Huang; Wenjun Zhang; Xiaohua Zhang; Lei Yin; Bangyin Chen; Jinchun Song
10.1016/j.ejmech.2015.12.012,,,Synthesis of mixed MOR/KOR efficacy cyclic opioid peptide analogs with antinociceptive activity after systemic administration,2015,Renata Perlikowska; Justyna Piekielna‐Ciesielska; Luca Gentilucci; Rossella De Marco; Maria Camilla Cerlesi; Girolamo Calò; Roberto Artali; Csaba Tömböly; Alicja Kluczyk; Anna Janecka
10.2174/1570159x1304150831150507,,,The Effects of Psychological Stress on Depression,2015,Longfei Yang; Yinghao Zhao; Yicun Wang; Lei Liu; Xingyi Zhang; Bingjin Li; Ranji Cui
10.1093/ijnp/pyu102,,,The Mood Stabilizer Lithium Potentiates the Antidepressant-Like Effects and Ameliorates Oxidative Stress Induced by Acute Ketamine in a Mouse Model of Stress,2015,Chi‐Tso Chiu; Lisa Scheuing; Guangping Liu; Hsiao‐Mei Liao; Gabriel Linares; Dora H. Lin; De‐Maw Chuang
10.1371/journal.pone.0118143,,,The Psychedelic State Induced by Ayahuasca Modulates the Activity and Connectivity of the Default Mode Network,2015,Fernanda Palhano-Fontes; Kátia C. Andrade; Luís Fernando Tófoli; Antônio Carlos dos Santos; Jose Alexandre S. Crippa; Jorge Hallak; Sidarta Ribeiro; Dráulio Barros de Araújo
10.1016/j.drugalcdep.2015.01.030,,,The dopamine transporter gene may not contribute to susceptibility and the specific personality traits of amphetamine dependence,2015,Nian-Sheng Tzeng; Ru‐Band Lu; Hui-Wen Yeh; Yi‐Wei Yeh; Chang-Chih Huang; Che-Hung Yen; Shin-Chang Kuo; Chun‐Yen Chen; Hsin‐An Chang; Pei‐Shen Ho
10.1016/j.clinph.2015.10.062,,,The effects of ketamine on the mismatch negativity (MMN) in humans – A meta-analysis,2015,Timm Rosburg; Ilonka Kreitschmann‐Andermahr
10.1016/j.phrs.2015.12.014,,,The modulation of BDNF expression and signalling dissects the antidepressant from the reinforcing properties of ketamine: Effects of single infusion vs. chronic self-administration in rats,2015,Lucia Caffino; Marzia Di Chio; Giuseppe Giannotti; Marco Vènniro; Anna Mutti; Laura Padovani; David W. Cheung; Guido Francesco Fumagalli; David T. Yew; Fabio Fumagalli
10.1007/s00213-015-4181-x,,,The nitric oxide donor sodium nitroprusside attenuates recognition memory deficits and social withdrawal produced by the NMDA receptor antagonist ketamine and induces anxiolytic-like behaviour in rats,2015,Aikaterini Trevlopoulou; Ntilara Touzlatzi; Nikolaos Pitsikas
10.1038/aps.2015.32,,,The role of the dynorphin/κ opioid receptor system in anxiety,2015,Ai Hang; Yujun Wang; Ling He; Jing‐Gen Liu
10.1016/j.neubiorev.2015.03.005,,,The role of α-amino-3-hydroxy-5-methyl-4-isoxazolepropionic acid (AMPA) receptors in depression: Central mediators of pathophysiology and antidepressant activity?,2015,Florian Freudenberg; Tansu Celikel; Andreas Reif
10.1016/j.neuropharm.2015.12.012,,,Vortioxetine promotes maturation of dendritic spines in vitro: A comparative study in hippocampal cultures,2015,Jessica A. Waller; Fenghua Chen; Connie Sánchez
10.1523/jneurosci.1978-13.2015,,,κ Opioid Receptors in the Nucleus Accumbens Shell Mediate Escalation of Methamphetamine Intake,2015,Timothy W. Whitfield; Joel E. Schlosburg; Sunmee Wee; Adam Gould; Olivier George; Yanabel Grant; Eva R. Zamora-Martinez; Scott Edwards; Elena Crawford; Leandro F. Vendruscolo
10.1038/tp.2013.112,,,A possible mechanism of the nucleus accumbens and ventral pallidum 5-HT1B receptors underlying the antidepressant action of ketamine: a PET study with macaques,2014,Hiroki Yamanaka; Chihiro Yokoyama; Hiroshi Mizuma; S Kurai; Sjoerd J. Finnema; Christer Halldin; Hisashi Doi; Hirotaka Onoe
10.1124/jpet.114.218578,,,"Acute Effects of Brexpiprazole on Serotonin, Dopamine, and Norepinephrine Systems: An In Vivo Electrophysiologic Characterization",2014,Chris A. Oosterhof; Mostafa El Mansari; Pierre Blier
10.1016/j.neuron.2014.05.043,,,Amphetamine Modulates Excitatory Neurotransmission through Endocytosis of the Glutamate Transporter EAAT3 in Dopamine Neurons,2014,Suzanne M. Underhill; David Wheeler; Minghua Li; Spencer D. Watts; Susan Ingram; Susan Amara
10.1111/jnc.12808,,,Amphetamine potency varies with dopamine uptake rate across striatal subregions,2014,Cody A. Siciliano; Erin S. Calipari; Sara R. Jones
10.1007/s00213-014-3697-9,,,Anxiolytic effects of ketamine in animal models of posttraumatic stress disorder,2014,Liming Zhang; Wenwen Zhou; Yajun Ji; Ying Li; Nan Zhao; Hongxia Chen; Rui Xue; Xin-Guo Mei; You‐Zhi Zhang; Henglin Wang
10.1093/ijnp/pyu033,,,BDNF Release Is Required for the Behavioral Actions of Ketamine,2014,Ashley E. Lepack; Manabu Fuchikami; J. M. Dwyer; Mounira Banasr; R. S. Duman
10.1523/jneurosci.4050-13.2014,,,Biphasic Mechanisms of Amphetamine Action at the Dopamine Terminal,2014,Cody A. Siciliano; Erin S. Calipari; Mark J. Ferris; Sara R. Jones
