# discovered queue (mechanistic) generated at 2026-05-15T06:35:09.796789+00:00
# doi,compound,target,optional_study_title,optional_study_year,optional_authors
10.1007/s13205-025-04673-z,,,Neuropharmacology of synaptic plasticity: pathways to cognitive resilience in healthy aging,2026,Falguni Goel; Payal Singh; Sachchida Nand; Dharmendra Kumar Yadav
10.1111/j.1471-4159.2010.06898.x,,,Involvement of threonine 258 and serine 259 motif in amphetamine‐induced norepinephrine transporter endocytosis,2010,Balasubramaniam Annamalai; Padmanabhan Mannangatti; Obulakshmi Arapulisamy; Sammanda Ramamoorthy; Lankupalle D. Jayanthi
10.1007/s00213-010-1827-6,,,"Kappa opioid mediation of cannabinoid effects of the potent hallucinogen, salvinorin A, in rodents",2010,D. Matthew Walentiny; Robert E. Vann; Jonathan A. Warner; Lindsey S. King; Herbert H. Seltzman; Hernán A. Navarro; Charles E. Twine; Brian F. Thomas; Anne F. Gilliam; Brian P. Gilmour
10.1016/j.neuroscience.2010.03.032,,,Ketamine impairs recognition memory consolidation and prevents learning-induced increase in hippocampal brain-derived neurotrophic factor levels,2010,Bruno Kilpp Goulart; Maria Noêmia Martins de Lima; Caroline Brunetto de Farias; Gustavo Kellermann Reolon; Viviane Rösner de Almeida; João Quevedo; Flávio Kapczinski; Nadja Schröder; Rafael Roesler
10.1093/bja/aeq169,,,Ketamine induces apoptosis via the mitochondrial pathway in human lymphocytes and neuronal cells,2010,Sebastian Braun; Nina Gaza; Robert Werdehausen; Henning Hermanns; Inge Bauer; Marcel E. Durieux; Markus W. Hollmann; Markus F. Stevens
10.1007/s00213-010-2103-5,,,"Lack of effect of sublingual salvinorin A, a naturally occurring kappa opioid, in humans: a placebo-controlled trial",2010,John Mendelson; Jeremy Coyle; Juan Carlos Rivero López; Matthew J. Baggott; Keith Flower; E. Thomas Everhart; Thomas A. Munro; Gantt P. Galloway; Bruce M. Cohen
10.1016/j.neuroscience.2010.03.018,,,MDMA causes a redistribution of serotonin transporter from the cell surface to the intracellular compartment by a mechanism independent of phospho-p38-mitogen activated protein kinase activation,2010,Bronwyn M. Kivell; Darren J. Day; Peter Bösch; Susan Schenk; Jeffrey D. Miller
10.1074/jbc.m110.118000,,,Mutations in the Carboxyl-terminal SEC24 Binding Motif of the Serotonin Transporter Impair Folding of the Transporter,2010,Ali El‐Kasaby; Herwig Just; Elisabeth K. Malle; Peggy Stolt-Bergner; Harald H. Sitte; Michael Freissmuth; Oliver Kudlacek
10.1016/j.cveq.2010.07.009,,,NMDA Receptor Antagonists and Pain: Ketamine,2010,William W. Muir
10.1111/j.1526-4637.2010.00981.x,,,NMDA Receptor Antagonists for the Treatment of Neuropathic Pain,2010,Susan E. Collins; Marnix Sigtermans; Albert Dahan; W. W. A. Zuurmond; Roberto S.G.M. Perez
10.1186/gm213,,,New insights into the roles of microRNAs in drug addiction and neuroplasticity,2010,Jean‐Luc Dreyer
10.1002/jnr.22367,,,"Normal thermoregulatory responses to 3‐iodothyronamine, trace amines and amphetamine‐like psychostimulants in trace amine associated receptor 1 knockout mice",2010,Helen N. Panas; Laurie J. Lynch; Eric J. Vallender; Zhihua Xie; Guo Lin Chen; Spencer K. Lynn; Thomas S. Scanlan; Gregory M. Miller
10.1016/j.tetlet.2010.07.144,,,Novel neoclerodane diterpene derivatives from the smoke of salvinorin A,2010,Zhongze Ma; Gang Deng; David Y.W. Lee
10.1007/s10519-009-9331-7,,,Polymorphisms in Dopamine Transporter (SLC6A3) are Associated with Stimulant Effects of d-Amphetamine: An Exploratory Pharmacogenetic Study Using Healthy Volunteers,2010,Ajna Hamidovic; Andrea Dlugos; Abraham A. Palmer; Harriet de Wit
10.1074/jbc.m110.131003,,,Postendocytic Sorting of Constitutively Internalized Dopamine Transporter in Cell Lines and Dopaminergic Neurons,2010,Jacob Eriksen; Walden E. Bjørn‐Yoshimoto; Trine N. Jørgensen; Amy Hauck Newman; Ulrik Gether
10.1371/journal.pone.0009019,,,Psychedelics and the Human Receptorome,2010,Thomas S. Ray
10.1016/j.pbb.2010.03.006,,,Psychostimulant-like discriminative stimulus and locomotor sensitization properties of the wake-promoting agent modafinil in rodents,2010,Neil E. Paterson; Allison Fedolak; Berend Olivier; Taleen Hanania; Afshin Ghavami; Barbara J. Caldarone
10.1523/jneurosci.4574-09.2010,,,Rab11 Supports Amphetamine-Stimulated Norepinephrine Transporter Trafficking,2010,H Matthies; Jessica L. Moore; Christine Saunders; Dawn Signor Matthies; Lynne A. Lapierre; James R. Goldenring; Randy Blakely; Aurelio Galli
10.1111/j.1471-4159.2010.06599.x,,,Regulation of dopamine transporter function by protein‐protein interactions: new discoveries and methodological challenges,2010,Jacob Eriksen; Trine N. Jørgensen; Ulrik Gether
10.1111/j.1749-6632.2009.05148.x,,,Regulation of the dopamine transporter,2010,Kyle C. Schmitt; Maarten E. A. Reith
10.1523/jneurosci.1682-10.2010,,,Role of Aberrant Striatal Dopamine D<sub>1</sub>Receptor/cAMP/Protein Kinase A/DARPP32 Signaling in the Paradoxical Calming Effect of Amphetamine,2010,Francesco Napolitano; Alessandra Bonito-Oliva; Mauro Federici; Manolo Carta; Francesco Errico; Salvatore Magara; Giuseppina Martella; Robert Nisticò; Diego Centonze; Antonio Pisani
10.1007/s00213-010-1834-7,,,Role of kappa-opioid receptors in the effects of salvinorin A and ketamine on attention in rats,2010,Christina L. Nemeth; Tracie A. Paine; Joseph E. Rittiner; Cécile Béguin; F. Ivy Carroll; Bryan L. Roth; Bruce M. Cohen; William A. Carlezon
10.1186/1756-6606-3-25,,,"Schizophrenia, amphetamine-induced sensitized state and acute amphetamine exposure all show a common alteration: increased dopamine D2 receptor dimerization",2010,Min Wang; Lin Pei; Paul Fletcher; Shitij Kapur; Philip Seeman; Fang Liu
10.1523/jneurosci.1665-10.2010,,,"Serotonin, But Not <i>N</i> -Methyltryptamines, Activates the Serotonin 2A Receptor Via a β-Arrestin2/Src/Akt Signaling Complex <i>In Vivo</i>",2010,Cullen L. Schmid; Laura Bohn
10.1016/j.bmcl.2010.11.046,,,Synthesis and biological evaluation of new salvinorin A analogues incorporating natural amino acids,2010,Jakub Fichna; Kevin Lewellyn; Feng Yan; Bryan L. Roth; Jordan K. Zjawiony
10.1016/j.peptides.2010.04.018,,,Synthesis and biological evaluation of novel peripherally active morphiceptin analogs,2010,Katarzyna Gach; Jean Claude do-Rego; Jakub Fichna; Martin Storr; Dick Delbro; Géza Tóth; Anna Janecka
10.1007/128_2010_82,,,Synthesis of Neoclerodane Diterpenes and Their Pharmacological Effects,2010,Kimberly M. Lovell; Katherine M. Prevatt‐Smith; Anthony Lozama; Thomas E. Prisinzano
10.1016/j.biopsych.2010.10.002,,,The 5-HT2A/1A Agonist Psilocybin Disrupts Modal Object Completion Associated with Visual Hallucinations,2010,Michael Kometer; B. Rael Cahn; David Andel; Olivia Carter; Franz X. Vollenweider
10.1124/mol.110.067538,,,The High-Affinity Binding Site for Tricyclic Antidepressants Resides in the Outer Vestibule of the Serotonin Transporter,2010,Subhodeep Sarker; René Weissensteiner; Ilka Steiner; Harald H. Sitte; Gerhard F. Ecker; Michael Freissmuth; Sonja Sučić
10.1074/jbc.m109.083154,,,The N Terminus of Monoamine Transporters Is a Lever Required for the Action of Amphetamines,2010,Sonja Sučić; Stefan Dallinger; Barbara Zdrazil; René Weissensteiner; Trine N. Jørgensen; Marion Holy; Oliver Kudlacek; Stefan Seidel; Joo Hwan; Ulrik Gether
10.1523/jneurosci.1491-10.2010,,,The NADPH Oxidase NOX2 Controls Glutamate Release: A Novel Mechanism Involved in Psychosis-Like Ketamine Responses,2010,Silvia Sorce; Stefania Schiavone; Paolo Tucci; Marilena Colaianna; Vincent Jaquet; V. Cuomo; Michel Dubois‐Dauphin; Luigia Trabace; Karl-Heinz Krause
10.1007/s00213-009-1771-5,,,The discriminative effects of the κ-opioid hallucinogen salvinorin A in nonhuman primates: dissociation from classic hallucinogen effects,2010,Eduardo R. Butelman; Szymon Rus; Thomas E. Prisinzano; Mary Jeanne Kreek
10.1016/j.euroneuro.2010.04.007,,,The effect of chronic methylphenidate administration on presynaptic dopaminergic parameters in a rat model for ADHD,2010,Y. Simchon; Abraham Weizman; Moshe Rehavi
10.1007/s00213-010-1799-6,,,The effects of kappa-opioid receptor ligands on prepulse inhibition and CRF-induced prepulse inhibition deficits in the rat,2010,Hugo A. Tejeda; Vladimir I. Chefer; Agustin Zapata; Toni S. Shippenberg
10.1016/j.pnpbp.2010.06.013,,,The role of glutamate on the action of antidepressants,2010,Kenji Hashimoto
10.1038/aps.2010.138,,,The role of κ-opioid receptor activation in mediating antinociception and addiction,2010,Yuhua Wang; Jianfeng Sun; Yimin Tao; Zhi‐Qiang Chi; Jing‐Gen Liu
10.1016/j.tetlet.2010.08.033,,,Thermal degradation products derived from the smoke of Salvia divinorum leaves,2010,Zhongze Ma; Gang Deng; Ronghua Dai; Wei Xu; Lee‐Yuan Liu‐Chen; David Y.W. Lee
10.1074/jbc.m109.093658,,,"Transmembrane Domain 6 of the Human Serotonin Transporter Contributes to an Aqueously Accessible Binding Pocket for Serotonin and the Psychostimulant 3,4-Methylene Dioxymethamphetamine",2010,Julie R. Field; L. Keith Henry; Randy Blakely
10.1126/science.1190287,,,mTOR-Dependent Synapse Formation Underlies the Rapid Antidepressant Effects of NMDA Antagonists,2010,Nanxin Li; Boyoung Lee; Rongjian Liu; Mounira Banasr; Jason M. Dwyer; Masaaki Iwata; Xiaoyuan Li; George K. Aghajanian; Ronald S. Duman
10.1124/jpet.109.159947,,,5-Hydroxytryptamine Receptor Stimulation of Mitochondrial Biogenesis,2009,Kyle A. Rasbach; Jason A. Funk; Tamilselvan Jayavelu; Peter T. Green; Rick G. Schnellmann
10.1007/s12035-009-8053-4,,,A Closer Look at Amphetamine-Induced Reverse Transport and Trafficking of the Dopamine and Norepinephrine Transporters,2009,Sabrina D. Robertson; H Matthies; Aurelio Galli
10.1001/archgenpsychiatry.2009.58,,,A Reverse-Translational Study of Dysfunctional Exploration in Psychiatric Disorders,2009,William Perry; Arpi Minassian; Martin P. Paulus; Jared W. Young; Meegin J. Kincaid; Eliza J. Ferguson; Brook L. Henry; Xiaoxi Zhuang; Virginia L. Masten; Richard F. Sharp
10.1016/j.ejphar.2009.12.010,,,Antagonists and substrates differentially regulate serotonin transporter cell surface expression in serotonergic neurons,2009,Katharina Kittler; Thorsten Lau; Patrick D. Schloss
10.1523/jneurosci.1758-09.2009,,,Antidepressant Actions of Histone Deacetylase Inhibitors,2009,Herbert E. Covington; Ian Maze; Quincey LaPlant; Vincent F. Vialou; Yoshinori N. Ohnishi; Olivier Berton; Dan M. Fass; William Renthal; A. John Rush; Emma Y. Wu
10.1016/j.neuroscience.2009.03.038,,,Anxiolytic- and antidepressant-like properties of ketamine in behavioral and neurophysiological animal models,2009,Elif Engin; Dallas Treit; Clayton T. Dickson
10.1097/aln.0b013e31819b590a,,,Between Clotho and Lachesis,2009,Misha Perouansky; Hugh C. Hemmings
10.1016/j.bmc.2009.04.046,,,Biological activity of endomorphin and [Dmt1]endomorphin analogs with six-membered proline surrogates in position 2,2009,Renata Perlikowska; Katarzyna Gach; Jakub Fichna; Géza Tóth; Bogdan Walkowiak; Jean-Claude do-Rego; Anna Janecka
10.1055/s-2009-1216489,,,Biosynthesis of Salvinorin A: Overexpression and Biochemical Characterization of Carboxy Methyltransferase from EST of Salvia divinorum Glands,2009,LM Kutrzeba; JK Zjawiony; HJ Koo; Elizabeth M. McDowell; A Laurentzi; DR Gang; FE Dayan
10.1192/bjp.bp.108.050344,,,Brain serotonin transporter binding in former users of MDMA (‘ecstasy’),2009,Sudhakar Selvaraj; Rosa Hoshi; Zubin Bhagwagar; Naga Venkatesha Murthy; Rainer Hinz; Philip J. Cowen; Valerie H. Curran; Paul M. Grasby
10.1371/journal.pone.0008528,,,CRF1-R Activation of the Dynorphin/Kappa Opioid System in the Mouse Basolateral Amygdala Mediates Anxiety-Like Behavior,2009,Michael R. Bruchas; Benjamin B. Land; Julia C. Lemos; Charles Chavkin
10.1111/j.1360-0443.2009.02761.x,,,Consequences of chronic ketamine self‐administration upon neurocognitive function and psychological wellbeing: a 1‐year longitudinal study,2009,Celia J. A. Morgan; Leslie Muetzelfeldt; Valerie H. Curran
10.1007/s00213-009-1717-y,,,Developmental vitamin D deficiency alters dopamine-mediated behaviors and dopamine transporter function in adult female rats,2009,James P. Kesby; Xiaoying Cui; Jonathan O’Loan; John J. McGrath; Thomas H.J. Burne; Darryl W. Eyles
10.1007/s00702-009-0308-8,,,Dimethyltryptamine and other hallucinogenic tryptamines exhibit substrate behavior at the serotonin uptake transporter and the vesicle monoamine transporter,2009,Nicholas V. Cozzi; Anupama Gopalakrishnan; Lyndsey L. Anderson; Joel Feih; Alexander T. Shulgin; Paul F. Daley; Arnold E. Ruoho
10.1523/jneurosci.5386-08.2009,,,Dopamine and Amphetamine Rapidly Increase Dopamine Transporter Trafficking to the Surface: Live-Cell Imaging Using Total Internal Reflection Fluorescence Microscopy,2009,Cheryse A. Furman; Rong Chen; Bipasha Guptaroy; Minjia Zhang; Ronald W. Holz; Margaret E. Gnegy
10.2217/fnl.09.76,,,Dopamine transporter trafficking: rapid response on demand,2009,Rong Chen; Cheryse A. Furman; Margaret E. Gnegy
10.1002/da.20543,,,"Dopamine transporters, D<sub>2</sub>receptors, and dopamine release in generalized social anxiety disorder",2009,Franklin R. Schneier; Anissa Abi‐Dargham; Diana Martínez; Mark Slifstein; Dah‐Ren Hwang; Michael R. Liebowitz; Marc Laruelle
10.1016/j.pbb.2009.09.002,,,"Effect of kappa-opioid receptor agonists U69593, U50488H, spiradoline and salvinorin A on cocaine-induced drug-seeking in rats",2009,Aashish S. Morani; Bronwyn M. Kivell; Thomas E. Prisinzano; Susan Schenk
10.1211/jpp.61.09.0016,,,"Effect of yokukansan, a traditional Japanese medicine, on social and aggressive behaviour of <i>para</i>-chloroamphetamine-injected rats",2009,Hitomi Kanno; Kyoji Sekiguchi; Takuji Yamaguchi; Kiyoshi Terawaki; Mitsutoshi Yuzurihara; Yoshio Kase; Yasushi Ikarashi
10.1111/j.1471-4159.2009.06515.x,,,"Effects of 3,4‐methylenedioxymethamphetamine (MDMA) on serotonin transporter and vesicular monoamine transporter 2 protein and gene expression in rats: implications for MDMA neurotoxicity",2009,Dominik Biezonski; Jerrold S. Meyer
10.3760/cma.j.issn.0366-6999.2009.04.0018,,,Effects of ketamine and midazolam on morphology of dendritic spines in hippocampal CA1 region of neonatal mice,2009,Hong Tan; Rongrong Ren; Zhi‐Qi Xiong; Yingwei Wang
10.1016/j.ejpain.2009.08.002,,,Effects of low‐dose intranasal (S)‐ketamine in patients with neuropathic pain,2009,Volker Huge; Meike Lauchart; Walter Magerl; Gustav Schelling; Antje Beyer; Detlef Thieme; Shahnaz Christina Azad
10.1002/syn.20733,,,"Effects of the endogenous PPAR‐α agonist, oleoylethanolamide on MDMA‐induced cognitive deficits in mice",2009,Ainhoa Plaza‐Zabala; Fernando Berrendero; Juan Suárez; Francisco J. Bermúdez‐Silva; Emilio Fernández‐Espejo; Antonia Serrano; Francisco Javier Pavón; Loren H. Parsons; Fernando Rodrı́guez de Fonseca; Rafaël Maldonado
10.1016/j.brainresrev.2009.05.005,,,Emerging role of glutamate in the pathophysiology of major depressive disorder,2009,Kenji Hashimoto
10.1007/s00213-009-1561-0,,,From drugs to deprivation: a Bayesian framework for understanding models of psychosis,2009,Philip R. Corlett; Chris Frith; Paul C. Fletcher
10.1007/s00213-009-1628-y,,,Further evidence of association between amphetamine response and SLC6A2 gene variants,2009,Andrea Dlugos; Ajna Hamidovic; Abraham A. Palmer; Harriet de Wit
10.1007/s00213-009-1744-8,,,GBR 12909 administration as a mouse model of bipolar disorder mania: mimicking quantitative assessment of manic behavior,2009,Jared W. Young; Andrew K.L. Goey; Arpi Minassian; William Perry; Martin P. Paulus; Mark A. Geyer
10.1016/j.tips.2009.09.002,,,Glutamate-based antidepressants: 20 years on,2009,Phil Skolnick; Piotr Popik; Ramón Trullás
10.2492/inflammregen.29.47,,,Historical overview of psychoactive mushrooms,2009,Yoshihiro Matsushima; Fumio Eguchi; Tadahiro Kikukawa; Takahide Matsuda
10.1172/jci39632,,,Infantile parkinsonism-dystonia: a dopamine “transportopathy”,2009,Craig Blackstone
10.1016/s0074-7742(09)88006-9,,,Involvement of Nicotinic Receptors in Methamphetamine- and Mdma-Induced Neurotoxicity,2009,Elena Escubedo; Jorge Camarasa; C. Chipana; Sara Garcia‐Ratés; David Pubill
10.1162/jocn.2009.21305,,,Ketamine Modulates Theta and Gamma Oscillations,2009,Maciej T. Lazarewicz; Richard S. Ehrlichman; Christina R. Maxwell; Michael J. Gandal; Leif H. Finkel; Steven J. Siegel
10.1016/j.pnpbp.2009.01.004,,,Ketamine treatment reverses behavioral and physiological alterations induced by chronic mild stress in rats,2009,Lêda Soares Brandão Garcia; Clarissa M. Comim; Samira S. Valvassori; Gislaine Z. Réus; Laura Stertz; Flávio Kapczinski; Elaine C. Gavioli; João Quevedo
10.1124/jpet.109.156265,,,Lack of Cocaine Self-Administration in Mice Expressing a Cocaine-Insensitive Dopamine Transporter,2009,Morgane Thomsen; Dawn D. Han; Howard H. Gu; S. Barak Caine
10.1113/jphysiol.2009.176297,,,Memantine binding to a superficial site on NMDA receptors contributes to partial trapping,2009,Shawn E. Kotermanski; Jesse Wood; Jon W. Johnson
10.1007/s11307-008-0192-x,,,Metabolic Changes in the Rodent Brain after Acute Administration of Salvinorin A,2009,Jacob M. Hooker; Vinal Patel; Shiva Kothari; Wynne K. Schiffer
10.1523/jneurosci.3703-08.2009,,,Mg<sup>2+</sup>Imparts NMDA Receptor Subtype Selectivity to the Alzheimer's Drug Memantine,2009,Shawn E. Kotermanski; Jon W. Johnson
10.1007/s12035-009-8064-1,,,Molecular and Cellular Mechanisms of Ecstasy-Induced Neurotoxicity: An Overview,2009,João Paulo Capela; Helena Carmo; Fernando Remião; Maria de Lourdes Bastos; Andreas Meisel; Félix Carvalho
10.1371/journal.pone.0006755,,,NMDA Receptor Hypofunction Leads to Generalized and Persistent Aberrant γ Oscillations Independent of Hyperlocomotion and the State of Consciousness,2009,Tahir Hakami; Nigel C. Jones; E.A. Tolmacheva; Julien Gaudias; Joseph Chaumont; Michael Salzberg; Terence J. O’Brien; Didier Pinault
10.1038/npp.2009.110,,,Neurocircuitry of Addiction,2009,George F. Koob; Nora D. Volkow
10.1523/jneurosci.6173-08.2009,,,Nuclear Factor κB Signaling Regulates Neuronal Morphology and Cocaine Reward,2009,Scott J. Russo; Matthew B. Wilkinson; Michelle S. Mazei‐Robison; David Dietz; Ian Maze; Vaishnav Krishnan; William Renthal; Ami Graham; Shari G. Birnbaum; Thomas A. Green
10.1523/jneurosci.3910-09.2009,,,Nurr1 Is Required for Maintenance of Maturing and Adult Midbrain Dopamine Neurons,2009,Banafsheh Kadkhodaei; Takehito Ito; Eliza Joodmardi; Bengt Mattsson; Claude Rouillard; Manolo Carta; Shin‐ichi Muramatsu; Chiho Sumi‐Ichinose; Takahide Nomura; Daniel METZGER
10.4149/endo_2009_01_23,,,OPIOID ANTAGONIST-INDUCED REGULATION OF THE µ-OPIOID RECEPTOR EXPRESSION IN MCF-7 BREAST CANCER CELL LINE,2009,Katarzyna Gach; Mariola Piestrzeniewicz; Jakub Fichna; Janusz Szemraj; Anna Janecka
10.1055/s-0029-1237375,,,Oral Administration of the NMDA Receptor Antagonist S-Ketamine as Add-On Therapy of Depression: A Case Series,2009,Georgios Paslakis; Morin Gilles; Andreas Meyer‐Lindenberg; Michael Deuschle
10.1016/j.pain.2009.08.015,,,Outpatient intravenous ketamine for the treatment of complex regional pain syndrome: A double-blind placebo controlled study,2009,Robert J. Schwartzman; Guillermo M. Alexander; John R. Grothusen; Terry Paylor; Erin R. Reichenberger; Marielle J. Perreault
10.1248/yakushi.129.1141,,,Overview of 45 Years of Studies on Peptide Chemistry,2009,Yoshio Okada
10.1208/s12248-009-9105-4,,,Peptide Kappa Opioid Receptor Ligands: Potential for Drug Development,2009,Jane V. Aldrich; Jay P. McLaughlin
10.1080/00952990902825447,,,"Pharmacogenetic Treatments for Drug Addiction: Cocaine, Amphetamine and Methamphetamine",2009,Colin N. Haile; Thomas R. Kosten; Therese A. Kosten
10.1681/asn.2008121286,,,Podocyte Glutamatergic Signaling Contributes to the Function of the Glomerular Filtration Barrier,2009,Laura Giardino; Silvia Armelloni; Alessandro Corbelli; Deborah Mattinzoli; Cristina Zennaro; Dominique Guerrot; Fabien Tourrel; Masami Ikehata; Min Li; Silvia Berra
10.1093/toxsci/kfn270,,,Potential Neurotoxicity of Ketamine in the Developing Rat Brain,2009,Xiaoju Zou; Tucker A. Patterson; Natalya Sadovova; Nathan C. Twaddle; Daniel R. Doerge; Xuan Zhang; Xin Fu; Joseph P. Hanig; Merle G. Paule; William Slikker
10.1111/j.1476-5381.2009.00230.x,,,"Potential anxiolytic‐ and antidepressant‐like effects of salvinorin A, the main active ingredient of <i>Salvia divinorum</i>, in rodents",2009,Daniela Braida; Valeria Capurro; Alessia Zani; Tiziana Rubino; Daniela Viganò; Daniela Parolaro; Mariaelvina Sala
10.1016/j.tins.2008.12.005,,,Psychedelics and schizophrenia,2009,Javier González‐Maeso; Stuart C. Sealfon
10.1073/pnas.0905884106,,,Rapid modulation of spine morphology by the 5-HT<sub>2A</sub>serotonin receptor through kalirin-7 signaling,2009,Kelly A. Jones; Deepak P. Srivastava; John Allen; Ryan T. Strachan; Bryan L. Roth; Peter Penzes
10.1111/j.1471-4159.2009.05910.x,,,Rapid substrate‐induced down‐regulation in function and surface localization of dopamine transporters: rat dorsal striatum versus nucleus accumbens,2009,Toni L. Richards; Nancy R. Zahniser
10.1039/b903035m,,,Recent advances in the understanding of the interaction of antidepressant drugs with serotonin and norepinephrine transporters,2009,Jacob Andersen; Anders S. Kristensen; Benny Bang‐Andersen; Kristian Strømgaard
10.1016/j.pain.2009.05.017,,,Reduction of allodynia in patients with complex regional pain syndrome: A double-blind placebo-controlled trial of topical ketamine,2009,Philip M. Finch; Lone Knudsen; Peter D. Drummond
10.1523/jneurosci.4363-08.2009,,,Resting Microglia Directly Monitor the Functional State of Synapses<i>In Vivo</i>and Determine the Fate of Ischemic Terminals,2009,Hiroaki Wake; Andrew J. Moorhouse; Shozo Jinno; Shinichi Kohsaka; Junichi Nabekura
10.1017/s1461145709000169,,,"Riluzole for relapse prevention following intravenous ketamine in treatment-resistant depression: a pilot randomized, placebo-controlled continuation trial",2009,Sanjay J. Mathew; James W. Murrough; Marije aan het Rot; Katherine A. Collins; David L. Reich; Dennis S. Charney
10.1097/aco.0b013e32832e7af6,,,Role of N-methyl-D-aspartate receptor antagonists in postoperative pain management,2009,Manzo Suzuki
10.1371/journal.pone.0007952,,,Role of Serotonin via 5-HT2B Receptors in the Reinforcing Effects of MDMA in Mice,2009,Stéphane Doly; Jesus Bertran‐Gonzalez; Jacques Callebert; Alexandra Bruneau; Sophie M. Banas; Arnauld Belmer; Katia Boutourlinsky; Denis Hervé; Jean‐Marie Launay; Luc Maroteaux
10.1007/s00213-009-1545-0,,,"Role of dopamine transporters in the behavioral effects of 3,4-methylenedioxymethamphetamine (MDMA) in nonhuman primates",2009,William E. Fantegrossi; Rayna M. Bauzo; Daniel F. Manvich; José Carlos Roldán Morales; John R. Votaw; Mark M. Goodman; Leonard L. Howell
10.1016/j.clinph.2009.08.016,,,"Safety, ethical considerations, and application guidelines for the use of transcranial magnetic stimulation in clinical practice and research",2009,Símone Rossi; Mark Hallett; Paolo Maria Rossini; Álvaro Pascual‐Leone
10.1016/j.neuropharm.2009.07.023,,,Salvinorin A exerts opposite presynaptic controls on neurotransmitter exocytosis from mouse brain nerve terminals,2009,Massimo Grilli; Elisa Neri; Stefania Zappettini; Francesca Massa; Angela Bisio; Giovanni Romussi; Mario Marchi; Anna Pittaluga
10.1111/j.1365-2982.2009.01369.x,,,Salvinorin A inhibits colonic transit and neurogenic ion transport in mice by activating κ‐opioid and cannabinoid receptors,2009,Jakub Fichna; Rudolf Schicho; Christopher N. Andrews; Mohammad Bashashati; Matthew Klompus; Derek M. McKay; Keith A. Sharkey; Jordan K. Zjawiony; Anna Janecka; Martin Storr
10.1021/bi900605n,,,"Structure-Based Design, Synthesis, and Biochemical and Pharmacological Characterization of Novel Salvinorin A Analogues as Active State Probes of the κ-Opioid Receptor",2009,Feng Yan; R. V. Bikbulatov; Viorel Mocanu; Nedyalka Dicheva; Carol E. Parker; William C. Wetsel; Philip D. Mosier; Richard B. Westkaemper; John Allen; Jordan K. Zjawiony
10.1016/j.neuroimage.2009.07.072,,,Study on the neuroprotective effect of fluoxetine against MDMA-induced neurotoxicity on the serotonin transporter in rat brain using micro-PET,2009,I‐Hsun Li; Wen-Sheng Huang; Chyng‐Yann Shiue; Ya-Yao Huang; Ren-Shyan Liu; San‐Chong Chyueh; Shih-Hsiung Hu; Mei-Hsiu Liao; Lie‐Hang Shen; Jiang-Chuan Liu
10.1080/02791072.2009.10400531,,,Subjective Effects of<i>Salvia Divinorum</i>: LSD- or Marijuana-like?,2009,Dawn N. Albertson; Laura E. Grubbs
10.1016/j.bmcl.2009.01.078,,,Synthesis and biological evaluation of C-12 triazole and oxadiazole analogs of salvinorin A,2009,Yang Lü; Wei Xu; Feng Chen; Lee‐Yuan Liu‐Chen; Zhongze Ma; David Y.W. Lee
10.1039/b905148a,,,Synthetic studies of neoclerodane diterpenes from Salvia divinorum: role of the furan in affinity for opioid receptors,2009,Denise S. Simpson; Kimberly M. Lovell; Anthony Lozama; Nina Han; Victor W. Day; Christina M. Dersch; Richard B. Rothman; Thomas E. Prisinzano
10.1126/science.1166127,,,"The Hallucinogen <i>N,N</i> -Dimethyltryptamine (DMT) Is an Endogenous Sigma-1 Receptor Regulator",2009,Dominique Fontanilla; Molly Johannessen; Abdol R. Hajipour; Nicholas V. Cozzi; Meyer B. Jackson; Arnold E. Ruoho
10.1093/schbul/sbn187,,,"The Neurodevelopmental Hypothesis of Schizophrenia, Revisited",2009,S. Hossein Fatemi; Timothy D. Folsom
10.1111/j.1471-4159.2009.06474.x,,,The reverse operation of Na<sup>+</sup>/Cl<sup>−</sup>‐coupled neurotransmitter transporters – why amphetamines take two to tango,2009,Harald H. Sitte; Michael Freissmuth
10.1111/j.1526-4610.2009.01575.x,,,"Triptans, Serotonin Agonists, and Serotonin Syndrome (Serotonin Toxicity): A Review",2009,Peter Kenneth Gillman
10.1097/aln.0b013e31819c42a4,,,Update on Neonatal Anesthetic Neurotoxicity,2009,Piyush M. Patel; Lena S. Sun
10.1021/cn900017w,,,Using<i>in Vivo</i>Electrochemistry To Study the Physiological Effects of Cocaine and Other Stimulants on the<i>Drosophila melanogaster</i>Dopamine Transporter,2009,Monique A. Makos; Kyung‐An Han; Michael L. Heien; Andrew G. Ewing
10.1523/jneurosci.4177-08.2009,,,Visualization of Dopamine Transporter Trafficking in Live Neurons by Use of Fluorescent Cocaine Analogs,2009,Jacob Eriksen; Søren G. F. Rasmussen; Trine N. Rasmussen; Christian Bjerggaard Vægter; Joo Hwan; Mu‐Fa Zou; Amy Hauck Newman; Ulrik Gether
10.1126/scisignal.261pe12,,,"When the Endogenous Hallucinogenic Trace Amine<i>N,N</i>-Dimethyltryptamine Meets the Sigma-1 Receptor",2009,Tsung‐Ping Su; Teruo Hayashi; D. Bruce Vaupel
10.1016/j.neulet.2008.06.028,,,5-HT2A/2C receptor blockade regulates progenitor cell proliferation in the adult rat hippocampus,2008,Shanker Jha; Rajeev Rajendran; Kimberly A. Fernandes; Vidita A. Vaidya
