# triage-filtered queue generated at 2026-02-12T18:07:24.579743+00:00
# doi,compound,target_or_disorder,optional_study_title,optional_study_year,optional_authors
10.3390/ph15080997,S-ketamine,NMDA receptor,Pharmacological Comparative Characterization of REL-1017 (Esmethadone-HCl) and Other NMDAR Channel Blockers in Human Heterodimeric N-Methyl-D-Aspartate Receptors,2022,
10.3390/ph16040634,R-ketamine,NMDA receptor,Pharmacological Mechanism of Ketamine in Suicidal Behavior Based on Animal Models of Aggressiveness and Impulsivity: A Narrative Review,2023,
10.3390/ph16050742,S-ketamine,NMDA receptor,Ketamine and the Disinhibition Hypothesis: Neurotrophic Factor-Mediated Treatment of Depression,2023,
10.3390/ph16071013,S-ketamine,NMDA receptor,Exploring the Molecular Targets for the Antidepressant and Antisuicidal Effects of Ketamine Enantiomers by Using Network Pharmacology and Molecular Docking,2023,
10.3390/ph16111572,S-ketamine,NMDA receptor,Pharmacotherapies Targeting GABA-Glutamate Neurotransmission for Treatment-Resistant Depression,2023,
10.3390/ph18020157,R-ketamine,NMDA receptor,"Demystifying the Antidepressant Mechanism of Action of Stinels, a Novel Class of Neuroplastogens: Positive Allosteric Modulators of the NMDA Receptor",2025,
10.37506/ijfmt.v16i4.18608,Psilocybin,5-HT2A,"Fungal Hallucinogens: Chemistry, Synthesis, Behavior, Toxicity and Detection Methods in Forensic Perspective",2022,
10.52965/001c.25091,S-ketamine,NMDA receptor,Role of Ketamine in the Treatment of Psychiatric Disorders,2021,
10.54254/2753-8818/21/20230859,Psilocin,5-HT1A,Application of psilocybin in mental health disorders,2023,
10.5451/unibas-006616893,LSD,5-HT2C,Pharmacology of novel psychoactive substances,2016,
10.5772/intechopen.1010820,R-ketamine,NMDA receptor,Perspective Chapter: Analgesic Use of Esketamine,2025,
10.7554/elife.104006,Psilocybin,5-HT2A,Psilocin fosters neuroplasticity in iPSC-derived human cortical neurons,2025,
10.7554/elife.104006.1,Psilocybin,5-HT2A,Psilocin fosters neuroplasticity in iPSC-derived human cortical neurons,2025,
10.9758/cpn.2014.12.1.72,Ketamine,NMDA receptor,The R-Stereoisomer of Ketamine as an Alternative for Ketamine for Treatment-resistant Major Depression,2014,
10.9758/cpn.22.1034,S-ketamine,NMDA receptor,The Role of Glutamate Underlying Treatment-resistant Depression,2023,
