# Deterministic prescreen retained queue for mechanistic generated at 2026-05-15T18:25:52.070027+00:00
# doi,compound,target_or_disorder,optional_study_title,optional_study_year,optional_authors,optional_study_journal,optional_publication_type,optional_trial_registry_ids,optional_publication_date,optional_journal_issn,optional_journal_eissn,optional_publisher,optional_mesh_terms,optional_keywords,optional_funders,optional_grant_ids,optional_related_dois,optional_publication_relations,optional_is_retracted,optional_has_correction,optional_language,optional_semantic_scholar_id
10.1523/jneurosci.21-09-03228.2001,,,"3,4-methylenedioxymethamphetamine (ecstasy)-induced learning and memory impairments depend on the age of exposure during early development.",2001,Broening HW; Morford LL; Inman-Wood SL; Fukumura M; Vorhees CV,The Journal of neuroscience : the official journal of the Society for Neuroscience,"Journal Article | Research Support, U.S. Gov't, P.H.S.",,2001-05-01,0270-6474,1529-2401,,"3,4-Methylenedioxyamphetamine / administration & dosage | Age Factors | Animals | Animals, Newborn | Behavior, Animal / drug effects | Body Weight / drug effects | Brain / drug effects | Brain / metabolism | Brain / physiopathology | Dopamine / metabolism | Dose-Response Relationship, Drug | Drug Administration Schedule | Escape Reaction / drug effects | Female | Hallucinogens / administration & dosage | Injections, Subcutaneous | Learning Disabilities / chemically induced | Learning Disabilities / diagnosis | Learning Disabilities / physiopathology | Male | Maze Learning / drug effects | Memory Disorders / chemically induced | Memory Disorders / diagnosis | Memory Disorders / physiopathology | Norepinephrine / metabolism | Rats | Rats, Sprague-Dawley | Serotonin / metabolism | Survival Rate",,NIDA NIH HHS | NIEHS NIH HHS,F32 DA005740 | DA05740 | DA11902 | T32 ES007051 | ES07051,,,,,eng,
10.1523/jneurosci.2159-12.2012,,,"Brain Activity Mapping in <i>Mecp2</i> Mutant Mice Reveals Functional Deficits in Forebrain Circuits, Including Key Nodes in the Default Mode Network, that are Reversed with Ketamine Treatment",2012,Miriam Kron; C. Howell; Ian Adams; Michael Ransbottom; Diana L. Christian; Michaël Ogier; David M. Katz,The Journal of neuroscience : the official journal of the Society for Neuroscience,"Journal Article | Research Support, N.I.H., Extramural | Research Support, Non-U.S. Gov't",,2012-10-03,0270-6474,1529-2401,,"Animals | Autonomic Nervous System / physiopathology | Cerebellum / metabolism | Cerebellum / physiopathology | Disease Models, Animal | Excitatory Amino Acid Antagonists / pharmacology | Female | Gene Expression Regulation, Developmental | Genes, fos | Humans | Ketamine / pharmacology | Male | Methyl-CpG-Binding Protein 2 / deficiency | Methyl-CpG-Binding Protein 2 / genetics | Methyl-CpG-Binding Protein 2 / physiology | Mice | Mice, Knockout | Miniature Postsynaptic Potentials / drug effects | Miniature Postsynaptic Potentials / physiology | Nerve Net / drug effects | Nerve Net / metabolism | Nerve Net / physiopathology | Nerve Tissue Proteins / biosynthesis | Nerve Tissue Proteins / genetics | Nerve Tissue Proteins / physiology | Organ Specificity | Patch-Clamp Techniques | Prosencephalon / metabolism | Prosencephalon / physiopathology | Proto-Oncogene Proteins c-fos / biosynthesis | Rett Syndrome / genetics | Rett Syndrome / physiopathology | Sensory Gating / drug effects | Sensory Gating / physiology | Solitary Nucleus / chemistry | Solitary Nucleus / metabolism | Solitary Nucleus / physiopathology | Synaptic Transmission / drug effects | Synaptic Transmission / physiology",,NINDS NIH HHS,R01 NS057398,,,,,eng,
10.1523/jneurosci.23-15-06385.2003,,,"Clozapine reverses hyperthermia and sympathetically mediated cutaneous vasoconstriction induced by 3,4-methylenedioxymethamphetamine (ecstasy) in rabbits and rats.",2003,Blessing WW; Seaman B; Pedersen NP; Ootsuka Y,The Journal of neuroscience : the official journal of the Society for Neuroscience,"Journal Article | Research Support, Non-U.S. Gov't",,2003-07-16,0270-6474,1529-2401,,"Anesthesia | Animals | Antipsychotic Agents / therapeutic use | Benzodiazepines | Body Temperature / drug effects | Clozapine / therapeutic use | Disease Models, Animal | Dose-Response Relationship, Drug | Ear / blood supply | Fever / chemically induced | Fever / drug therapy | Fever / physiopathology | N-Methyl-3,4-methylenedioxyamphetamine | Olanzapine | Pirenzepine / analogs & derivatives | Pirenzepine / therapeutic use | Rabbits | Rats | Rats, Sprague-Dawley | Regional Blood Flow / drug effects | Serotonin Antagonists / therapeutic use | Selective Serotonin Reuptake Inhibitors / therapeutic use | Skin / blood supply | Sympathetic Nervous System / drug effects | Sympathetic Nervous System / physiopathology | Tail / blood supply | Treatment Outcome | Vasoconstriction / drug effects | Wakefulness",,,,,,,,eng,
10.1523/jneurosci.23-27-09107.2003,,,"3,4-methylenedioxymethamphetamine (ecstasy) inhibits dyskinesia expression and normalizes motor activity in 1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine-treated primates.",2003,Iravani MM; Jackson MJ; Kuoppamäki M; Smith LA; Jenner P,The Journal of neuroscience : the official journal of the Society for Neuroscience,"Journal Article | Research Support, Non-U.S. Gov't",,2003-10-08,0270-6474,1529-2401,,"1-Methyl-4-phenyl-1,2,3,6-tetrahydropyridine | Animals | Antiparkinson Agents / adverse effects | Antiparkinson Agents / therapeutic use | Behavior, Animal / drug effects | Callithrix | Disease Models, Animal | Dopamine Agonists / pharmacology | Dose-Response Relationship, Drug | Dyskinesia, Drug-Induced / etiology | Dyskinesia, Drug-Induced / physiopathology | Dyskinesia, Drug-Induced / prevention & control | Female | Levodopa / adverse effects | Levodopa / therapeutic use | Male | Motor Activity / drug effects | N-Methyl-3,4-methylenedioxyamphetamine / therapeutic use | Parkinsonian Disorders / chemically induced | Parkinsonian Disorders / drug therapy | Parkinsonian Disorders / physiopathology | Receptor, Serotonin, 5-HT1B | Receptors, Serotonin / drug effects | Receptors, Serotonin, 5-HT1 | Serotonin Antagonists / pharmacology | Serotonin Receptor Agonists / pharmacology | Selective Serotonin Reuptake Inhibitors / pharmacology",,Wellcome Trust,,,,,,eng,
10.1523/jneurosci.2619-13.2013,,,The major brain cholesterol metabolite 24(S)-hydroxycholesterol is a potent allosteric modulator of N-methyl-D-aspartate receptors.,2013,Paul SM; Doherty JJ; Robichaud AJ; Belfort GM; Chow BY; Hammond RS; Crawford DC; Linsenbardt AJ; Shu HJ; Izumi Y,The Journal of neuroscience : the official journal of the Society for Neuroscience,"Journal Article | Research Support, N.I.H., Extramural | Research Support, Non-U.S. Gov't",,2013-10-30,0270-6474,1529-2401,,"Action Potentials / drug effects | Allosteric Regulation / drug effects | Allosteric Regulation / physiology | Animals | Cholesterol / metabolism | Female | Hippocampus / metabolism | Hydroxycholesterols / metabolism | Hydroxycholesterols / pharmacology | Male | Mice | Norsteroids / metabolism | Norsteroids / pharmacology | Organ Culture Techniques | Rats | Rats, Long-Evans | Rats, Sprague-Dawley | Receptors, N-Methyl-D-Aspartate / physiology",,NIMH NIH HHS | NIGMS NIH HHS | NIDA NIH HHS | NIAAA NIH HHS,MH077791 | MH078823 | P01 GM047969 | R01 MH078823 | R01 MH077791 | T32 DA007261 | AA017413 | R01 AA017413 | GM47969,,,,,eng,
10.1523/jneurosci.2645-07.2007,,,Monoamine oxidase-B mediates ecstasy-induced neurotoxic effects to adolescent rat brain mitochondria.,2007,Alves E; Summavielle T; Alves CJ; Gomes-da-Silva J; Barata JC; Fernandes E; Bastos Mde L; Tavares MA; Carvalho F,The Journal of neuroscience : the official journal of the Society for Neuroscience,"Comparative Study | Journal Article | Research Support, Non-U.S. Gov't",,2007-09-19,0270-6474,1529-2401,,"Age Factors | Animals | Brain / drug effects | Brain / enzymology | Lipid Peroxidation / drug effects | Lipid Peroxidation / physiology | Male | Mitochondria / drug effects | Mitochondria / enzymology | Monoamine Oxidase / metabolism | Monoamine Oxidase Inhibitors / pharmacology | N-Methyl-3,4-methylenedioxyamphetamine / toxicity | Neurotoxicity Syndromes / enzymology | Rats | Rats, Wistar",,,,,,,,eng,
10.1523/jneurosci.3114-15.2016,,,Previous Ketamine Produces an Enduring Blockade of Neurochemical and Behavioral Effects of Uncontrollable Stress.,2016,Amat J; Dolzani SD; Tilden S; Christianson JP; Kubala KH; Bartholomay K; Sperr K; Ciancio N; Watkins LR; Maier SF,The Journal of neuroscience : the official journal of the Society for Neuroscience,"Journal Article | Research Support, N.I.H., Extramural",,2016-01-06,0270-6474,1529-2401,,"Anesthetics, Dissociative / administration & dosage | Animals | Antidepressive Agents / administration & dosage | Behavior, Animal / drug effects | Chronic Disease | Ketamine / administration & dosage | Male | Mental Disorders / physiopathology | Mental Disorders / prevention & control | Rats | Rats, Sprague-Dawley | Stress, Psychological / physiopathology | Stress, Psychological / prevention & control | Treatment Outcome",anxiety | ketamine | serotonin | stress resilience,NIMH NIH HHS | NICHD NIH HHS,MH050479 | T32 HD007289 | T32 HD7289-30 | K99 MH093412 | T32 MH016880 | R01 MH050479 | R37 MH050479,,,,,eng,
10.1523/jneurosci.3800-04.2005,,,Ketamine induces dopamine-dependent depression of evoked hippocampal activity in the nucleus accumbens in freely moving rats.,2005,Hunt MJ; Kessal K; Garcia R,The Journal of neuroscience : the official journal of the Society for Neuroscience,"Journal Article | Research Support, Non-U.S. Gov't",,2005-01-12,0270-6474,1529-2401,,"Animals | Disease Models, Animal | Dopamine / physiology | Electric Stimulation | Evoked Potentials / drug effects | Evoked Potentials / physiology | Fornix, Brain / physiology | Glutamic Acid / metabolism | Hippocampus / physiology | Ketamine / pharmacology | Male | Neural Pathways / physiology | Neuronal Plasticity / drug effects | Neuronal Plasticity / physiology | Nucleus Accumbens / physiology | Rats | Rats, Wistar | Receptors, N-Methyl-D-Aspartate / antagonists & inhibitors | Receptors, N-Methyl-D-Aspartate / physiology | Schizophrenia / physiopathology | Synaptic Transmission / drug effects | Synaptic Transmission / physiology",,,,,,,,eng,
10.1523/jneurosci.4457-08.2008,,,Interleukin-6 Mediates the Increase in NADPH-Oxidase in the Ketamine Model of Schizophrenia,2008,M. Margarita Behrens; Sameh S. Ali; Laura L. Dugan,The Journal of neuroscience : the official journal of the Society for Neuroscience,"Journal Article | Research Support, Non-U.S. Gov't",,2008-12-17,0270-6474,1529-2401,,"Animals | Antibodies / pharmacology | Cells, Cultured | Disease Models, Animal | Enzyme Activation / drug effects | Interleukin-6 / genetics | Interleukin-6 / metabolism | Interleukin-6 / pharmacology | Interneurons / drug effects | Interneurons / metabolism | Ketamine / toxicity | Male | Mice | Mice, Inbred C57BL | Mice, Knockout | NADPH Oxidases / drug effects | NADPH Oxidases / metabolism | Prefrontal Cortex / drug effects | Prefrontal Cortex / metabolism | RNA, Messenger / biosynthesis | Schizophrenia / chemically induced | Schizophrenia / metabolism | Superoxides / metabolism | gamma-Aminobutyric Acid / metabolism",,NIA NIH HHS,K25 AG026379 | R21 AG030320,,,,,eng,
10.1523/jneurosci.5443-07.2008,,,"Ketamine, but not phencyclidine, selectively modulates cerebellar GABA(A) receptors containing alpha6 and delta subunits.",2008,Hevers W; Hadley SH; Lüddens H; Amin J,The Journal of neuroscience : the official journal of the Society for Neuroscience,"Journal Article | Research Support, Non-U.S. Gov't",,2008-05-14,0270-6474,1529-2401,,"Anesthetics, Dissociative / pharmacology | Animals | Cells, Cultured | Cerebellar Cortex / drug effects | Cerebellar Cortex / metabolism | Dose-Response Relationship, Drug | Excitatory Amino Acid Antagonists / pharmacology | Female | Ketamine / pharmacology | Membrane Potentials / drug effects | Membrane Potentials / physiology | Mice | Mice, Inbred C57BL | Mice, Knockout | Neural Inhibition / drug effects | Neural Inhibition / physiology | Neurons / drug effects | Neurons / metabolism | Oocytes | Organ Culture Techniques | Patch-Clamp Techniques | Phencyclidine / pharmacology | Rats | Rats, Sprague-Dawley | Receptors, GABA-A / drug effects | Receptors, GABA-A / genetics | Receptors, GABA-A / metabolism | Synaptic Transmission / drug effects | Synaptic Transmission / physiology | Xenopus laevis",,,,,,,,eng,
10.1542/peds.2014-4152,,,Remission From Behavioral Dysregulation in a Child With PTSD After Receiving Procedural Ketamine.,2015,Donoghue AC; Roback MG; Cullen KR,Pediatrics,Case Reports | Journal Article | Review,,2015-08-10,0031-4005,1098-4275,,"Child | Child Behavior Disorders / diagnosis | Child Behavior Disorders / drug therapy | Child Behavior Disorders / etiology | Excitatory Amino Acid Antagonists / administration & dosage | Humans | Ketamine / administration & dosage | Male | Remission Induction | Stress Disorders, Post-Traumatic / complications | Stress Disorders, Post-Traumatic / diagnosis | Stress Disorders, Post-Traumatic / drug therapy",,NCATS NIH HHS,UL1 TR000114,,,,,eng,
10.1556/2054.2022.00218,,,Psychedelics and mindfulness: A systematic review and meta-analysis,2022,Chelsea Radakovic; Ratko Radakovic; Guy Peryer; Jo-Anne Geere,Journal of Psychedelic Studies,journal-article,,2022-09-23,2559-9283,2559-9283,Akademiai Kiado Zrt.,,,,,,,,,,
10.1590/0001-3765201720160844,,,Is Forced Swimming Immobility a Good Endpoint for Modeling Negative Symptoms of Schizophrenia? - Study of Sub-Anesthetic Ketamine Repeated Administration Effects.,2017,Neves G; Borsoi M; Antonio CB; Pranke MA; Betti AH; Rates SMK,Anais da Academia Brasileira de Ciencias,Journal Article,,2017-08-17,0001-3765,1678-2690,,"Anesthetics, Dissociative / pharmacology | Animals | Behavior, Animal / drug effects | Behavior, Animal / physiology | Disease Models, Animal | Immobilization / physiology | Ketamine / pharmacology | Male | Mice | Motor Activity / drug effects | Motor Activity / physiology | Schizophrenia / chemically induced | Schizophrenia / physiopathology | Swimming / physiology",,,,,,,,eng,
10.1590/s1516-44462005000300016,,,Glutamate modulators as novel interventions for mood disorders.,2005,Mathew SJ; Keegan K; Smith L,"Revista brasileira de psiquiatria (Sao Paulo, Brazil : 1999)","Journal Article | Research Support, N.I.H., Extramural | Review",,2005-10-04,1516-4446,,,"Animals | Antidepressive Agents / therapeutic use | Excitatory Amino Acid Antagonists / therapeutic use | Humans | Ketamine / therapeutic use | Mood Disorders / drug therapy | Neural Pathways / drug effects | Neuronal Plasticity / drug effects | Receptors, AMPA / antagonists & inhibitors | Receptors, AMPA / therapeutic use | Riluzole / therapeutic use | Synaptic Transmission / drug effects",,NIMH NIH HHS,K23MH069656,,,,,eng,
10.1615/critrevoncog.2024051197,,,Neuroplasticity: Pathophysiology and Role in Major Depressive Disorder.,2024,Kadiyala S; Bhamidipati P; Malla RR,Critical reviews in oncogenesis,Journal Article | Review,,2024,0893-9675,2162-6448,,Humans | Neuronal Plasticity | Major Depressive Disorder / physiopathology | Major Depressive Disorder / metabolism | Brain / physiopathology | Brain / metabolism | Animals,,,,,,,,eng,
10.1615/intjmedmushrooms.2021041921,,,"Psilocybin Conspectus: Status, Production Methods, and Considerations.",2022,Plotnik L; Gibbs G; Graham T,International journal of medicinal mushrooms,Journal Article | Review,,2022,1940-4344,1940-4344,,Agaricales | Hallucinogens / history | Psilocybin / therapeutic use,,,,,,,,eng,
10.1681/asn.2008121286,,,Podocyte glutamatergic signaling contributes to the function of the glomerular filtration barrier.,2009,Giardino L; Armelloni S; Corbelli A; Mattinzoli D; Zennaro C; Guerrot D; Tourrel F; Ikehata M; Li M; Berra S,Journal of the American Society of Nephrology : JASN,Journal Article,,2009-07-02,1046-6673,1533-3450,,"Animals | Cells, Cultured | Cytoskeleton / metabolism | Dizocilpine Maleate / pharmacology | Excitatory Amino Acid Antagonists / pharmacology | Exocytosis / physiology | Female | Glomerular Filtration Rate / physiology | Glutamic Acid / metabolism | Ketamine / analogs & derivatives | Ketamine / pharmacology | Kidney Diseases / metabolism | Kidney Diseases / physiopathology | Male | Membrane Proteins / metabolism | Mice | Mice, Inbred BALB C | Mice, Knockout | Podocytes / cytology | Podocytes / metabolism | Rats | Rats, Sprague-Dawley | Receptors, N-Methyl-D-Aspartate / antagonists & inhibitors | Receptors, N-Methyl-D-Aspartate / genetics | Receptors, N-Methyl-D-Aspartate / metabolism | Signal Transduction / physiology | rab3A GTP-Binding Protein / genetics | rab3A GTP-Binding Protein / metabolism",,,,10.1681/ASN.2009070691,CommentIn PMID:19628665 J Am Soc Nephrol. 2009 Sep;20(9):1862-4. doi: 10.1681/ASN.2009070691.,,,eng,
10.1684/mrh.2018.0440,,,Ketamine and magnesium common pathway of antidepressant action.,2018,Górska N; Cubała WJ; Słupski J; Gałuszko-Węgielnik M,Magnesium research,Journal Article | Review,,2018-05-01,0953-1424,1952-4021,,Analgesics / chemistry | Analgesics / therapeutic use | Animals | Antidepressive Agents / chemistry | Antidepressive Agents / therapeutic use | Depression / drug therapy | Humans | Ketamine / chemistry | Ketamine / therapeutic use | Magnesium / chemistry | Magnesium / therapeutic use,ketamine | magnesium | major depressive disorder,,,,,,,eng,
10.1684/mrh.2024.0534,,,Magnesium level and impulsivity during ketamine administration for treatment-resistant mood disorders.,2025,Słupski J; Włodarczyk A; Górska N; Szarmach J; Słupska A; Pilecka K; Kwaśny A; Kowalska Ż; Cubała WJ,Magnesium research,Journal Article,,2024,0953-1424,1952-4021,,"Humans | Ketamine / therapeutic use | Ketamine / administration & dosage | Impulsive Behavior / drug effects | Magnesium / blood | Male | Female | Adult | Middle Aged | Mood Disorders / drug therapy | Mood Disorders / blood | Depressive Disorder, Treatment-Resistant / drug therapy | Depressive Disorder, Treatment-Resistant / blood",impulsivity | ketamine | magnesium | mood disorders | treatment-resistant depression,,,,,,,eng,
10.17151/culdr.2018.23.26.6,,,Plant based assisted therapy for the treatment of substance use disorders - part 1. The case of takiwasi center and other similar experiences,2018,Matteo Politi; Fabio Friso; Jacques Mabit,Cultura y Droga,journal-article,,2018-07-03,0122-8455,2590-7840,Universidad de Caldas,,,,,,,,,,
10.18388/pb.2021_376,,,[Molecular mechanisms of action of selected psychoactive substances].,2021,Bijoch Ł; Pękała M; Beroun A,Postepy biochemii,Journal Article,,2021-04-29,0032-5422,,,Central Nervous System Stimulants | Europe | Hallucinogens / pharmacology | Humans | Poland,,,,,,,,pol,
10.2106/jbjs.f.00906,,,Preventing the development of chronic pain after orthopaedic surgery with preventive multimodal analgesic techniques.,2007,Reuben SS; Buvanendran A,The Journal of bone and joint surgery. American volume,Journal Article | Retracted Publication | Review,,2007-06,0021-9355,,,"Acetaminophen / pharmacology | Adrenergic alpha-Agonists / pharmacology | Analgesia, Epidural | Analgesics / pharmacology | Anesthetics, Local | Animals | Anti-Inflammatory Agents, Non-Steroidal / adverse effects | Anti-Inflammatory Agents, Non-Steroidal / therapeutic use | Arthroplasty, Replacement | Chronic Disease | Clonidine / pharmacology | Complex Regional Pain Syndromes / physiopathology | Cyclooxygenase 2 Inhibitors / adverse effects | Cyclooxygenase 2 Inhibitors / therapeutic use | Humans | Hyperalgesia / physiopathology | Inflammation Mediators / pharmacology | Ketamine | Neuronal Plasticity | Orthopedics | Pain Threshold / physiology | Postoperative Pain / physiopathology | Postoperative Pain / prevention & control | Phantom Limb / physiopathology",,,,,RetractionIn PMID:19339584 J Bone Joint Surg Am. 2009 Apr;91(4):965.,true,,eng,
10.21203/rs.3.rs-1321542/v1,,,Psilocybin Combines Rapid Synaptogenic And Anti-Inflammatory Effects In Vitro,2022,Gabriella Smedfors; Elliot Glotfelty; Negar Kalani; Christian Papatziamos Hjelle; Otilia Horntvedt; Katrin Wellfelt; Alvin Brodin; Fredrik von Kieseritzky; Lars Olson; Tobias Karlsson,,posted-content,,2022-03-08,,,Research Square Platform LLC,,,,,,,,,,
10.21203/rs.3.rs-2001983/v1,,,Effect of psilocybin on marble-burying in ICR mice: Role of 5-HT1A receptors and implications for the treatment of obsessive-compulsive disorder,2022,Bernard Lerer; Sandeep Singh; Alexander Botvinnik; Orr Shahar; Gilly Wolf; Corel Yakobi; Michal Saban; Adham Salama; Amit Lotan; Tzuri Lifschytz,,posted-content,,2022-09-08,,,Springer Science and Business Media LLC,,,,,10.1038/s41398-023-02456-9,is-preprint-of doi:10.1038/s41398-023-02456-9 asserted-by:subject,,,,
10.21203/rs.3.rs-2209228/v1,,,Ketamine alleviates fear memory and spatial cognition deficits in PTSD rat model via BDNF signaling pathway of hippocampus and amygdala,2022,Lin Sun; JiaYao Niu; Yue Teng; Yang Liu; Han Wang; JinHong Chen; YuJia Kong; Ling Wang; Bo Lian; HongWei Sun,,posted-content,,2022-11-02,,,Springer Science and Business Media LLC,,,,,,,,,,
10.21203/rs.3.rs-4242829/v3,,,Psilocin fosters neuroplasticity in iPSC-derived human cortical neurons,2026,Philipp Koch; Malin Schmidt; Anne Hoffrichter; Mahnaz Davoudi; Sandra Horschitz; Thorsten Lau; Marcus Meinhardt; Rainer Spanagel; Julia Ladewig; Georg Köhr,,posted-content,,2026-01-07,,,Springer Science and Business Media LLC,,,,,10.21203/rs.3.rs-4242829/v1 | 10.21203/rs.3.rs-4242829/v2,is-version-of doi:10.21203/rs.3.rs-4242829/v1 asserted-by:subject | is-version-of doi:10.21203/rs.3.rs-4242829/v2 asserted-by:subject | has-version doi:10.21203/rs.3.rs-4242829/v1 asserted-by:object | has-version doi:10.21203/rs.3.rs-4242829/v2 asserted-by:object,,,,
10.2174/011570159x442471260422110855,,,The Harmonious Dance: A Narrative Review on Psychedelics and Music in Therapeutic Settings.,2026,Wang H; Li X; Yu F; Wang X,Current neuropharmacology,Journal Article,,2026-04-28,1570-159X,1875-6190,,,Psychedelics | default mode network | mental health | music therapy | psilocybin,,,,,,,eng,
10.2174/1381612819666131216114240,,,The novel object recognition test in rodents in relation to cognitive impairment in schizophrenia.,2014,Rajagopal L; Massey BW; Huang M; Oyamada Y; Meltzer HY,Current pharmaceutical design,Journal Article | Review,,2014,1381-6128,1873-4286,,"Acetylcholine / metabolism | Animals | Antipsychotic Agents / pharmacology | Antipsychotic Agents / therapeutic use | Brain / drug effects | Brain / metabolism | Cognition Disorders / chemically induced | Cognition Disorders / complications | Cognition Disorders / drug therapy | Disease Models, Animal | Dopamine / metabolism | Excitatory Amino Acid Agonists / pharmacology | GABA Agonists / pharmacology | Humans | Nicotinic Agonists / pharmacology | Receptors, N-Methyl-D-Aspartate / antagonists & inhibitors | Receptors, N-Methyl-D-Aspartate / drug effects | Recognition, Psychology / drug effects | Schizophrenia / complications | Schizophrenia / drug therapy | Schizophrenic Psychology | Serotonin Antagonists / pharmacology",,,,,,,,eng,
10.2174/1381612819666140110120435,,,Targeting of NMDA receptors in the treatment of major depression.,2014,Dang YH; Ma XC; Zhang JC; Ren Q; Wu J; Gao CG; Hashimoto K,Current pharmaceutical design,"Journal Article | Research Support, Non-U.S. Gov't | Review",,2014,1381-6128,1873-4286,,"Animals | Antidepressive Agents / adverse effects | Antidepressive Agents / pharmacology | Antidepressive Agents / therapeutic use | Major Depressive Disorder / drug therapy | Major Depressive Disorder / physiopathology | Drug Resistance | Humans | Ketamine / adverse effects | Ketamine / pharmacology | Ketamine / therapeutic use | Molecular Targeted Therapy | Receptors, N-Methyl-D-Aspartate / antagonists & inhibitors | Receptors, N-Methyl-D-Aspartate / metabolism | Time Factors",,,,,,,,eng,
10.2174/1381612826666200610181259,,,Possible Involvement of N-methyl-D-aspartate Receptor (NMDA-R) in the Antidepressant- like Effect of Trigonelline in Male Mice.,2020,Anjomshoa M; Boroujeni SN; Bagheri E; Lorigooini Z; Amini-Khoei H,Current pharmaceutical design,"Journal Article | Research Support, Non-U.S. Gov't",,2020,1381-6128,1873-4286,,"Alkaloids / pharmacology | Animals | Antidepressive Agents / pharmacology | Depression / drug therapy | Male | Mice | N-Methylaspartate | Receptors, N-Methyl-D-Aspartate",Depression | NMDA receptor | Naval Medical Research Institute (NMRI) | hippocampus | mice | trigonelline,Shahrekord University of Medical Sciences,1396-08-75-3657,,,,,eng,
10.2174/1381612826666200717083211,,,Diosgenin via NMDA Receptor Exerted Anxiolytic-like Effect on Maternally Separated Mice.,2021,Boroujeni SN; Lorigooini Z; Boldaji FR; Amini-Khoei H,Current pharmaceutical design,"Journal Article | Research Support, Non-U.S. Gov't",,2021,1381-6128,1873-4286,,"Animals | Anti-Anxiety Agents / pharmacology | Anxiety / drug therapy | Behavior, Animal | Diosgenin / pharmacology | Male | Maternal Deprivation | Mice | Quality of Life | Receptors, N-Methyl-D-Aspartate",Maternal separation | NMDA receptor | anxiety | diosignin | mice,,,,,,,eng,
10.2174/138945009788982496,,,Clinical uses of low-dose ketamine in patients undergoing surgery.,2009,Berti M; Baciarello M; Troglio R; Fanelli G,Current drug targets,Journal Article | Review,,2009-08,1389-4501,1873-5592,,"Anesthesia, General | Anesthesia, Local | Anesthetics, Dissociative / administration & dosage | Anesthetics, Dissociative / therapeutic use | Dose-Response Relationship, Drug | Excitatory Amino Acid Antagonists / administration & dosage | Excitatory Amino Acid Antagonists / therapeutic use | Humans | Ketamine / administration & dosage | Ketamine / therapeutic use | Postoperative Pain / physiopathology | Postoperative Pain / prevention & control",,,,,,,,eng,
10.2174/1566524015666150330143008,,,Glutamate Signaling in Synaptogenesis and NMDA Receptors as Potential Therapeutic Targets for Psychiatric Disorders.,2015,Ohgi Y; Futamura T; Hashimoto K,Current molecular medicine,"Journal Article | Research Support, Non-U.S. Gov't | Review",,2015,1566-5240,1875-5666,,"Animals | Antidepressive Agents / pharmacology | Antidepressive Agents / therapeutic use | Dendritic Spines / physiology | Glutamic Acid / physiology | Humans | Mental Disorders / drug therapy | Mental Disorders / metabolism | Mental Disorders / pathology | Neurogenesis | Receptors, N-Methyl-D-Aspartate / metabolism | Synapses / physiology | Synaptic Transmission",,,,,,,,eng,
10.2174/1568007024606212,,,Ionotropic glutamate receptors as therapeutic targets in schizophrenia.,2002,Coyle JT; Tsai G; Goff DC,Current drug targets. CNS and neurological disorders,"Journal Article | Research Support, Non-U.S. Gov't | Research Support, U.S. Gov't, P.H.S. | Review",,2002-04,1568-007X,,,"Animals | Clinical Trials as Topic / statistics & numerical data | Drug Delivery Systems / methods | Humans | Receptors, Glutamate / metabolism | Schizophrenia / drug therapy | Schizophrenia / metabolism",,NIMH NIH HHS,MH-51290 | MH-54245 | MH-57708 | MH-606450,,,,,eng,
10.2174/157488411796151129,,,Designer drugs on the internet: a phenomenon out-of-control? the emergence of hallucinogenic drug Bromo-Dragonfly.,2011,Corazza O; Schifano F; Farre M; Deluca P; Davey Z; Torrens M; Demetrovics Z; Di Furia L; Flesland L; Siemann H,Current clinical pharmacology,"Journal Article | Research Support, Non-U.S. Gov't | Review",,2011-05,1574-8847,2212-3938,,Bromobenzoates / adverse effects | Designer Drugs / adverse effects | Drug and Narcotic Control | Hallucinogens / adverse effects | Humans | Illicit Drugs / adverse effects | Internet | Propylamines / adverse effects | Public Health,,Medical Research Council | Department of Health,G0701681 | G0701818 | RP-PG-0609-10162,,,,,eng,
10.2174/157488609787354495,,,Prolonged exposure to ketamine increases brain derived neurotrophic factor levels in developing rat brains.,2009,Ibla JC; Hayashi H; Bajic D; Soriano SG,Current drug safety,Journal Article,,2009-01,1574-8863,,,"Animals | Animals, Newborn | Brain-Derived Neurotrophic Factor / drug effects | Brain-Derived Neurotrophic Factor / metabolism | DNA, Complementary / drug effects | DNA, Complementary / metabolism | Drug Administration Schedule | Excitatory Amino Acid Antagonists / administration & dosage | Excitatory Amino Acid Antagonists / toxicity | Gene Expression Regulation / drug effects | Ketamine / administration & dosage | Ketamine / toxicity | Rats | Rats, Sprague-Dawley | Receptor, trkB / drug effects | Receptor, trkB / metabolism | Time Factors",,,,,,,,eng,
