# Deterministic prescreen retained queue for mechanistic generated at 2026-05-19T07:31:34.184747+00:00
# doi,compound,target_or_disorder,optional_study_title,optional_study_year,optional_authors,optional_study_journal,optional_publication_type,optional_trial_registry_ids,optional_publication_date,optional_journal_issn,optional_journal_eissn,optional_publisher,optional_mesh_terms,optional_keywords,optional_funders,optional_grant_ids,optional_related_dois,optional_publication_relations,optional_is_retracted,optional_has_correction,optional_language,optional_semantic_scholar_id
10.1002/1873-3468.15099,,,"Molecular insights into the modulation of the 5
                    <scp>HT</scp>
                    <sub>
                      2
                      <scp>A</scp>
                    </sub>
                    receptor by serotonin, psilocin, and the G protein subunit Gqα",2025,Niklas Viohl; Ali Asghar Hakami Zanjani; Himanshu Khandelia,FEBS Letters,journal-article,,2025-01-26,0014-5793,1873-3468,Wiley,"Receptor, Serotonin, 5-HT2A / chemistry | Receptor, Serotonin, 5-HT2A / metabolism | GTP-Binding Protein alpha Subunits, Gq-G11 / metabolism | GTP-Binding Protein alpha Subunits, Gq-G11 / chemistry | Molecular Dynamics Simulation | Serotonin / chemistry | Serotonin / metabolism | Serotonin / pharmacology | Humans | Psilocybin / analogs & derivatives | Psilocybin / chemistry | Psilocybin / pharmacology | Psilocybin / metabolism | Protein Binding | Ligands | Protein Conformation | Binding Sites",5HT2AR | G protein‐coupled receptors | free energy calculations | molecular dynamics simulations | psilocin | psychedelics,Novo Nordisk Fonden | Lundbeck Foundation,NNF18OC0032608 | NNF18OC0034936 | R344-2020-1023,,,,,eng,
10.1007/s43440-021-00232-4,,,Ketamine—50 years in use: from anesthesia to rapid antidepressant effects and neurobiological mechanisms,2021,Samuel Kohtala,Pharmacological Reports,journal-article,,2021-02-20,1734-1140,2299-5684,Springer Science and Business Media LLC,"Anesthetics, Dissociative / administration & dosage | Anesthetics, Dissociative / pharmacology | Animals | Antidepressive Agents / administration & dosage | Antidepressive Agents / pharmacology | Dose-Response Relationship, Drug | Humans | Ketamine / administration & dosage | Ketamine / pharmacology | Neuronal Plasticity / drug effects",Anesthesia | Depression | Dose | Ketamine | Rapid-acting antidepressant | Subanesthetic,,,,,,,eng,
10.1007/s43440-023-00539-4,,,Cardiovascular safety of psychedelic medicine: current status and future directions,2023,Agnieszka Wsół,Pharmacological Reports,journal-article,,2023-10-24,1734-1140,2299-5684,Springer Science and Business Media LLC,Humans | Hallucinogens / adverse effects | Lysergic Acid Diethylamide / therapeutic use | Psilocybin / therapeutic use | Anxiety Disorders | Mescaline / therapeutic use,Cardiovascular | LSD | Psilocybin | Psychedelics,,,,,,,eng,
10.1007/s43440-023-00542-9,,,Preclinical models of treatment-resistant depression: challenges and perspectives,2023,Magdalena Kolasa; Agata Faron-Górecka,Pharmacological Reports,journal-article,,2023-10-26,1734-1140,2299-5684,Springer Science and Business Media LLC,"Rats | Animals | Humans | Depression | Major Depressive Disorder / drug therapy | Antidepressive Agents / therapeutic use | Antidepressive Agents / pharmacology | Depressive Disorder, Treatment-Resistant / drug therapy | Rats, Inbred WKY",Animal models | Chronic mild stress | DBS | Ketamine | Psilocybin | Treatment-resistant depression | Wistar Kyoto rats,Instytut Farmakologii im. Jerzego Maja Polskiej Akademii Nauk,Statutory Activity,,,,,eng,
10.1007/s43440-023-00546-5,,,Psychedelics action and schizophrenia,2023,Marzena Maćkowiak,Pharmacological Reports,journal-article,,2023-10-30,1734-1140,2299-5684,Springer Science and Business Media LLC,"Humans | Hallucinogens / pharmacology | Hallucinogens / therapeutic use | Schizophrenia / drug therapy | Serotonin | Psychotic Disorders / drug therapy | Memory, Short-Term",5-HT2A receptor | Hallucinogens | Mental disorder | Therapy,,,10.1007/s43440-024-00631-3,ErratumIn PMID:39093551 Pharmacol Rep. 2024 Oct;76(5):1196. doi: 10.1007/s43440-024-00631-3.,,true,eng,
10.1007/s43440-023-00547-4,,,Interaction of hallucinogenic rapid-acting antidepressants with mGlu2/3 receptor ligands as a window for more effective therapies,2023,Barbara Chruścicka-Smaga; Agata Machaczka; Bernadeta Szewczyk; Andrzej Pilc,Pharmacological Reports,journal-article,NCT03386448,2023-11-07,1734-1140,2299-5684,Springer Science and Business Media LLC,"Ketamine / pharmacology | Ketamine / therapeutic use | Hallucinogens / pharmacology | Psilocybin | Receptors, Metabotropic Glutamate | Antidepressive Agents / pharmacology | Antidepressive Agents / therapeutic use | Depression / drug therapy | Scopolamine / pharmacology",Co-treatment | Depression | Glutamatergic system | Hallucinogens | Psychedelics | Rapid-acting antidepressants | mGlu2/3 receptors,Narodowe Centrum Nauki,2020/37/B/NZ7/03499,,,,,eng,
10.1007/s43440-023-00550-9,,,The possible place for psychedelics in pharmacotherapy of mental disorders,2023,Adam Wojtas,Pharmacological Reports,journal-article,,2023-11-07,1734-1140,2299-5684,Springer Science and Business Media LLC,Humans | Hallucinogens / pharmacology | Hallucinogens / therapeutic use | Mental Disorders / drug therapy | Psilocybin / therapeutic use | Psilocybin / pharmacology | Ketamine / pharmacology | Ketamine / therapeutic use | Antidepressive Agents / pharmacology | Antidepressive Agents / therapeutic use | Serotonin / metabolism,5-MeO-DMT | DMT | Fast-acting antidepressant drugs | Ketamine | LSD | Mood disorders | Psilocybin,,,,,,,eng,
10.1007/s43440-024-00656-8,,,Drugs with glutamate-based mechanisms of action in psychiatry,2024,Adrian Andrzej Chrobak; Marcin Siwek,Pharmacological Reports,journal-article,ISRCTN45683816,2024-09-27,1734-1140,2299-5684,Springer Science and Business Media LLC,"Humans | Animals | Glutamic Acid / metabolism | Mental Disorders / drug therapy | Receptors, Glutamate / metabolism | Receptors, Glutamate / drug effects | Psychotropic Drugs / pharmacology | Psychotropic Drugs / therapeutic use",Antidepressant drugs | Antipsychotic drugs | Excitotoxicity | Mood disorders | Psychosis | Treatment resistance,,,,,,,eng,
10.1007/s43440-024-00660-y,,,Psilocybin and the glutamatergic pathway: implications for the treatment of neuropsychiatric diseases,2024,Izabela Szpręgiel; Agnieszka Bysiek,Pharmacological Reports,journal-article,,2024-10-16,1734-1140,2299-5684,Springer Science and Business Media LLC,Humans | Psilocybin / pharmacology | Psilocybin / therapeutic use | Animals | Glutamic Acid / metabolism | Mental Disorders / drug therapy | Mental Disorders / metabolism | Synaptic Transmission / drug effects | Antidepressive Agents / pharmacology | Antidepressive Agents / therapeutic use | Hallucinogens / pharmacology | Hallucinogens / therapeutic use | Neuronal Plasticity / drug effects,5-HT2A receptor | Depression | GABA | Glutamate | Psilocybin,Narodowe Centrum Nauki | Instytut Farmakologii im. Jerzego Maja Polskiej Akademii Nauk,2020/37/B/NZ7/03753 | Statutory funds,,,,,eng,
10.1007/s43440-024-00679-1,,,Assessing the effects of 5-HT2A and 5-HT5A receptor antagonists on DOI-induced head-twitch response in male rats using marker-less deep learning algorithms,2024,Ewelina Cyrano; Piotr Popik,Pharmacological Reports,journal-article,,2024-11-27,1734-1140,2299-5684,Springer Science and Business Media LLC,"Animals | Male | Rats | Amphetamines / pharmacology | Deep Learning | Head Movements / drug effects | Serotonin 5-HT2 Receptor Antagonists / pharmacology | Receptor, Serotonin, 5-HT2A / metabolism | Receptor, Serotonin, 5-HT2A / drug effects | Algorithms | Serotonin Antagonists / pharmacology | Hallucinogens / pharmacology | Dose-Response Relationship, Drug",5-HT2A | 5-HT5A | Computer vision | Head-twitch | Machine learning | Psychedelic,,,,,,,eng,
10.1007/s43440-025-00817-3,,,The effect of psilocin on neurotransmitters release in the claustrum and on rat behavior.,2026,Kościuk Z; Szpręgiel I; Bysiek A; Gołembiowska K,Pharmacological reports : PR,Journal Article,,2026-01-05,1734-1140,2299-5684,,,25I-NBOMe | Claustrum | Microdialysis | Neurotransmission | Psilocin,Instytut Farmakologii im. Jerzego Maja Polskiej Akademii Nauk,Statutory funds,,,,,eng,
10.1007/s44192-026-00408-5,,,The combination of exercise and psychedelics for the treatment of major depressive disorder,2026,Nicholas Fabiano; Brendon Stubbs; David W. Lawrence; Joshua D. Rosenblat; Pedro J. Teixeira; Stanley Wong; Carl Zhou; Robin Carhart-Harris,Discover mental health,Letter,,2026-03-07,2731-4383,2731-4383,,,Exercise | Depression | Major depressive disorder | Physical activity | Psilocybin | Psychedelic,,,,,,,eng,
10.1016/S0304-3959(99)00044-5,,,Use and efficacy of low-dose ketamine in the management of acute postoperative pain: a review of current techniques and outcomes,1999,Roger L. Schmid; Alan N. Sandler; Joel Katz,Pain,journal-article,,1999-08-01,0304-3959,1872-6623,Ovid Technologies (Wolters Kluwer Health),"Analgesia, Epidural | Analgesics / therapeutic use | Dose-Response Relationship, Drug | Humans | Injections, Intramuscular | Injections, Intravenous | Ketamine / therapeutic use | Postoperative Pain / drug therapy | Randomized Controlled Trials as Topic | Treatment Outcome",,NINDS NIH HHS,NS35480,10.1016/S0304-3959(00)00318-3,CommentIn PMID:11221655 Pain. 2000 Dec 1;88(3):311-312. doi: 10.1016/S0304-3959(00)00318-3.,,,eng,
10.1016/S0893-133X(00)00163-9,,,Regulation of Sensorimotor Gating of the Startle Reflex by Serotonin 2A Receptors Ontogeny and Strain Differences,2000,M Farid,Neuropsychopharmacology,journal-article,,2000-12-01,0893-133X,1740-634X,Springer Science and Business Media LLC,"Age Factors | Animals | Dose-Response Relationship, Drug | Female | Indophenol / analogs & derivatives | Indophenol / pharmacology | Male | Neural Inhibition / drug effects | Neural Inhibition / physiology | Rats | Rats, Sprague-Dawley / metabolism | Rats, Wistar / metabolism | Receptor, Serotonin, 5-HT2A | Receptors, Serotonin / drug effects | Receptors, Serotonin / metabolism | Reflex, Startle / drug effects | Reflex, Startle / physiology | Serotonin Receptor Agonists / pharmacology | Sex Factors",,NIMH NIH HHS,MH-01436 | MH-42228 | MH-53484,,,,,eng,
10.1016/j.ajpath.2015.12.014,,,Ketamine-Induced Apoptosis in Normal Human Urothelial Cells,2016,Simon C. Baker; Saqib Shabir; Nikolaos T. Georgopoulos; Jennifer Southgate,American Journal Of Pathology,journal-article,,2016-03-18,0002-9440,1525-2191,Elsevier BV,"Analgesics / administration & dosage | Analgesics / toxicity | Apoptosis / drug effects | Calcium Signaling / drug effects | Cells, Cultured | Cystitis / chemically induced | Dose-Response Relationship, Drug | Excitatory Amino Acid Antagonists / toxicity | Humans | Ketamine / administration & dosage | Ketamine / toxicity | Mitochondria / drug effects | Oxygen Consumption / drug effects | Receptors, N-Methyl-D-Aspartate / antagonists & inhibitors | Signal Transduction / drug effects | Stress, Physiological / drug effects | Urinary Bladder / drug effects | Urothelium / drug effects",,Wellcome Trust,092430/Z/10/Z | 090577/Z/09/Z,,,,,eng,
10.1016/j.apsb.2016.07.007,,,Development of a mechanism-based pharmacokinetic/pharmacodynamic model to characterize the thermoregulatory effects of serotonergic drugs in mice.,2016,Jiang XL; Shen HW; Mager DE; Schmidt S; Yu AM,Acta pharmaceutica Sinica. B,Journal Article,,2016-08-06,2211-3835,,,,Indolealkylamine | Monoamine oxidase-A inhibitor | PK/PD model | Serotonin | Stress | Thermoregulation,NCI NIH HHS | NIDA NIH HHS,P30 CA093373 | R01 DA021172,,,,,eng,
10.1016/j.apsb.2025.07.002,,,Biased signaling via serotonin 5-HT(2A) receptor: From structural aspects to in vitro and in vivo pharmacology.,2025,Jastrzębski MK; Wójcik P; Grudzińska A; Andreozzi G; Vetrò T; Asim A; Mudgal A; Czapiński J; Wróbel TM; Bartuzi D,Acta pharmaceutica Sinica. B,Journal Article | Review,,2025-07-05,2211-3835,,,,5-HT2A receptor | Biased agonism | Biased signaling | G protein-coupled receptors | Mental health disorders | Psychedelics,,,,,,,eng,
10.1016/j.bbih.2022.100554,,,Neuroinflammation and neuroprogression in depression: Effects of alternative drug treatments.,2022,Richardson B; MacPherson A; Bambico F,"Brain, behavior, & immunity - health",Journal Article | Review,,2022-11-08,2666-3546,2666-3546,,,Cytokine | Depression | Inflammation | Major depressive disorder (MDD) | Neuroplasticity | Neuroprogression | Serotonin | Treatment,,,,,,,eng,
10.1016/j.bbr.2023.114473,,,Ketamine supresses REM sleep and markedly increases EEG gamma oscillations in the Wistar Kyoto rat model of treatment-resistant depression,2023,Sandor Kantor; Michael Lanigan; Lauren Giggins; Lisa Lione; Lilia Magomedova; Inés de Lannoy; Neil Upton; Mark Duxon,Behavioural Brain Research,journal-article,,2023-05-03,0166-4328,1872-7549,Elsevier BV,"Rats | Animals | Male | Rats, Inbred WKY | Sleep, REM / physiology | Depression | Ketamine / pharmacology | Rats, Sprague-Dawley | Electroencephalography | Antidepressive Agents / pharmacology | Sleep / physiology",EEG gamma power | Ketamine | NMDA receptor antagonist | REM sleep | Treatment-resistant depression | Wistar–Kyoto rats,,,,,,,eng,
10.1016/j.bcp.2016.09.006,,,"The external gate of the human and Drosophila serotonin transporters requires a basic/acidic amino acid pair for 3,4-methylenedioxymethamphetamine (MDMA) translocation and the induction of substrate efflux",2016,Natalie R. Sealover; Bruce Felts; Charles P. Kuntz; Rachel E. Jarrard; Gregory H. Hockerman; Eric L. Barker; L. Keith Henry,Biochemical Pharmacology,journal-article,,2016-09-14,0006-2952,1873-2968,Elsevier BV,"Amino Acid Substitution | Animals | Caenorhabditis elegans Proteins / chemistry | Caenorhabditis elegans Proteins / genetics | Caenorhabditis elegans Proteins / metabolism | Drosophila Proteins / chemistry | Drosophila Proteins / genetics | Drosophila Proteins / metabolism | Drosophila melanogaster | HEK293 Cells | Hallucinogens / metabolism | Hallucinogens / pharmacology | Humans | Mutagenesis, Site-Directed | Mutation | N-Methyl-3,4-methylenedioxyamphetamine / metabolism | N-Methyl-3,4-methylenedioxyamphetamine / pharmacology | Oocytes / drug effects | Oocytes / metabolism | Patch-Clamp Techniques | Peptide Fragments / chemistry | Peptide Fragments / genetics | Peptide Fragments / metabolism | Protein Interaction Domains and Motifs | Recombinant Fusion Proteins / chemistry | Recombinant Fusion Proteins / metabolism | Serotonin / metabolism | Serotonin Agents / metabolism | Serotonin Agents / pharmacology | Serotonin Plasma Membrane Transport Proteins / chemistry | Serotonin Plasma Membrane Transport Proteins / genetics | Serotonin Plasma Membrane Transport Proteins / metabolism | Species Specificity | Substrate Specificity | Xenopus laevis",Amphetamine | Efflux | Electrophysiology | Mutagenesis | Serotonin transporter,NIDA NIH HHS,K01 DA022378 | R01 DA018682,10.1016/j.bcp.2017.11.001,ErratumIn PMID:29195124 Biochem Pharmacol. 2018 Jan;147:9. doi: 10.1016/j.bcp.2017.11.001.,,true,eng,
10.1016/j.bcp.2024.116183,,,Tabernanthalog and ibogainalog inhibit the α7 and α9α10 nicotinic acetylcholine receptors via different mechanisms and with higher potency than the GABAA receptor and CaV2.2 channel,2024,Han-Shen Tae; Marcelo O. Ortells; Arsalan Yousuf; Sophia Q. Xu; Gustav Akk; David J. Adams; Hugo R. Arias,Biochemical Pharmacology,journal-article,,2024-04-04,0006-2952,1873-2968,Elsevier BV,"Rats | Animals | Humans | Receptors, Nicotinic / metabolism | Receptors, GABA-A / genetics | alpha7 Nicotinic Acetylcholine Receptor / metabolism | Molecular Docking Simulation | gamma-Aminobutyric Acid",Ca(V)2.2 channel | GABA(A) receptor | Ibogainalog | Nicotinic acetylcholine receptor | Psychoplastogens | Tabernanthalog,NIGMS NIH HHS,R35 GM140947,,,,,eng,
10.1016/j.bcp.2024.116516,,,Ketamine – An Imperfect Wonder Drug?,2024,Tanner Magruder; Marielle Isenhart; Maximillian V. Striepe; Andrew Mannisto; Karry M. Jannie; Jolene Smith; Kenneth E. McCarson; Daniel T. Christian; Vanja Duric,Biochemical Pharmacology,journal-article,,2024-08-30,0006-2952,1873-2968,Elsevier BV,"Ketamine / therapeutic use | Ketamine / pharmacology | Humans | Anesthetics, Dissociative / adverse effects | Anesthetics, Dissociative / therapeutic use | Animals | Hallucinogens / therapeutic use | Hallucinogens / adverse effects | Hallucinogens / pharmacology",Abuse | Analgesia | Anesthesia | Antidepressant | Hallucinogen | Ketamine,NIAAA NIH HHS,R03 AA031063,,,,,eng,
10.1016/j.biopsych.2013.12.015,,,"The Effects of Acutely Administered 3,4-Methylenedioxymethamphetamine on Spontaneous Brain Function in Healthy Volunteers Measured with Arterial Spin Labeling and Blood Oxygen Level–Dependent Resting State Functional Connectivity",2014,Robin L. Carhart-Harris; Kevin Murphy; Robert Leech; David Erritzoe; Matthew B. Wall; Bart Ferguson; Luke T.J. Williams; Leor Roseman; Stefan Brugger; Ineke De Meer,Biological Psychiatry,journal-article,,2014-01-10,0006-3223,1873-2402,Elsevier BV,"Adult | Affect / physiology | Amygdala / drug effects | Cerebrovascular Circulation / drug effects | Double-Blind Method | Female | Healthy Volunteers | Hippocampus / drug effects | Humans | Magnetic Resonance Imaging | Male | Middle Aged | N-Methyl-3,4-methylenedioxyamphetamine / administration & dosage | Oxygen / blood | Prefrontal Cortex / drug effects | Serotonin Agents / administration & dosage | Temporal Lobe / drug effects | Young Adult",5-HT | Amygdala | Hippocampus | MDMA | PTSD | Serotonin | fMRI,Wellcome Trust | Medical Research Council,090199 | MR/J00460X/1,10.1016/j.biopsych.2015.08.015,CommentIn PMID:26386625 Biol Psychiatry. 2015 Oct 15;78(8):519-21. doi: 10.1016/j.biopsych.2015.08.015.,,,eng,
10.1016/j.biopsych.2025.11.021,,,Bifunctional Modulation of NMDA and Opioid Receptors in Ketamine Reinforcement and Misuse: Implications for Substance Use Disorder Treatment,2025,Marjorie R. Levinstein; Ingrid Schoenborn; Peter Manza; Alan F. Schatzberg; Carlos A. Zarate; Jordi Bonaventura; Michael Michaelides,Biological Psychiatry,journal-article,,2025-12-01,0006-3223,1873-2402,Elsevier BV,,Addiction | Ketamine | Ketamine antagonist | NMDA antagonist | Opioid use disorder | Substance use disorder,Intramural NIH HHS,ZIA DA000069,,,,,eng,
10.1016/j.bja.2024.11.018,,,"The diverse effects of ketamine, jack-of-all-trades: a narrative review",2025,Nicholas D. Richards; Simon J. Howell; Mark C. Bellamy; James Beck,British Journal of Anaesthesia,journal-article,,2025-01-04,0007-0912,1471-6771,Elsevier BV,"Ketamine / pharmacology | Humans | Anesthetics, Dissociative / pharmacology | Analgesics / pharmacology",NMDA receptor antagonist | anaesthesia | analgesia | anti-inflammatory properties | antidepressant effects | ketamine | sedation | tumour suppression,,,,,,,eng,
10.1016/j.bpj.2022.01.024,,,The substrate import mechanism of the human serotonin transporter,2022,Matthew C. Chan; Balaji Selvam; Heather J. Young; Erik Procko; Diwakar Shukla,Biophysical Journal,journal-article,,2022-02-01,0006-3495,1542-0086,Elsevier BV,Biological Transport | Humans | Molecular Dynamics Simulation | Protein Conformation | Serotonin / metabolism | Serotonin Plasma Membrane Transport Proteins / chemistry | Serotonin Plasma Membrane Transport Proteins / metabolism,,NIMH NIH HHS,R21 MH113155,,,,,eng,
10.1016/j.bpsgos.2023.07.008,,,The Nonclassic Psychedelic Ibogaine Disrupts Cognitive Maps,2023,Victorita E. Ivan; David P. Tomàs‐Cuesta; Ingrid M. Esteves; Davor Curic; Majid H. Mohajerani; Bruce L. McNaughton; J. Davidsen; Aaron J. Gruber,Biological psychiatry global open science,Journal Article,,2023-08-05,2667-1743,2667-1743,,,Neuronal avalanches | Path integration | Psychedelics | Retrosplenial cortex,,,,,,,eng,
10.1016/j.brainres.2024.149425,,,Dimethyltryptamine (DMT) and ibogaine elicit membrane effects in HEK cells transiently transfected with the human 5-HT2A receptor,2024,Jannik Nicklas Eliasen; Uffe Kristiansen; Kristi A. Kohlmeier,Brain Research,journal-article,,2024-12-26,0006-8993,1872-6240,Elsevier BV,"Humans | Receptor, Serotonin, 5-HT2A / genetics | Receptor, Serotonin, 5-HT2A / metabolism | HEK293 Cells | Hallucinogens / pharmacology | Transfection | Ibogaine / pharmacology | N,N-Dimethyltryptamine / pharmacology | Membrane Potentials / drug effects | Patch-Clamp Techniques | Serotonin 5-HT2 Receptor Agonists / pharmacology | Cell Membrane / drug effects",Affective disorders | G Protein-coupled receptor | I–V curves | Membrane currents | Psychedelics | Single nucleotide polymorphism,,,,,,,eng,
10.1016/j.cpnec.2022.100163,,,Subacute effects of a single dose of psilocybin on biomarkers of inflammation in healthy humans: An open-label preliminary investigation,2022,Daniel Burmester; M. Madsen; Attila Szabó; Sanjay S. Aripaka; Dea Siggaard Stenbæk; Vibe G. Frøkjær; Betina Elfving; Jens D. Mikkelsen; Gitte M. Knudsen; Patrick M. Fisher,Comprehensive psychoneuroendocrinology,Journal Article,,2022-12-06,2666-4976,2666-4976,,,Biomarkers | Immune system | Inflammation | Neuroinflammation | Psilocybin | Psychedelics | TNF | hsCRP | suPAR,,,,,,,eng,
10.1016/j.cpnec.2025.100303,,,The psychedelic-peptide paradox: a hormetic hypothesis,2025,C. Sue Carter,Comprehensive Psychoneuroendocrinology,journal-article,,2025-06-02,2666-4976,2666-4976,Elsevier BV,,Hormesis | Oxytocin | Psychedelics | Stress | Vasopressin,,,,,,,eng,
10.1016/j.crtox.2022.100075,,,"A review on the mitochondrial toxicity of ""ecstasy"" (3,4-methylenedioxymethamphetamine, MDMA).",2022,Capela JP; Carvalho FD,Current research in toxicology,Journal Article,,2022-05-19,2666-027X,2666-027X,,,"3,4-Methylenedioxymethamphetamine | 5-HT, Serotonin | Drug of Abuse | Hepatotoxicity | MAO, Monoamine oxidase | MDMA, 3,4-Methylenedioxymethamphetamine | MPT, Mitochondrial permeability transition | Mitochondrial membrane potential | Mitochondrial toxicity | Mitochondrial trafficking | NA, Noradrenaline | Neurotoxicity | PST, Post-traumatic stress disorder | ROS, Reactive oxygen species | SERT, Serotonin transporter | UCP-3, Uncoupling protein-3 | ΔΨm, Mitochondrial membrane potential",,,,,,,eng,
10.1016/j.disamonth.2024.101851,,,"Ecstasy, molly, MDMA: What health practitioners need to know about this common recreational drug",2025,Andrew M. Farrar; Isabelle H. Nordstrom; Kaitlyn Shelley; Gayane Archer; Kaitlyn N. Kunstman; Joseph J. Palamar,Disease-a-Month,journal-article,,2025-01-14,0011-5029,1557-8194,Elsevier BV,"Humans | N-Methyl-3,4-methylenedioxyamphetamine / adverse effects | N-Methyl-3,4-methylenedioxyamphetamine / pharmacology | Illicit Drugs / adverse effects | Illicit Drugs / pharmacology | Hallucinogens / pharmacology | Hallucinogens / adverse effects",Designer drugs | Ecstasy | Hallucinogen | Harm reduction | MDMA | Overdose | Phenylethylamines | Psychedelic | Synthetic cathinones,NIDA NIH HHS,R01 DA057289,,,,,eng,
10.1016/j.drudis.2023.103518,,,"Inflammation, stress and depression: An exploration of ketamine’s therapeutic profile",2023,Jenessa N. Johnston; Maximillian S. Greenwald; Ioline D. Henter; Christoph Kraus; Anahit Mkrtchian; Neil G. Clark; Lawrence T. Park; Philip Gold; Carlos A. Zarate; Bashkim Kadriu,Drug Discovery Today,journal-article,,2023-02-07,1359-6446,1878-5832,Elsevier BV,Animals | Depression / drug therapy | Ketamine / pharmacology | Ketamine / therapeutic use | Antidepressive Agents / pharmacology | Antidepressive Agents / therapeutic use | Inflammation / drug therapy | Anti-Inflammatory Agents / pharmacology | Anti-Inflammatory Agents / therapeutic use,Ketamine | anhedonia | depression | inflammation | stress | treatment-resistant depression,Intramural NIH HHS,ZIA MH002857,,,,,eng,
10.1016/j.drugalcdep.2024.112426,,,"Biological sex modulates the efficacy of 2,5-dimethoxy-4-iodoamphetamine (DOI) to mitigate fentanyl demand",2024,Alice J. McQueney; Erik J. Garcia,Drug and Alcohol Dependence,journal-article,,2024-08-25,0376-8716,1879-0046,Elsevier BV,"Animals | Male | Female | Fentanyl / pharmacology | Rats, Sprague-Dawley | Rats | Self Administration | Amphetamines / pharmacology | Sex Characteristics | Serotonin 5-HT2 Receptor Agonists / pharmacology | Dose-Response Relationship, Drug | Analgesics, Opioid / pharmacology | Hallucinogens / pharmacology",2 | 5-dimethoxy-4-iodoamphetamine (DOI) | Behavioral economics | Fentanyl | Self-administration | Serotonin 5-HT(2A) receptor | Sex differences | Sprague-Dawley rat,NIGMS NIH HHS,P20 GM130461,,,,,eng,
10.1016/j.ebiom.2016.08.049,,,Psychedelics Recruit Multiple Cellular Types and Produce Complex Transcriptional Responses Within the Brain.,2016,Martin DA; Nichols CD,EBioMedicine,Journal Article,,2016-09-03,2352-3964,2352-3964,,"Animals | Astrocytes / drug effects | Astrocytes / metabolism | Brain / drug effects | Brain / metabolism | Flow Cytometry | GABAergic Neurons / drug effects | GABAergic Neurons / metabolism | Gene Expression Profiling | Gene Expression Regulation / drug effects | Hallucinogens / pharmacology | Immunophenotyping | Interneurons / drug effects | Interneurons / metabolism | Male | Neuroglia / drug effects | Neuroglia / metabolism | Neurons / drug effects | Neurons / metabolism | Organ Specificity | Rats | Receptor, Serotonin, 5-HT2A / genetics | Receptor, Serotonin, 5-HT2A / metabolism | Transcriptome",5-HT2A | Astrocytes | FACS | Gene expression | Glia | Immunofluorescence | Neurocytometry | Neurons | Psychedelics | Serotonin | mPFC,NIGMS NIH HHS | NIMH NIH HHS,P30 GM106392 | R01 MH083689,,,,,eng,
10.1016/j.ebiom.2019.10.063,,,Pro-inflammatory monocyte profile in patients with major depressive disorder and suicide behaviour and how ketamine induces anti-inflammatory M2 macrophages by NMDAR and mTOR.,2019,Nowak W; Grendas LN; Sanmarco LM; Estecho IG; Arena ÁR; Eberhardt N; Rodante DE; Aoki MP; Daray FM; Carrera Silva EA,EBioMedicine,Journal Article,,2019-11-18,2352-3964,2352-3964,,"Adult | Animals | Biomarkers | Cytokines / blood | Cytokines / metabolism | Major Depressive Disorder / etiology | Major Depressive Disorder / metabolism | Major Depressive Disorder / psychology | Disease Models, Animal | Female | Gene Expression Regulation / drug effects | Humans | Immunophenotyping | Inflammation Mediators / blood | Inflammation Mediators / metabolism | Ketamine / metabolism | Ketamine / pharmacology | Macrophages / drug effects | Macrophages / metabolism | Male | Mice | Middle Aged | Monocytes / drug effects | Monocytes / metabolism | Receptors, N-Methyl-D-Aspartate / metabolism | Signal Transduction / drug effects | Suicide | TOR Serine-Threonine Kinases / metabolism | Young Adult",Anti-inflammatory M2 macrophages | Depression | IL-12 | Ketamine | NMDAR | Non-classical monocytes | mTOR pathway,,,,,,,eng,
10.1016/j.ebr.2019.100326,,,Ketamine use in refractory status epilepticus associated with anti-NMDA receptor antibody encephalitis.,2019,Santoro JD; Filippakis A; Chitnis T,Epilepsy & behavior reports,Case Reports | Journal Article,,2019-06-23,2589-9864,2589-9864,,,Encephalitis | Epilepsy | Ketamine | NMDA | Refractory status epilepticus,,,,,,,eng,
10.1016/j.ejphar.2019.172427,,,Pharmacological characterizations of the 'legal high' fluorolintane and isomers,2019,Jason Wallach; Tristan Colestock; Julià Agramunt; Matt D.B. Claydon; Michael Dybek; Nadine Filemban; Muhammad Chatha; Adam L. Halberstadt; Simon D. Brandt; David Lodge,European Journal of Pharmacology,journal-article,,2019-05-29,0014-2999,1879-0712,Elsevier BV,"Animals | Binding Sites | Dose-Response Relationship, Drug | Excitatory Postsynaptic Potentials / drug effects | Hippocampus / drug effects | Hippocampus / physiology | Isomerism | Long-Term Potentiation / drug effects | Male | Pyrrolidines / chemistry | Pyrrolidines / metabolism | Pyrrolidines / pharmacology | Rats | Receptors, N-Methyl-D-Aspartate / metabolism",Diphenidine | Fluorolintane | Ketamine | Legal high | NMDA receptor antagonist,Medical Research Council | NIDA NIH HHS,MR/R010919/1 | R01 DA041336,,,,,eng,
