# Deterministic prescreen excluded queue for mechanistic generated at 2026-05-19T07:31:34.240394+00:00
# doi,compound,target_or_disorder,optional_study_title,optional_study_year,optional_authors,optional_study_journal,optional_publication_type,optional_trial_registry_ids,optional_publication_date,optional_journal_issn,optional_journal_eissn,optional_publisher,optional_mesh_terms,optional_keywords,optional_funders,optional_grant_ids,optional_related_dois,optional_publication_relations,optional_is_retracted,optional_has_correction,optional_language,optional_semantic_scholar_id
10.1002/minf.201300013,,,Probing the Selectivity of Monoamine Transporter Substrates by Means of Molecular Modeling,2013,A. Seddik; M. Holy; Rene Weissensteiner; Barbara Zdrazil; H. Sitte; G. Ecker,Molecular Informatics,JournalArticle,,2013-06-01,1868-1743,1868-1751,Wiley,,Chemistry | Medicine | external | s2-fos-model,Funded Access | Austrian Science Fund,F03502 | F3506 | W1232,,,,,en,b66dddba28797d68fccdec32ed9c0205274c1d54
10.1016/j.schres.2003.08.006,,,Risperidone response and 5-HT6 receptor gene variance: genetic association analysis with adjustment for nongenetic confounders,2003,H Lane,Schizophrenia Research,journal-article,,2003-11-24,0920-9964,1573-2509,Elsevier BV,"Acute Disease | Adolescent | Adult | Antipsychotic Agents / therapeutic use | Cognition Disorders / diagnosis | Depression / psychology | Female | Genetic Variation / genetics | Genotype | Hospitalization | Humans | Male | Middle Aged | Polymorphism, Genetic / genetics | Prospective Studies | Receptors, Serotonin / genetics | Risperidone / therapeutic use | Schizophrenia / drug therapy | Schizophrenia / genetics | Schizophrenia / rehabilitation | Schizophrenic Psychology",,,,,,,,eng,
10.1016/j.schres.2005.06.003,,,Examination of the trace amine-associated receptor 2 (TAAR2),2005,Mike Bly,Schizophrenia Research,journal-article,,2005-12,0920-9964,1573-2509,Elsevier BV,"Codon, Nonsense / genetics | DNA Primers / genetics | Genotype | Humans | Point Mutation / genetics | Polymerase Chain Reaction | Receptors, G-Protein-Coupled / genetics | Schizophrenia / genetics",,,,,,,,en,
10.1016/j.schres.2006.09.031,,,Dopamine transporter (DAT) genotype (VNTR) and phenotype in extrapyramidal symptoms induced by antipsychotics,2006,A LAFUENTE; M BERNARDO; S MAS; A CRESCENTI; M APARICI; P GASSO; R CATALAN; J MATEOS; F LOMENA; E PARELLADA,Schizophrenia Research,journal-article,,2006-12-06,0920-9964,1573-2509,Elsevier BV,"Adult | Alleles | Antipsychotic Agents / adverse effects | Antipsychotic Agents / therapeutic use | Basal Ganglia Diseases / chemically induced | Basal Ganglia Diseases / genetics | Brain / diagnostic imaging | Brain / drug effects | Dopamine Plasma Membrane Transport Proteins / genetics | Dose-Response Relationship, Drug | Dyskinesia, Drug-Induced / genetics | Female | Gene Expression / drug effects | Genotype | Humans | Male | Minisatellite Repeats / genetics | Phenotype | Polymorphism, Genetic / genetics | Schizophrenia / drug therapy | Tomography, Emission-Computed, Single-Photon",,,,,,,,eng,
10.1016/j.schres.2007.10.014,,,"GABAA/Benzodiazepine receptor binding in patients with schizophrenia using [11C]Ro15-4513, a radioligand with relatively high affinity for α5 subunit",2007,Yoshiyuki Asai; Akihiro Takano; Hiroshi Ito; Yoshiro Okubo; Masato Matsuura; Akihiko Otsuka; Hidehiko Takahashi; Tomomichi Ando; Shigeo Ito; Ryosuke Arakawa,Schizophrenia Research,journal-article,,2007-12-01,0920-9964,1573-2509,Elsevier BV,"Adult | Azides | Benzodiazepines | Binding, Competitive | Brain / diagnostic imaging | Carbon Radioisotopes | Dominance, Cerebral / physiology | Female | Hippocampus / diagnostic imaging | Humans | Learning / physiology | Male | Memory / physiology | Middle Aged | Positron-Emission Tomography | Prefrontal Cortex / diagnostic imaging | Protein Subunits / metabolism | Psychiatric Status Rating Scales | Psychotic Disorders / diagnostic imaging | Receptors, GABA-A / metabolism | Schizophrenia / diagnostic imaging",,,,,,,,eng,
10.1016/j.schres.2010.02.585,,,RELATIONSHIP BETWEEN THE DOPAMINE TRANSPORTER GENE (DAT) CORE PROMOTER POLYMORPHISM -67A/T AND STRIATAL DAT BINDING WITH [123I] FP-CIT SPECT,2010,Anna Mane; Jose J. Mateos; Francsico Lomeña; Amalia Lafuente; Sergi Mas; Judit Gallego; Javier Pavia; Miguel Bernardo; Eduard Parellada,Schizophrenia Research,journal-article,,2010-04,0920-9964,1573-2509,Elsevier BV,,,,,,,,,en,
10.1016/j.schres.2010.02.968,,,DOPAMINE TRANSPORTER (DAT) ACTIVITY REGULATES THE INDUCTION OF SYNAPTIC PLASTICITY IN RODENT PREFRONTAL CORTEX,2010,Jing Bai; V. Gorgievski; E. Tzavara; M. Nosten-Bertrand; B. Giros; S. Otani,Schizophrenia Research,journal-article,,2010-04-01,0920-9964,1573-2509,Elsevier BV,,Psychology | external,,,,,,,en,b80262a7431dff59cd1c8ec9c8865f8323705cd8
10.1016/j.steroids.2011.01.008,,,Progesterone signals through membrane progesterone receptors (mPRs) in MDA-MB-468 and mPR-transfected MDA-MB-231 breast cancer cells which lack full-length and N-terminally truncated isoforms of the nuclear progesterone receptor,2011,Yefei Pang; Peter Thomas,Steroids,journal-article,,2011-02-01,0039-128X,1878-5867,Elsevier BV,"Adenylyl Cyclases / metabolism | Breast Neoplasms | Cell Line, Tumor | Cell Membrane / chemistry | Cell Membrane / metabolism | Cell Nucleus / metabolism | Cyclic AMP / biosynthesis | Enzyme Assays | Female | GTP-Binding Proteins / metabolism | Guanosine 5'-O-(3-Thiotriphosphate) / chemistry | Humans | Peptide Fragments / genetics | Peptide Fragments / metabolism | Progesterone / pharmacology | Progesterone / physiology | Protein Isoforms / genetics | Protein Isoforms / metabolism | Protein Structure, Tertiary | RNA Interference | Receptors, Progesterone / genetics | Receptors, Progesterone / metabolism | Recombinant Proteins / genetics | Recombinant Proteins / metabolism | Transcription, Genetic",,NIEHS NIH HHS | PHS HHS,R01 ES012961 | ESO 12961,,,,,eng,
10.1016/j.taap.2014.07.009,,,Prediction of binding affinity and efficacy of thyroid hormone receptor ligands using QSAR and structure-based modeling methods,2014,Regina Politi; Ivan Rusyn; Alexander Tropsha,Toxicology and Applied Pharmacology,journal-article,,2014-07-21,0041-008X,1096-0333,Elsevier BV,"Binding Sites / physiology | Crystallography, X-Ray | Databases, Factual | Forecasting | Ligands | Protein Binding / physiology | Quantitative Structure-Activity Relationship | Receptors, Thyroid Hormone / chemistry | Receptors, Thyroid Hormone / metabolism | Thyroid Hormones / chemistry | Thyroid Hormones / metabolism",Docking | Endocrine disrupting chemicals | Quantitative Structure–Activity Relationships modeling | Thyroid hormone receptor | Virtual screening,NIGMS NIH HHS,R01 GM066940 | R01 GM096967 | R21 GM076059 | GM076059,,,,,eng,
10.1016/j.taap.2016.12.021,,,A semi-quantitative translational pharmacology analysis to understand the relationship between in vitro ENT1 inhibition and the clinical incidence of dyspnoea and bronchospasm,2016,Lyn Rosenbrier Ribeiro; R. Ian Storer,Toxicology and Applied Pharmacology,journal-article,,2016-12-29,0041-008X,1096-0333,Elsevier BV,"Adenosine / analogs & derivatives | Adenosine / pharmacology | Adenosine / therapeutic use | Animals | Bronchial Spasm / drug therapy | Bronchial Spasm / epidemiology | Cilostazol | Clinical Trials as Topic / methods | Dipyridamole / pharmacology | Dipyridamole / therapeutic use | Dyspnea / drug therapy | Dyspnea / epidemiology | Equilibrative Nucleoside Transporter 1 / antagonists & inhibitors | Humans | Incidence | Piperazines / pharmacology | Piperazines / therapeutic use | Tetrazoles / pharmacology | Tetrazoles / therapeutic use | Ticagrelor | Translational Research, Biomedical / methods",Bronchospasm | Dyspnoea | ENT1 | Off-target pharmacology | Respiratory disease | Translation,,,,,,,eng,
10.1016/j.taap.2024.116880,,,"Molecular docking, characterization, ADME/toxicity prediction, and anti-ulcer activity of new quercetin derivatives on indomethacin-induced gastric ulcer in mice",2024,Maha B. Salem; Abdulrahman M. Saleh; Sayed H. Seif el-Din; Safia Samir; Olfat A. Hammam; Naglaa M. El-Lakkany,Toxicology and Applied Pharmacology,journal-article,,2024-03-01,0041-008X,1096-0333,Elsevier BV,Humans | Mice | Animals | Indomethacin / toxicity | Stomach Ulcer / chemically induced | Stomach Ulcer / drug therapy | Stomach Ulcer / pathology | Quercetin / pharmacology | Quercetin / therapeutic use | Molecular Docking Simulation | Ulcer / metabolism | Ulcer / pathology | NF-kappa B / metabolism | Myeloid Differentiation Factor 88 / metabolism | Toll-Like Receptor 4 / metabolism | Gastric Mucosa / metabolism | Gastric Mucosa / pathology,Famotidine | Gastric ulcer | Indomethacin | Molecular docking | Quercetin | TLR-4/MyD88/NF-κB signaling pathway,,,,,,,eng,
10.1016/j.tet.2003.09.052,,,A novel class of allosteric modulators of the muscarinic M2 acetylcholine receptor: terphenyl derivatives,2003,Jürgen Teichgräber; Ulrike Holzgrabe,Tetrahedron,journal-article,,2003-10,0040-4020,1464-5416,Elsevier BV,,,,,,,,,en,
10.1016/j.tetlet.2010.08.033,,,Thermal degradation products derived from the smoke of Salvia divinorum leaves,2010,Zhongze Ma; G. Deng; R. Dai; W. Xu; L. Liu-Chen; D. Y. Lee,Tetrahedron Letters,journal-article,,2010-10-13,0040-4039,1873-3581,Elsevier BV,,Chemistry | external | s2-fos-model | Medicine,,,,,,,en,403e954c44fc0bbe3e6043c89297d41f18630bc6
10.1016/j.thromres.2016.08.019,,,Impact of genetic variation in the 5-HT transporter and receptor on platelet function in patients with stable CAD taking aspirin,2016,Amrit Bajrangee; Nicola Ryan; Ciara Vangjeli; Marian Brennan; Dermot Cox; Denis C. Shields; Desmond Fitzgerald; Andrew Maree,Thrombosis Research,journal-article,,2016-08-23,0049-3848,1879-2472,Elsevier BV,"Amino Acid Sequence | Anti-Inflammatory Agents, Non-Steroidal / therapeutic use | Aspirin / therapeutic use | Blood Platelets / metabolism | Cardiovascular Diseases / genetics | Female | Humans | Male | Membrane Transport Proteins / metabolism | Middle Aged | Risk Factors | Serotonin / blood",Aspirin | Coronary disease | Genetic | Serotonin,,,,,,,eng,
10.1016/j.tice.2026.103340,,,"Brexpiprazole induces acute cardiotoxicity via disrupting calcineurin/NFAT and calcium signaling pathway: A validation from biochemical, echocardiographic, histological, and computational analysis",2026,Mohammed Alissa; Suad A. Alghamdi; Abdulkarim S. Binshaya; Tawfiq N. Juraybi; Awaji Y. Safhi; Amal A. Albati; Adil Abalkhail; Adel M. Alqarni,Tissue and Cell,journal-article,,2026-01-20,0040-8166,1532-3072,Elsevier BV,Animals | Calcineurin / metabolism | Cardiotoxicity / pathology | Cardiotoxicity / metabolism | Rats | NFATC Transcription Factors / metabolism | Calcium Signaling / drug effects | Echocardiography | Oxidative Stress / drug effects | Male | Thiophenes / adverse effects | Thiophenes / toxicity | Quinolones / adverse effects | Quinolones / toxicity,Apoptosis | Brexpiprazole | Cardiotoxicity | Inflammation | Myocardial injury | Oxidative stress,,,,,,,eng,
10.1016/j.tins.2015.06.002,,,Positive allosteric modulators of metabotropic glutamate 2 receptors in schizophrenia treatment,2015,Amr Ellaithy; Jason Younkin; Javier González-Maeso; Diomedes E. Logothetis,Trends in Neurosciences,journal-article,,2015-07-05,0166-2236,1878-108X,Elsevier BV,"Allosteric Regulation / drug effects | Animals | Excitatory Amino Acid Agonists / therapeutic use | Humans | Molecular Targeted Therapy / methods | Receptor Cross-Talk | Receptor, Serotonin, 5-HT2A / physiology | Receptors, Metabotropic Glutamate / agonists | Receptors, Metabotropic Glutamate / physiology | Schizophrenia / drug therapy",5-HT(2A) | HDAC2 | PAMs | epigenetics | mGlu(2)R | schizophrenia,NHLBI NIH HHS | NIMH NIH HHS,R01 HL059949 | R01 MH084894,,,,,eng,
10.1016/j.tips.2011.08.003,,,New advances in NMDA receptor pharmacology,2011,Kevin K. Ogden; Stephen F. Traynelis,Trends in Pharmacological Sciences,journal-article,,2011-10-16,0165-6147,1873-3735,Elsevier BV,"Allosteric Regulation / drug effects | Animals | Binding Sites | Humans | Ligands | Membrane Transport Modulators / chemistry | Membrane Transport Modulators / metabolism | Membrane Transport Modulators / pharmacology | Membrane Transport Modulators / therapeutic use | Protein Conformation | Protein Isoforms / agonists | Protein Isoforms / antagonists & inhibitors | Protein Isoforms / chemistry | Protein Isoforms / metabolism | Protein Subunits / agonists | Protein Subunits / antagonists & inhibitors | Protein Subunits / chemistry | Protein Subunits / metabolism | Receptors, N-Methyl-D-Aspartate / agonists | Receptors, N-Methyl-D-Aspartate / antagonists & inhibitors | Receptors, N-Methyl-D-Aspartate / chemistry | Receptors, N-Methyl-D-Aspartate / metabolism",,NINDS NIH HHS | NIGMS NIH HHS | NIDA NIH HHS,NS036654 | T32 GM008602 | R37 NS036654 | T32 DA015040 | R01 NS065371 | NS065371 | DA015040 | R01 NS036654 | GM008602,,,,,eng,
10.1016/j.tiv.2011.08.004,,,"5-HT6 receptor ligands, EMD386088 and SB258585, differentially regulate 5-HT6 receptor-independent events",2011,Hyung-Mun Yun; Hyewhon Rhim,Toxicology in Vitro,journal-article,,2011-08-16,0887-2333,1879-3177,Elsevier BV,"Animals | Calcium / metabolism | Cell Survival / drug effects | Cells, Cultured | HEK293 Cells | Humans | Indoles / pharmacology | Ligands | MAP Kinase Signaling System / drug effects | Neurons / drug effects | Neurons / metabolism | Piperazines / pharmacology | Pyridines / pharmacology | Rats | Rats, Sprague-Dawley | Receptors, Serotonin / metabolism | Serotonin Antagonists / pharmacology | Serotonin Receptor Agonists / pharmacology | Sulfonamides / pharmacology",,,,,,,,eng,
10.1016/j.toxac.2022.06.167,,,Off-target activity of NBOMes and NBOMe analogs at the μ opioid receptor,2022,M. Deventer; Mattias Persson; Henrik Gréen; Christophe P. Stove,Toxicologie Analytique et Clinique,journal-article,,2022-09-01,0996-8423,1961-9480,Elsevier BV,,Medicine | s2-fos-model | Chemistry,,,,,,,en,c04cf66243a4da6a9521cd94ba3f8805ca114716
10.1016/j.toxlet.2003.07.002,,,Comparative study of the uterotrophic potency of 14 chemicals in a uterotrophic assay and their receptor-binding affinity,2003,K Yamasaki,Toxicology Letters,journal-article,,2003-11-13,0378-4274,1879-3169,Elsevier BV,,,,,,,,,en,
10.1016/j.toxlet.2008.06.328,,,Dynamics of the biochemical parameters in heroine addict patients during the methadone substitution therapy,2008,D. Baconi; A. Ciobanu; D. Margină; C. Negrei; M. Bărcă; M. Ilie; D. Bălălău,Toxicology Letters,journal-article,,2008-10-01,0378-4274,1879-3169,Elsevier BV,,Biology | external | Medicine | s2-fos-model,,,,,,,en,71feadc99ec2ebc6e720bdce9db7cdcc7c7eea40
10.1016/j.toxlet.2008.06.512,,,Alpha-2A adrenergic receptor gene (ADRA2A) polymorphism in a Turkish population,2008,Esra Emerce-Tufan; Bensu Karahalil; Erdem Coskun,Toxicology Letters,journal-article,,2008-10,0378-4274,1879-3169,Elsevier BV,,,,,,,,,en,
10.1016/j.vascn.2018.01.448,,,Multiple pathway activation in a human M4 muscarinic receptor cell-based assay,2018,C. Brock; T. Jolas; C. Rein; M. Martin; B. Fouchaq,Journal of Pharmacological and Toxicological Methods,journal-article,,2018-09-01,1056-8719,1873-488X,Elsevier BV,,Medicine | external | s2-fos-model | Chemistry,,,,,,,en,5a98e934826fa2f9b8bafcfa5918f86fb7da6028
10.1016/j.vascn.2020.106789,,,Improving valvulopathy prediction by qualifying 5-HT2B functional assay technologies,2020,A. Otto-Bruc; A. Baron; Frederique Redoules; B. Fouchaq; S. Davies,Journal of Pharmacological and Toxicological Methods,journal-article,,2020-09-01,1056-8719,1873-488X,Elsevier BV,,Medicine | external | s2-fos-model,,,,,,,en,af2f26b070bc87a0b17bd5b5ceeb164a952ee74e
10.1016/j.vph.2015.05.003,,,5-HT1D receptor inhibits renal sympathetic neurotransmission by nitric oxide pathway in anesthetized rats,2015,José-Ángel García-Pedraza; Mónica García; María-Luisa Martín; Asunción Morán,Vascular Pharmacology,journal-article,,2015-05-21,1537-1891,1879-3649,Elsevier BV,"Animals | Blood Pressure / drug effects | Heart Rate / drug effects | Kidney / drug effects | Kidney / metabolism | Male | NG-Nitroarginine Methyl Ester / pharmacology | Nitric Oxide / metabolism | Norepinephrine / pharmacology | Oxadiazoles / pharmacology | Quinoxalines / pharmacology | Rats | Rats, Wistar | Receptor, Serotonin, 5-HT1D / metabolism | Receptors, Serotonin / metabolism | Serotonin / analogs & derivatives | Serotonin / pharmacology | Serotonin 5-HT1 Receptor Antagonists / pharmacology | Sympathetic Nervous System / drug effects | Sympathetic Nervous System / metabolism | Synaptic Transmission / drug effects | Tryptamines / pharmacology","5-Carboxamidotryptamine maleate (PubChem CID: 11709509) | 5-HT hydrochloride (PubChem CID: 160436) | 5-HT(1D) receptor | 8-OH-DPAT hydrobromide (PubChem CID: 6917794) | CGS-12066B dimaleate (PubChem CID: 56927914) | Glibenclamide (PubChem CID: 3488) | Indomethacin (PubChem CID: 3715) | LY310762 hydrochloride (PubChem CID: 11957576) | Nitric oxide | Renal vasculature | Serotonin | Sympathetic renal stimulation | l-694,247 (PubChem CID: 132059) | l-NAME hydrochloride (PubChem CID: 135193)",,,,,,,eng,
10.1016/j.yexcr.2021.113006,,,Hypoxia enhances motility and EMT through the Na+/H+ exchanger NHE-1 in MDA-MB-231 breast cancer cells,2022,Tomoka Takatani-Nakase; Chihiro Matsui; Maiko Hosotani; Mika Omura; Koichi Takahashi; Ikuhiko Nakase,Experimental Cell Research,journal-article,,2022-01-01,0014-4827,1090-2422,Elsevier BV,"Biomarkers, Tumor / metabolism | Breast Neoplasms / metabolism | Cell Line, Tumor | Cell Movement / drug effects | Cell Movement / physiology | Epithelial-Mesenchymal Transition / physiology | Female | Humans | Models, Biological | PPAR gamma / agonists | Signal Transduction / drug effects | Sodium-Hydrogen Exchanger 1 / metabolism | Thiazolidinediones / pharmacology | Tumor Hypoxia / physiology | Tumor Microenvironment / physiology",Breast cancer | Hypoxic condition | Metastasis | NHE1 | PPARγ1,,,,,,,eng,
10.1016/j.yexcr.2025.114674,,,"The effect of TSPO transmembrane transport-mediated paeonol mitochondrial antioxidant on dexamethasone-induced mitochondrial abnormalities, oxidative stress damage, and apoptosis in SV40-MES-13 cells",2025,Yuqi Yang; Yiye Zhou; Xiaoqing Zhao; Ruonan Dang; Ping Fan; Fenglan Feng; Xingrong Wang; Ning Zhang; Jinjin Deng; Meng Wei,Experimental Cell Research,journal-article,,2025-07-01,0014-4827,1090-2422,Elsevier BV,"Apoptosis / drug effects | Oxidative Stress / drug effects | Mitochondria / drug effects | Mitochondria / metabolism | Mitochondria / pathology | Acetophenones / pharmacology | Antioxidants / pharmacology | Antioxidants / metabolism | Dexamethasone / pharmacology | Animals | Membrane Potential, Mitochondrial / drug effects | Receptors, GABA / metabolism | Mice | Cell Line",Apoptosis | Dexamethasone | Mitochondrial function | Oxidative stress damage | Paeonol | Translocator protein,,,,,,,eng,
10.1016/j.ygcen.2006.09.008,,,"Temporal expression of G-protein-coupled receptor 54 (GPR54), gonadotropin-releasing hormones (GnRH), and dopamine receptor D2 (drd2) in pubertal female grey mullet, Mugil cephalus",2006,Josephine N. Nocillado; Berta Levavi-Sivan; Frank Carrick; Abigail Elizur,General and Comparative Endocrinology,journal-article,,2006-11-03,0016-6480,1095-6840,Elsevier BV,"Amino Acid Sequence | Animals | Base Sequence | Brain / metabolism | Brain / physiology | Cloning, Molecular | DNA, Complementary / genetics | DNA, Complementary / isolation & purification | Female | Gene Expression | Gonadotropin-Releasing Hormone / biosynthesis | Gonadotropin-Releasing Hormone / genetics | Molecular Sequence Data | Ovary / physiology | Pituitary Gland / metabolism | Pituitary Gland / physiology | Receptors, Dopamine D2 / biosynthesis | Receptors, Dopamine D2 / genetics | Receptors, G-Protein-Coupled / biosynthesis | Receptors, G-Protein-Coupled / genetics | Reverse Transcriptase Polymerase Chain Reaction | Sequence Alignment | Sexual Maturation / physiology | Smegmamorpha / genetics | Smegmamorpha / metabolism",,,,,,,,eng,
10.1016/j.yjmcc.2004.09.016,,,Selective blockade of serotonin 5-HT2A receptor increases coronary blood flow via augmented cardiac nitric oxide release through 5-HT1B receptor in hypoperfused canine hearts,2004,M FUJITA,Journal of Molecular and Cellular Cardiology,journal-article,,2004-11-01,0022-2828,1095-8584,Elsevier BV,"Animals | Dogs | Heart / drug effects | Immunohistochemistry | Myocardium / metabolism | Nitric Oxide / blood | Receptor, Serotonin, 5-HT1B / metabolism | Serotonin / biosynthesis | Serotonin / blood | Serotonin / genetics | Serotonin 5-HT2 Receptor Antagonists | Succinates / pharmacology | Time Factors",,,,,,,,eng,
10.1016/j.ymthe.2004.06.898,,,955. Bystander Activity of Ad-mda7: MDA-7 Protein Kills Melanoma Cells Via a Receptor-Dependent but STAT3-Independent Mechanism,2004,S. Chada; A. Mhashilkar; R. Ramesh; J. Mumm; D. Bocangel; E. Grimm; S. Ekmekcioglu,Molecular Therapy,journal-article,,2004-05-01,1525-0016,1525-0024,Elsevier BV,,Biology | external | Medicine | s2-fos-model,,,,,,,en,76660025c2dfadc4fe71450185849ba6bba5320d
10.1016/j.yrtph.2010.12.007,,,Uniform assessment and ranking of opioid Mu receptor binding constants for selected opioid drugs,2011,Donna A. Volpe; Grainne A. McMahon Tobin; R. Daniel Mellon; Aspandiar G. Katki; Robert J. Parker; Thomas Colatsky; Timothy J. Kropp; S. Leigh Verbois,Regulatory Toxicology and Pharmacology,journal-article,,2011-01-07,0273-2300,1096-0295,Elsevier BV,"Analgesics, Opioid / chemistry | Analgesics, Opioid / metabolism | Cell Line | Dose-Response Relationship, Drug | Humans | Protein Binding / physiology | Receptors, Opioid, mu / chemistry | Receptors, Opioid, mu / metabolism",,,,,,,,eng,
10.1016/s0002-9394(02)01450-2,,,"A polymorphism in the dopamine receptor DRD5 is associated with blepharospasm: Misbahuddin A, Placzek MR, Chaudri KR, Wood NW, Bhatia KP, Warner TT.∗ Neurology 2002;58:124–126",2002,T. Liesegang,American Journal of Ophthalmology,journal-article,,2002-05-01,0002-9394,1879-1891,Elsevier BV,,Medicine | external | s2-fos-model,,,,,,,en,26bfb0865bc4675f39fb487f5d3e09d5dce5e755
10.1016/s0003-9861(02)00232-1,,,"Determinants within the C-terminus of the human norepinephrine transporter dictate transporter trafficking, stability, and activity",2002,Patricia A Bauman; Randy D Blakely,Archives of Biochemistry and Biophysics,journal-article,,2002-08-01,0003-9861,1096-0384,Elsevier BV,"Alternative Splicing | Amino Acid Sequence | Amino Acid Substitution | Animals | Biological Transport, Active | Cell Membrane / metabolism | Drug Stability | Genetic Variation | Humans | LLC-PK1 Cells | Molecular Sequence Data | Mutagenesis, Site-Directed | Norepinephrine Plasma Membrane Transport Proteins | Peptide Fragments / chemistry | Peptide Fragments / genetics | Peptide Fragments / metabolism | Protein Processing, Post-Translational | Protein Structure, Tertiary | Recombinant Proteins / chemistry | Recombinant Proteins / genetics | Recombinant Proteins / metabolism | Sequence Deletion | Swine | Symporters / chemistry | Symporters / genetics | Symporters / metabolism | Transfection",,NIMH NIH HHS,MH58921,,,,,eng,
10.1016/s0006-291x(02)00261-9,,,Affinity improvement of the high-affinity immunoglobulin E receptor by phage display,2002,Akio Iwasaki; Takeshi Doi; Michihisa Umetani; Masanao Watanabe; Makoto Suda; Yukio Hattori; Takao Nagoya,Biochemical and Biophysical Research Communications,journal-article,,2002-04-01,0006-291X,1090-2104,Elsevier BV,"Amino Acid Sequence | Amino Acid Substitution | Base Sequence | Binding Sites | Cloning, Molecular | Escherichia coli / genetics | Humans | Immunoglobulin E / metabolism | Kinetics | Molecular Sequence Data | Mutagenesis | Peptide Library | Polymerase Chain Reaction | Receptors, IgE / antagonists & inhibitors | Receptors, IgE / genetics | Receptors, IgE / metabolism | Recombinant Fusion Proteins / metabolism",,,,,,,,eng,
10.1016/s0006-2952(00)00272-0,,,Relationship of mu opioid receptor binding to activation of G-proteins in specific rat brain regions,2000,Catherine E. Maher; Dana E. Selley; Steven R. Childers,Biochemical Pharmacology,journal-article,,2000-06-01,0006-2952,1873-2968,Elsevier BV,"Analgesics, Opioid / pharmacology | Animals | Brain / metabolism | Enkephalin, Ala(2)-MePhe(4)-Gly(5)- / pharmacology | GTP-Binding Proteins / metabolism | Guanosine 5'-O-(3-Thiotriphosphate) / metabolism | In Vitro Techniques | Male | Naloxone / pharmacology | Narcotic Antagonists / pharmacology | Rats | Rats, Sprague-Dawley | Receptors, Opioid, mu / metabolism | Sulfur Radioisotopes | Tritium",,NIDA NIH HHS,DA-02904 | DA-06634 | DA-07625,,,,,eng,
10.1016/s0006-2952(00)00368-3,,,Can thermodynamic measurements of receptor binding yield information on drug affinity and efficacy?,2000,Pier Andrea Borea; Alessandro Dalpiaz; Katia Varani; Paola Gilli; Gastone Gilli,Biochemical Pharmacology,journal-article,,2000-12-01,0006-2952,1873-2968,Elsevier BV,"Animals | GABA-A Receptor Agonists | GABA-A Receptor Antagonists | GTP-Binding Proteins / metabolism | Humans | Ion Channels / metabolism | Ligands | Purinergic P1 Receptor Agonists | Purinergic P1 Receptor Antagonists | Receptors, Adrenergic, beta / drug effects | Receptors, Adrenergic, beta / metabolism | Receptors, Drug / metabolism | Receptors, GABA-A / metabolism | Receptors, Glycine / agonists | Receptors, Glycine / antagonists & inhibitors | Receptors, Glycine / metabolism | Receptors, Purinergic P1 / metabolism | Thermodynamics",,,,,,,,eng,
10.1016/s0006-2952(01)00698-0,,,"Altering behavioral responses and dopamine transporter protein with antisense peptide nucleic acids 1 1Abbreviations: DAT, dopamine transporter; and PNA, peptide nucleic acid.",2001,Beth M Tyler-McMahon; Jennifer A Stewart; Joshua Jackson; M.D Bitner; Abdul Fauq; Daniel J McCormick; Elliott Richelson,Biochemical Pharmacology,journal-article,,2001-10-01,0006-2952,1873-2968,Elsevier BV,"Animals | Carrier Proteins / antagonists & inhibitors | Carrier Proteins / physiology | Dopamine Plasma Membrane Transport Proteins | Male | Membrane Glycoproteins | Membrane Transport Proteins | Motor Activity / drug effects | Nerve Tissue Proteins | Peptide Nucleic Acids / pharmacology | Rats | Rats, Sprague-Dawley",,NIMH NIH HHS,MH 61000 | MH60305,,,,,eng,
10.1016/s0006-2952(03)00005-4,,,"Effects of D3.49A, R3.50A, and A6.34E mutations on ligand binding and activation of the cannabinoid-2 (CB2) receptor",2003,Wenke Feng; Z.H. Song,Biochemical Pharmacology,journal-article,,2003-03-25,0006-2952,1873-2968,Elsevier BV,"Adenylyl Cyclases / metabolism | Cells, Cultured | Guanosine 5'-O-(3-Thiotriphosphate) / metabolism | Humans | Ligands | Membrane Proteins / genetics | Membrane Proteins / metabolism | Mutation | Receptors, Cannabinoid | Receptors, Drug / genetics | Receptors, Drug / metabolism | Sulfur Radioisotopes | Transfection",,NIDA NIH HHS,DA 11551,,,,,eng,
10.1016/s0006-2952(96)00598-9,,,Allosteric regulation of the binding of [3H]acetylcholine to m2 muscarinic receptors,1996,Ann Gnagey; John Ellis,Biochemical Pharmacology,journal-article,,1996-12-01,0006-2952,1873-2968,Elsevier BV,"Acetylcholine / metabolism | Acetylcholinesterase / metabolism | Allosteric Regulation | Animals | CHO Cells | Cell Membrane / enzymology | Cricetinae | Gallamine Triethiodide / pharmacology | Gallic Acid / analogs & derivatives | Gallic Acid / pharmacology | N-Methylscopolamine | Receptors, Muscarinic / metabolism | Scopolamine Derivatives / metabolism",,NIA NIH HHS,R01 AG005214 | R01 AG05214,,,,,eng,
