action_reason,contexts,contexts_all,library_status,matched_context_count,needs_metadata_or_manual_screen,paper_type_reasons,paper_type_suggested,pdf_local_path,protected_context_count,relevance_reasons,relevance_score,relevance_suggested,screening_status,source_type_reasons,source_type_suggested,study_doi,study_title,study_year,synthesized_context_count,triage_rescue_reasons
open_access_but_no_direct_pdf_url,,Salvinorin A->kappa opioid receptor (OPRK1),needs_download,0,False,no strong paper-type signal,other,,0,context compound match (Salvinorin A),2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1016/j.bmcl.2010.11.046,Synthesis and biological evaluation of new salvinorin A analogues incorporating natural amino acids,2010,0,
open_access_but_no_direct_pdf_url,,DOI->5-HT2A,needs_download,0,False,"contains primary-results signals (receptor, transporter)",primary_results,,0,allowed entity mention (serotonin transporter) | contains study-method keywords,2,likely_irrelevant,excluded_low_signal,"contains primary-study signals (receptor, transporter)",primary_study,10.1016/j.bone.2006.06.009,Serotonin transporter and receptor expression in osteocytic MLO-Y4 cells,2006,0,
,,D1 receptor (DRD1),needs_download,0,False,no strong paper-type signal,other,,0,allowed entity mention (d2 receptor) | contains study-method keywords,2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1016/j.bpsgos.2022.08.010,"Low Dopamine D2 Receptor Expression Drives Gene Networks Related to GABA, cAMP, Growth and Neuroinflammation in Striatal Indirect Pathway Neurons",2022,0,
closed_or_unknown_access,,MDMA->SERT (SLC6A4),needs_manual_access,0,False,no strong paper-type signal,other,,0,context compound match (MDMA),2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1016/j.brainres.2009.06.042,Repeated exposure to MDMA provides neuroprotection against subsequent MDMA-induced serotonin depletion in brain,2009,0,
closed_or_unknown_access,,LSD->5-HT2C,needs_manual_access,0,False,no strong paper-type signal,other,,0,context compound match (LSD),2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1016/j.brainres.2012.10.057,"Phospholipase C mediates (±)-1-(2,5-dimethoxy-4-iodophenyl)-2-aminopropane (DOI)-, but not lysergic acid diethylamide (LSD)-elicited head bobs in rabbit medial prefrontal cortex",2012,0,
closed_or_unknown_access,,DOI->5-HT2A,needs_manual_access,0,False,no strong paper-type signal,other,,0,allowed entity mention (5 ht1a) | contains study-method keywords,2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1016/j.brainresbull.2004.06.007,Involvement of 5-HT1A and 5-HT2 receptors of the dorsal periaqueductal gray in the regulation of the defensive behaviors generated by the elevated T-maze,2004,0,
closed_or_unknown_access,,Ketamine->NMDA receptor,needs_manual_access,0,False,no strong paper-type signal,other,,0,context compound match (Ketamine),2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1016/j.brainresbull.2016.05.016,Ketamine abuse potential and use disorder,2016,0,
,,5-HT2B,needs_download,0,False,no strong paper-type signal,other,,0,allowed compound mention (lsd) | contains study-method keywords,2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1016/j.cell.2016.12.033,Crystal Structure of an LSD-Bound Human Serotonin Receptor,2017,0,
open_access_but_no_direct_pdf_url,,M3 muscarinic receptor (CHRM3),needs_download,0,False,no strong paper-type signal,other,,0,allowed entity mention (mu opioid receptor) | contains study-method keywords,2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1016/j.cellsig.2017.04.006,M3 muscarinic acetylcholine receptor facilitates the endocytosis of mu opioid receptor mediated by morphine independently of the formation of heteromeric complexes,2017,0,
,,Ibogaine->NMDA receptor,needs_download,0,False,"contains primary-results signals (ki, receptor, transporter)",primary_results,,0,allowed entity mention (dopamine transporter) | contains study-method keywords,2,likely_irrelevant,excluded_low_signal,"contains primary-study signals (ki, receptor, transporter)",primary_study,10.1016/j.celrep.2022.111431,Nanoscopic dopamine transporter distribution and conformation are inversely regulated by excitatory drive and D2 autoreceptor activity,2022,0,
open_access_but_no_direct_pdf_url,,Ketamine->NMDA receptor,needs_download,0,False,no strong paper-type signal,other,,0,context compound match (Ketamine),2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1016/j.coph.2014.11.006,Recent insights into the mode of action of memantine and ketamine,2014,0,
open_access_but_no_direct_pdf_url,,Psilocybin->5-HT2A,needs_download,0,False,no strong paper-type signal,other,,0,context compound match (Psilocybin),2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1016/j.cpnec.2022.100163,Subacute effects of a single dose of psilocybin on biomarkers of inflammation in healthy humans: An open-label preliminary investigation,2022,0,
,,LSD->5-HT2A,needs_download,0,False,no strong paper-type signal,other,,0,context compound match (LSD),2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1016/j.cub.2016.02.010,Increased Global Functional Connectivity Correlates with LSD-Induced Ego Dissolution,2016,0,
open_access_but_no_direct_pdf_url,,MDMA->NET (SLC6A2),needs_download,0,False,no strong paper-type signal,other,,0,context compound match (MDMA),2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1016/j.disamonth.2024.101851,"Ecstasy, molly, MDMA: What health practitioners need to know about this common recreational drug",2025,0,
closed_or_unknown_access,,Psilocybin->5-HT2A,needs_manual_access,0,False,no strong paper-type signal,other,,0,context compound match (Psilocybin),2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1016/j.drugalcdep.2011.10.029,"Psilocybin dose-dependently causes delayed, transient headaches in healthy volunteers",2011,0,
open_access_but_no_direct_pdf_url,,MDMA->SERT (SLC6A4),needs_download,0,False,no strong paper-type signal,other,,0,allowed entity mention (dopamine transporter) | contains study-method keywords,2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1016/j.drugalcdep.2014.12.005,"Behavioral, biological, and chemical perspectives on atypical agents targeting the dopamine transporter",2014,0,
open_access_but_no_direct_pdf_url,,5-HT6,needs_download,0,False,no strong paper-type signal,other,,0,context entity match (5-HT6),2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1016/j.ejmech.2015.01.052,6-Sulfonylbenzothiazolones as potential scaffolds for the design of 5-HT6 ligands,2015,0,
open_access_but_no_direct_pdf_url,,5-HT6,needs_download,0,False,no strong paper-type signal,other,,0,context entity match (5-HT6),2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1016/j.ejmech.2024.116601,"Dual 5-HT6/SERT ligands for mitigating neuropsychiatric symptoms of dementia exerting neuroprotection against amyloid-β toxicity, memory preservation, and antidepressant-like properties",2024,0,
closed_or_unknown_access,,Bufotenin,needs_manual_access,0,False,"contains primary-results signals (receptor, transporter)",primary_results,,0,allowed entity mention (norepinephrine transporter) | contains study-method keywords,2,likely_irrelevant,excluded_low_signal,"contains primary-study signals (receptor, transporter)",primary_study,10.1016/j.ejphar.2006.02.041,Identification of a novel regulatory mechanism for norepinephrine transporter activity by the IP3 receptor,2006,0,
closed_or_unknown_access,,MDMA->DAT (SLC6A3),needs_manual_access,0,False,no strong paper-type signal,other,,0,context compound match (MDMA),2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1016/j.ejphar.2006.05.047,"Protective effects of minocycline on 3,4-methylenedioxymethamphetamine-induced neurotoxicity in serotonergic and dopaminergic neurons of mouse brain",2006,0,
closed_or_unknown_access,,Salvinorin A->kappa opioid receptor (OPRK1),needs_manual_access,0,False,no strong paper-type signal,other,,0,context compound match (Salvinorin A),2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1016/j.ejphar.2006.06.077,The antinociceptive effect of Salvinorin A in mice,2006,0,
closed_or_unknown_access,,R-ketamine->NMDA receptor,needs_manual_access,0,False,no strong paper-type signal,other,,0,context compound match (R-ketamine),2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1016/j.ejphar.2010.08.022,The improvement of the anti-hyperalgesic effect of ketamine and of its isomers by the administration of ifenprodil,2010,0,
closed_or_unknown_access,,MDMA->NET (SLC6A2),needs_manual_access,0,False,no strong paper-type signal,other,,0,context compound match (MDMA),2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1016/j.ejphar.2015.03.079,Direct and indirect cardiovascular actions of cathinone and MDMA in the anaesthetized rat,2015,0,
closed_or_unknown_access,,M3 muscarinic receptor (CHRM3),needs_manual_access,0,False,"contains primary-results signals (agonist, antagonist, receptor)",primary_results,,0,allowed entity mention (m4 receptor) | contains study-method keywords,2,likely_irrelevant,excluded_low_signal,"contains primary-study signals (agonist, antagonist, receptor)",primary_study,10.1016/j.ejphar.2016.04.022,"Characterization of PCS1055, a novel muscarinic M4 receptor antagonist",2016,0,
closed_or_unknown_access,,R-ketamine->NMDA receptor,needs_manual_access,0,False,no strong paper-type signal,other,,0,context compound match (R-ketamine),2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1016/j.ejphar.2025.178301,L-type voltage-dependent calcium channels in the ventromedial orbitofrontal and prefrontal cortices mediate the inhibitory effects of (S)-ketamine but not (R)-ketamine on marble burying in male mice,2025,0,
open_access_but_no_direct_pdf_url,,DOM,needs_download,0,False,"contains primary-results signals (affinity, receptor)",primary_results,,0,allowed entity mention (5 ht2a) | contains study-method keywords,2,likely_irrelevant,excluded_low_signal,"contains primary-study signals (affinity, receptor)",primary_study,10.1016/j.ejps.2018.01.011,Drug likeness prediction of 5-hydroxy-substituted coumarins with high affinity to 5-HT1A and 5-HT2A receptors,2018,0,
,,5-HT2B,needs_download,0,False,no strong paper-type signal,other,,0,allowed compound mention (mdma) | contains study-method keywords,2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1016/j.euroneuro.2014.08.007,Looking for prosocial genes: ITRAQ analysis of proteins involved in MDMA-induced sociability in mice,2014,0,
closed_or_unknown_access,,D3 receptor (DRD3),needs_manual_access,0,False,"contains primary-results signals (receptor, transporter)",primary_results,,0,allowed entity mention (dopamine transporter) | contains study-method keywords,2,likely_irrelevant,excluded_low_signal,"contains primary-study signals (receptor, transporter)",primary_study,10.1016/j.euroneuro.2021.10.227,P.0237 Potentiation of hyperactivity phenotype in mice deficient in both the dopamine transporter and D3 dopamine receptor,2021,0,
closed_or_unknown_access,,DMT->Sigma-1 receptor (SIGMAR1),needs_manual_access,0,False,no strong paper-type signal,other,,0,context compound match (DMT),2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1016/j.expneurol.2020.113245,"N,N-dimethyltryptamine reduces infarct size and improves functional recovery following transient focal brain ischemia in rats",2020,0,
closed_or_unknown_access,,MDMA->SERT (SLC6A4),needs_manual_access,0,False,no strong paper-type signal,other,,0,context compound match (MDMA),2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1016/j.expneurol.2021.113888,Neurological and cognitive alterations induced by MDMA in humans,2021,0,
closed_or_unknown_access,,MDMA->SERT (SLC6A4),needs_manual_access,0,False,no strong paper-type signal,other,,0,context entity match (SERT (SLC6A4)),2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1016/j.gene.2014.03.050,Treatment-resistant schizophrenia and DAT and SERT polymorphisms,2014,0,
closed_or_unknown_access,,Psilocin->5-HT2A,needs_manual_access,0,False,no strong paper-type signal,other,,0,context compound match (Psilocin),2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1016/j.intimp.2025.114940,Psilocybin and psilocin regulate microglial immunomodulation and support neuroplasticity via serotonergic and AhR signaling,2025,0,
,,DMT->TAAR1,needs_download,0,False,"contains primary-results signals (in vitro, ki, receptor)",primary_results,,0,allowed entity mention (serotonin 2a) | contains study-method keywords,2,likely_irrelevant,excluded_low_signal,"contains primary-study signals (in vitro, ki, receptor)",primary_study,10.1016/j.isci.2024.109631,Human pluripotent stem cells as a translational toolkit in psychedelic research in vitro,2024,0,
closed_or_unknown_access,,S-ketamine->NMDA receptor,needs_manual_access,0,False,contains review keyword,review,,0,context compound match (S-ketamine),2,likely_irrelevant,excluded_low_signal,contains review keyword,review,10.1016/j.jad.2022.12.021,Biomarkers of ketamine's antidepressant effect: An umbrella review,2022,0,
,,Ketamine->D1 receptor (DRD1),needs_download,0,False,"contains primary-results signals (binding, transporter)",primary_results,,0,allowed entity mention (dopamine transporter) | contains study-method keywords,2,likely_irrelevant,excluded_low_signal,"contains primary-study signals (binding, transporter)",primary_study,10.1016/j.jbc.2021.101361,"Disruption of the PDZ domain–binding motif of the dopamine transporter uniquely alters nanoscale distribution, dopamine homeostasis, and reward motivation",2021,0,
,,Ketamine->TAAR1 | AMPA receptor,needs_download,0,False,no strong paper-type signal,other,,0,allowed entity mention (d2 receptor) | contains study-method keywords,2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1016/j.jbc.2023.104583,The histamine H3 receptor modulates dopamine D2 receptor–dependent signaling pathways and mouse behaviors,2023,0,
HTTPError: HTTP Error 403: Forbidden,,Psilocin->5-HT2A | 5-HT2B,needs_download,0,False,no strong paper-type signal,other,,0,allowed compound mention (lysergic acid diethylamide) | contains study-method keywords,2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1016/j.jbc.2023.105176,Molecular insights into GPCR mechanisms for drugs of abuse,2023,0,
HTTPError: HTTP Error 403: Forbidden,,Psilocin->5-HT1A,needs_download,0,False,"contains primary-results signals (affinity, assay, binding, ki)",primary_results,,0,allowed compound mention (dmt) | contains study-method keywords,2,likely_irrelevant,excluded_low_signal,"contains primary-study signals (affinity, assay, binding, ki)",primary_study,10.1016/j.jbc.2023.105231,A cane toad (Rhinella marina) N-methyltransferase converts primary indolethylamines to tertiary psychedelic amines,2023,0,
closed_or_unknown_access,,5-HT1B,needs_manual_access,0,False,"contains primary-results signals (assay, binding, receptor)",primary_results,,0,allowed compound mention (lsd) | contains study-method keywords,2,likely_irrelevant,excluded_low_signal,"contains primary-study signals (assay, binding, receptor)",primary_study,10.1016/j.jep.2013.04.044,Argyreia nervosa (Burm. f.): Receptor profiling of lysergic acid amide and other potential psychedelic LSD-like compounds by computational and binding assay approaches,2013,0,
closed_or_unknown_access,,Salvinorin A->kappa opioid receptor (OPRK1),needs_manual_access,0,False,no strong paper-type signal,other,,0,context compound match (Salvinorin A),2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1016/j.jep.2024.118697,Salvinorin A ameliorates pilocarpine-induced seizures by regulating hippocampal microglia polarization,2024,0,
open_access_but_no_direct_pdf_url,,Salvinorin A->kappa opioid receptor (OPRK1),needs_download,0,False,no strong paper-type signal,other,,0,context compound match (Salvinorin A),2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1016/j.jep.2025.120311,Antinociceptive effect of salvinorin A from the extract of Salvia divinorum in formalin-evoked trigeminal pain behavior in mice: Underlying mechanisms,2025,0,
open_access_but_no_direct_pdf_url,,Salvinorin A->kappa opioid receptor (OPRK1),needs_download,0,False,no strong paper-type signal,other,,0,context compound match (Salvinorin A),2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1016/j.jmgm.2016.08.001,Chemogenomics knowledgebase and systems pharmacology for hallucinogen target identification—Salvinorin A as a case study,2016,0,
closed_or_unknown_access,,S-ketamine->NMDA receptor,needs_manual_access,0,False,no strong paper-type signal,other,,0,context compound match (S-ketamine),2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1016/j.jns.2022.120152,Ketamine as a therapeutic agent for depression and pain: mechanisms and evidence,2022,0,
closed_or_unknown_access,,Salvinorin A->kappa opioid receptor (OPRK1),needs_manual_access,0,False,no strong paper-type signal,other,,0,context compound match (Salvinorin A),2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1016/j.joim.2020.01.002,Effects of plant-derived analgesic compounds sinomenine and salvinorin A in infant rats,2020,0,
HTTPError: HTTP Error 403: Forbidden,,Ketamine->NMDA receptor,needs_download,0,False,no strong paper-type signal,other,,0,context compound match (Ketamine),2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1016/j.jpainsymman.2011.01.001,Ketamine*,2011,0,
closed_or_unknown_access,,Sigma-2 receptor (TMEM97),needs_manual_access,0,False,"contains primary-results signals (receptor, transporter)",primary_results,,0,allowed entity mention (dopamine transporter) | contains study-method keywords,2,likely_irrelevant,excluded_low_signal,"contains primary-study signals (receptor, transporter)",primary_study,10.1016/j.jpet.2025.103716,Dual sigma receptor/dopamine transporter inhibition and the union of pharmacology and experimental psychology,2025,0,
open_access_but_no_direct_pdf_url,,Sigma-2 receptor (TMEM97),needs_download,0,False,"contains primary-results signals (agonist, ki, receptor, transporter)",primary_results,,0,allowed entity mention (serotonin transporter) | contains study-method keywords,2,likely_irrelevant,excluded_low_signal,"contains primary-study signals (agonist, ki, receptor, transporter)",primary_study,10.1016/j.jphs.2018.11.005,"SKF-10047, a prototype Sigma-1 receptor agonist, augmented the membrane trafficking and uptake activity of the serotonin transporter and its C-terminus-deleted mutant via a Sigma-1 receptor-independent mechanism",2018,0,
,,Ibogaine->kappa opioid receptor (OPRK1),needs_download,0,False,contains review keyword,review,,0,context compound match (Ibogaine),2,likely_irrelevant,excluded_low_signal,contains review keyword,review,10.1016/j.jsat.2021.108717,A systematic literature review of clinical trials and therapeutic applications of ibogaine,2021,0,
closed_or_unknown_access,,Ketamine->NMDA receptor,needs_manual_access,0,False,no strong paper-type signal,other,,0,context compound match (Ketamine),2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1016/j.lfs.2005.08.027,Comparison of psychic emergence reactions after (±)-ketamine and (+)-ketamine in mice,2005,0,
closed_or_unknown_access,,MDMA->SERT (SLC6A4),needs_manual_access,0,False,no strong paper-type signal,other,,0,context compound match (MDMA),2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1016/j.lfs.2013.07.015,"Effects of combined treatment with mephedrone and methamphetamine or 3,4-methylenedioxymethamphetamine on serotonin nerve endings of the hippocampus",2013,0,
closed_or_unknown_access,,Psilocybin->5-HT2A,needs_manual_access,0,False,no strong paper-type signal,other,,0,context compound match (Psilocybin),2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1016/j.mehy.2009.06.022,Unifying electron transfer mechanism for psilocybin and psilocin,2009,0,
open_access_but_no_direct_pdf_url,,LSD->5-HT2A,needs_download,0,False,"contains primary-results signals (agonist, in vitro, receptor)",primary_results,,0,allowed entity mention (5 ht5a) | contains study-method keywords,2,likely_irrelevant,excluded_low_signal,"contains primary-study signals (agonist, in vitro, receptor)",primary_study,10.1016/j.molbrainres.2005.04.009,Valerian extract and valerenic acid are partial agonists of the 5-HT5a receptor in vitro,2005,0,
,,Ketamine->NMDA receptor,needs_download,0,False,no strong paper-type signal,other,,0,context compound match (Ketamine),2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1016/j.molmed.2023.02.003,Bridging rapid and sustained antidepressant effects of ketamine,2023,0,
closed_or_unknown_access,,MDMA->SERT (SLC6A4),needs_manual_access,0,False,no strong paper-type signal,other,,0,context compound match (MDMA),2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1016/j.neubiorev.2013.04.016,"MDMA, serotonergic neurotoxicity, and the diverse functional deficits of recreational ‘Ecstasy’ users",2013,0,
open_access_but_no_direct_pdf_url,,DOI->5-HT2A,needs_download,0,False,no strong paper-type signal,other,,0,allowed entity mention (5 ht1a) | contains study-method keywords,2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1016/j.neuint.2013.09.015,Neuronal ablation of p-Akt at Ser473 leads to altered 5-HT1A/2A receptor function,2013,0,
open_access_but_no_direct_pdf_url,,MDMA->DAT (SLC6A3),needs_download,0,False,"contains primary-results signals (affinity, ki, transporter)",primary_results,,0,allowed entity mention (serotonin transporter) | contains study-method keywords,2,likely_irrelevant,excluded_low_signal,"contains primary-study signals (affinity, ki, transporter)",primary_study,10.1016/j.neuint.2013.11.010,"Aminorex, a metabolite of the cocaine adulterant levamisole, exerts amphetamine like actions at monoamine transporters",2013,0,
closed_or_unknown_access,,D5 receptor (DRD5),needs_manual_access,0,False,"contains primary-results signals (receptor, transporter)",primary_results,,0,allowed entity mention (dopamine transporter) | contains study-method keywords,2,likely_irrelevant,excluded_low_signal,"contains primary-study signals (receptor, transporter)",primary_study,10.1016/j.neures.2009.09.1461,D5 dopamine receptor is involved in the functional modification of dopamine transporter,2009,0,
closed_or_unknown_access,,MDMA->DAT (SLC6A3),needs_manual_access,0,False,no strong paper-type signal,other,,0,context compound match (MDMA),2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1016/j.neuro.2005.05.006,Age-dependent (+)MDMA-mediated Neurotoxicity in Mice,2005,0,
open_access_but_no_direct_pdf_url,,MDMA->SERT (SLC6A4),needs_download,0,False,no strong paper-type signal,other,,0,allowed entity mention (dopamine transporter) | contains study-method keywords,2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1016/j.neuro.2013.01.002,The effect of manganese on dopamine toxicity and dopamine transporter (DAT) in control and DAT transfected HEK cells,2013,0,
closed_or_unknown_access,,5-MeO-DMT->5-HT1A,needs_manual_access,0,False,no strong paper-type signal,other,,0,allowed compound mention (dmt) | contains study-method keywords,2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1016/j.neuroimage.2006.04.044,Binding of the hallucinogen [11C]MeO-DMT in the brain of living pigs,2006,0,
closed_or_unknown_access,,Ketamine->NMDA receptor,needs_manual_access,0,False,no strong paper-type signal,other,,0,context compound match (Ketamine),2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1016/j.neuroimage.2006.05.022,Using the BOLD MR signal to differentiate the stereoisomers of ketamine in the rat,2006,0,
,,Psilocybin->5-HT2A,in_database,0,False,no strong paper-type signal,other,/Users/frank/Library/CloudStorage/Dropbox/Agentic science/prototype/data/raw/papers/mechanistic/pdfs/10.1016_j.neuroimage.2019.05.060__529d70425f.pdf,0,context compound match (Psilocybin),2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1016/j.neuroimage.2019.05.060,Dynamical exploration of the repertoire of brain networks at rest is modulated by psilocybin,2019,0,
open_access_but_no_direct_pdf_url,,Bufotenin,needs_download,0,False,"contains primary-results signals (ki, receptor, transporter)",primary_results,,0,allowed entity mention (norepinephrine transporter) | contains study-method keywords,2,likely_irrelevant,excluded_low_signal,"contains primary-study signals (ki, receptor, transporter)",primary_study,10.1016/j.neuroimage.2024.120955,"Biological mechanism of sex differences in mental rotation: Evidence from multimodal MRI, transcriptomic and receptor/transporter data",2024,0,
,,5-HT7,needs_download,0,False,no strong paper-type signal,other,,0,allowed entity mention (dopamine transporter) | contains study-method keywords,2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1016/j.neuron.2023.02.017,Propofol exerts anti-anhedonia effects via inhibiting the dopamine transporter,2023,0,
open_access_but_no_direct_pdf_url,,LSD->mGluR2 (GRM2),needs_download,0,False,no strong paper-type signal,other,,0,context entity match (mGluR2 (GRM2)),2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1016/j.neuron.2025.01.002,Projection-targeted photopharmacology reveals distinct anxiolytic roles for presynaptic mGluR2 in prefrontal- and insula-amygdala synapses,2025,0,
closed_or_unknown_access,,MDMA->SERT (SLC6A4),needs_manual_access,0,False,"contains primary-results signals (ki, receptor)",primary_results,,0,allowed entity mention (nmda) | contains study-method keywords,2,likely_irrelevant,excluded_low_signal,"contains primary-study signals (ki, receptor)",primary_study,10.1016/j.neuropharm.2004.11.008,Alterations of striatal NMDA receptor subunits associated with the development of dyskinesia in the MPTP-lesioned primate model of Parkinson's disease,2005,0,
open_access_but_no_direct_pdf_url,,MDMA->DAT (SLC6A3),needs_download,0,False,no strong paper-type signal,other,,0,context compound match (MDMA),2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1016/j.neuropharm.2008.06.062,"3,4-Methylenedioxy-N-methamphetamine (ecstasy) promotes the survival of fetal dopamine neurons in culture",2008,0,
open_access_but_no_direct_pdf_url,,Salvinorin A->kappa opioid receptor (OPRK1),needs_download,0,False,no strong paper-type signal,other,,0,context compound match (Salvinorin A),2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1016/j.neuropharm.2009.06.044,"Salvinorin A and derivatives: Protection from metabolism does not prolong short-term, whole-brain residence",2009,0,
closed_or_unknown_access,,LSD->5-HT2C,needs_manual_access,0,False,no strong paper-type signal,other,,0,context compound match (LSD),2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1016/j.neuropharm.2011.02.006,"An animal model of schizophrenia based on chronic LSD administration: Old idea, new results",2011,0,
closed_or_unknown_access,,MDMA->SERT (SLC6A4),needs_manual_access,0,False,no strong paper-type signal,other,,0,context compound match (MDMA),2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1016/j.neuropharm.2011.07.002,Chronic administration of THC prevents the behavioral effects of intermittent adolescent MDMA administration and attenuates MDMA-induced hyperthermia and neurotoxicity in rats,2011,0,
closed_or_unknown_access,,DOI->5-HT2A,needs_manual_access,0,False,no strong paper-type signal,other,,0,context entity match (5-HT2A),2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1016/j.neuropharm.2012.01.010,Heterocomplex formation of 5-HT2A-mGlu2 and its relevance for cellular signaling cascades,2012,0,
closed_or_unknown_access,,Ketamine->NMDA receptor,needs_manual_access,0,False,no strong paper-type signal,other,,0,context compound match (Ketamine),2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1016/j.neuropharm.2014.08.002,Metaplastic effects of subanesthetic ketamine on CA1 hippocampal function,2014,0,
closed_or_unknown_access,,MDMA->SERT (SLC6A4),needs_manual_access,0,False,no strong paper-type signal,other,,0,context compound match (MDMA),2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1016/j.neuropharm.2018.01.020,“Ecstasy” to addiction: Mechanisms and reinforcing effects of three synthetic cathinone analogs of MDMA,2018,0,
,,LSD->5-HT2A,needs_download,0,False,no strong paper-type signal,other,,0,context compound match (LSD),2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1016/j.neuropharm.2019.107856,Pharmacological and biotransformation studies of 1-acyl-substituted derivatives of -lysergic acid diethylamide (LSD),2019,0,
open_access_but_no_direct_pdf_url,,Ketamine->NMDA receptor | Ketamine->NMDA receptor,needs_download,0,False,no strong paper-type signal,other,,0,context compound match (Ketamine) | context compound match (Ketamine),2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1016/j.neuropharm.2020.107947,"Ketamine increases vmPFC activity: Effects of (R)- and (S)-stereoisomers and (2R,6R)-hydroxynorketamine metabolite",2020,0,
closed_or_unknown_access,,Ketamine->NMDA receptor,needs_manual_access,0,False,no strong paper-type signal,other,,0,context compound match (Ketamine),2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1016/j.neuropharm.2021.108936,"CYP 450 enzymes influence (R,S)-ketamine brain delivery and its antidepressant activity",2021,0,
closed_or_unknown_access,,R-ketamine->NMDA receptor,needs_manual_access,0,False,no strong paper-type signal,other,,0,context compound match (R-ketamine),2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1016/j.neuropharm.2022.109305,Ketamine and its metabolites: Potential as novel treatments for depression,2022,0,
closed_or_unknown_access,,S-ketamine->NMDA receptor,needs_manual_access,0,False,no strong paper-type signal,other,,0,context compound match (S-ketamine),2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1016/j.neuropharm.2022.109313,Roles of the monoaminergic system in the antidepressant effects of ketamine and its metabolites,2022,0,
closed_or_unknown_access,,S-ketamine->NMDA receptor,needs_manual_access,0,False,no strong paper-type signal,other,,0,context compound match (S-ketamine),2,likely_irrelevant,excluded_low_signal,no strong source-type signal,other,10.1016/j.neuropharm.2022.109348,Antidepressants in the post-ketamine Era: Pharmacological approaches targeting the glutamatergic system,2022,0,
