# new DOI queue (disorder) generated at 2026-05-17T10:37:01.346888+00:00
# doi,compound,disorder,optional_study_title,optional_study_year,optional_authors
10.1016/j.ajem.2005.04.005,MDMA,Cannabis use disorder,"Bilateral angle-closure glaucoma after combined consumption of ""ecstasy"" and marijuana.",2005,Trittibach P; Frueh BE; Goldblum D
10.1080/09595230500293795,Ibogaine,Alcohol use disorder,Natural medicines for alcoholism treatment: a review.,2005,Xu BJ; Zheng YN; Sung CK
10.1196/annals.1344.003,MDMA,Substance use disorder,Neuropsychiatric alterations in MDMA users: preliminary findings.,2005,Herning RI; Better W; Tate K; Cadet JL
10.1002/hup.684,MDMA,Cannabis use disorder,Pattern of cannabis use in ecstasy polydrug users: moderate cannabis use may compensate for self-rated aggression and somatic symptoms.,2005,Milani RM; Parrott AC; Schifano F; Turner JJ
10.1016/j.jemermed.2003.05.007,MDMA,Methamphetamine use disorder,"Acute, transient urinary retention from combined ecstasy and methamphetamine use.",2004,Delgado JH; Caruso MJ; Waksman JC; Honigman B; Stillman D
10.1016/j.pharmthera.2004.03.002,DMT,Alcohol use disorder,Clinical investigations of the therapeutic potential of ayahuasca: rationale and regulatory challenges.,2004,McKenna DJ
10.1080/02791072.2004.10399729,Ibogaine,Substance use disorder,Combating substance abuse with ibogaine: pre- and posttreatment recommendations and an example of successive model fitting analyses.,2004,Hittner JB; Quello SB
10.1097/00007691-200404000-00009,MDMA,Substance use disorder,"Human pharmacology of MDMA: pharmacokinetics, metabolism, and disposition.",2004,de la Torre R; Farré M; Roset PN; Pizarro N; Abanades S; Segura M; Segura J; Camí J
10.1016/j.biopsych.2004.06.011,MDMA,Cannabis use disorder,Neural mechanisms of working memory in ecstasy (MDMA) users who continue or discontinue ecstasy and amphetamine use: evidence from an 18-month longitudinal functional magnetic resonance imaging study.,2004,Daumann J Jr; Fischermann T; Heekeren K; Thron A; Gouzoulis-Mayfrank E
10.1097/01.jcp.0000104905.75206.50,LSD,Obsessive-compulsive disorder,Platelet serotonergic predictors of clinical improvement in obsessive compulsive disorder.,2004,Delorme R; Chabane N; Callebert J; Falissard B; Mouren-Siméoni MC; Rouillon F; Launay JM; Leboyer M
10.1038/429126a,LSD,Post-traumatic stress disorder,Psychedelic drugs: the ups and downs of ecstasy.,2004,Check E
10.1007/s00213-003-1463-5,MDMA,Cannabis use disorder,Altered response to tryptophan supplementation after long-term abstention from MDMA (ecstasy) is highly correlated with human memory function.,2003,Curran HV; Verheyden SL
10.1007/bf03040446,MDMA,Cocaine use disorder,Liver support in acute liver failure.,2003,Hughes RD
10.1097/00001756-200310270-00021,MDMA,Stimulant use disorder,Neural correlates of working memory in pure and polyvalent ecstasy (MDMA) users.,2003,Daumann J; Schnitker R; Weidemann J; Schnell K; Thron A; Gouzoulis-Mayfrank E
10.1016/s0091-3057(03)00124-2,Ibogaine,Substance use disorder,Plant derivatives in the treatment of alcohol dependency.,2003,Rezvani AH; Overstreet DH; Perfumi M; Massi M
10.1016/s0987-7053(03)00028-5,LSD,Substance use disorder,[Effects of a subanaesthetic dose of ketamine on emotional and behavioral state in healthy subjects].,2003,Micallef J; Tardieu S; Gentile S; Fakra E; Jouve E; Sambuc R; Blin O
10.1111/j.1749-6632.2002.tb04183.x,MDMA,Cannabis use disorder,Cell-mediated immune response in MDMA users after repeated dose administration: studies in controlled versus noncontrolled settings.,2002,Pacifici R; Zuccaro P; Farré M; Pichini S; Di Carlo S; Roset PN; Palmi I; Ortuño J; Menoyo E; Segura J
10.1016/s0376-8716(02)00053-4,LSD,Stimulant use disorder,"Comparison of the subjective, physiological, and psychomotor effects of atomoxetine and methylphenidate in light drug users.",2002,Heil SH; Holmes HW; Bickel WK; Higgins ST; Badger GJ; Laws HF; Faries DE
10.1016/s0166-4328(02)00052-9,MDMA,Alcohol use disorder,"Effects of (+/-) 3,4-methylene-dioxymethamphetamine (ecstasy) on dopamine system function in humans.",2002,Gerra G; Zaimovic A; Moi G; Giusti F; Gardini S; Delsignore R; Laviola G; Macchia T; Brambilla F
10.1016/s0376-8716(00)00198-8,LSD,Cocaine use disorder,Effects of cocaine prior to and during bupropion maintenance in cocaine-abusing volunteers.,2001,Oliveto A; McCance-Katz FE; Singha A; Petrakis I; Hameedi F; Kosten TR
10.1016/s0165-1781(01)00314-6,LSD,Treatment-resistant depression,Effects of long-term lithium treatment on monoaminergic functions in major depression.,2001,El Khoury A; Johnson L; Aberg-Wistedt A; Stain-Malmgren R
10.1016/s0376-8716(01)00138-7,LSD,Cannabis use disorder,Patterns of drug use among young men in Piedmont (Italy).,2001,Siliquini R; Faggiano F; Geninatti S; Versino E; Mitola B; Ippolito R
10.1176/appi.psy.42.6.525,Psilocybin,Cannabis use disorder,Persistent psychosis after a single ingestion of 'ecstasy'.,2001,Van Kampen J; Katz M
10.1097/00002030-200001280-00010,DMT,Substance use disorder,Adherence to HAART in French HIV-infected injecting drug users: the contribution of buprenorphine drug maintenance treatment. The Manif 2000 study group.,2000,Moatti JP; Carrieri MP; Spire B; Gastaut JA; Cassuto JP; Moreau J
10.1081/ada-100101900,LSD,Cocaine use disorder,Sex differences in self-reported and physiological response to oral cocaine and placebo in humans.,2000,Singha AK; McCance-Katz EF; Petrakis I; Kosten TR; Oliveto A
10.1016/s0165-1781(98)00128-0,LSD,Major depressive disorder,Sleep EEG studies during early and late partial sleep deprivation in premenstrual dysphoric disorder and normal control subjects.,1999,Parry BL; Mostofi N; LeVeau B; Nahum HC; Golshan S; Laughlin GA; Gillin JC
10.1111/j.1749-6632.1997.tb46187.x,Ibogaine,Substance use disorder,Assessment of neurotoxicity from potential medications for drug abuse: ibogaine testing and brain imaging.,1997,Vocci FJ; London ED
10.3109/00952999709016887,LSD,Cocaine use disorder,Do increased levels of drug abuse treatment lead to fewer drug-related problems?,1997,Smart RG; Mann R; Suurvali H
10.1016/s0376-8716(97)01358-6,LSD,Substance use disorder,Sensitivity and specificity to amphetamine of a French version of the 49-item form of the addiction research center inventory.,1997,Warot D; Danjou P; Payan C; Puech AJ
10.1093/jat/20.6.393,MDMA,Opioid use disorder,Sweat testing in opioid users with a sweat patch.,1996,Kintz P; Tracqui A; Mangin P; Edel Y
10.1055/s-2007-996594,Mescaline,Substance use disorder,"[Hallucinogen induced psychic disorders. Subjective experiences, psychopathology and differential diagnosis].",1996,Hermle L; Gouzoulis-Mayfrank E; Spitzer M
10.1001/archpsyc.1994.03950020009001,DMT,Substance use disorder,"Dose-response study of N,N-dimethyltryptamine in humans. I. Neuroendocrine, autonomic, and cardiovascular effects.",1994,Strassman RJ; Qualls CR
10.1016/0165-1781(93)90090-4,LSD,Bipolar depression,A clinical trial of sleep deprivation in combination with antidepressant medication.,1993,Leibenluft E; Moul DE; Schwartz PJ; Madden PA; Wehr TA
10.1111/j.1530-0277.1989.tb00419.x,DMT,Alcohol use disorder,The structure of psychological defense mechanisms in women as a function of alcohol intoxication.,1989,Gustafson R; Källmén H
10.1097/00003246-198611000-00011,LSD,Cocaine use disorder,Hyperthermia associated with drug intoxication.,1986,Rosenberg J; Pentel P; Pond S; Benowitz N; Olson K
10.1080/02791072.1985.10524331,LSD,Alcohol use disorder,LSD and psychotherapy.,1985,Yensen R
10.1176/ajp.140.4.456,LSD,Substance use disorder,L-5-hydroxytryptophan for LSD-induced psychosis.,1983,Abraham HD
10.1097/00005053-197509000-00002,LSD,Stimulant use disorder,Subject expectancy and environmental factors as determinants of psychedelic flashback experiences.,1975,Heaton RK
10.1001/archpsyc.1973.01750360040005,LSD,Opioid use disorder,Residential psychedelic (LSD) therapy for the narcotic addict. A controlled study.,1973,Savage C; McCabe OL
10.1111/j.1939-0025.1968.tb02444.x,LSD,Alcohol use disorder,Studies in alcoholism and LSD. I. Influence of therapist attitudes on treatment outcome.,1968,Ludwig AM
10.1007/bf00408333,LSD,Methamphetamine use disorder,Clinical prediction of insightful response to a single large dose of LSD.,1966,Eggert DC; Shagass C
10.1176/ajp.122.11.1201,LSD,Autism spectrum disorder,Modification of autistic behavior with LSD-25.,1966,Simmons JQ 3rd; Leiken SJ; Lovaas OI; Schaeffer B; Perloff B
