compound,target,assay_type,affinity_type,affinity_value,affinity_unit,species,system,study_doi,study_title,study_year,evidence_level,source,notes,source_type,access_level,evidence_location,evidence_locator,study_design,authors,paper_type
Salvinorin A,kappa opioid receptor (OPRK1),functional assay,Ki,1.0,uM,,in_vivo,10.1021/acscentsci.2c00442,Asymmetric Syntheses of (+)- and (−)-Collybolide Enable Reevaluation of <i>kappa</i> -Opioid Receptor Agonism,2022,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,"Abstract snippet: The fungal metabolite collybolide has attracted attention as a non-nitrogenous, potent, and biased agonist of the <i>kappa</i>-opioid receptor (KOR). Here, we report a 10",preclinical_study,Sophia L. Shevick; Stephan M. Freeman; Guanghu Tong; Robin Russo; Laura Bohn; Ryan A. Shenvi,primary_results
Salvinorin A,kappa opioid receptor (OPRK1),radioligand binding,EC50,0.9,nM,,in_vitro,10.1021/acscentsci.3c00616,"A Route to Potent, Selective, and Biased Salvinorin Chemical Space",2023,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,"Abstract snippet: The salvinorins serve as templates for next generation analgesics, antipruritics, and dissociative hallucinogens via selective and potent agonism of the kappa-opioid rece",preclinical_study,Sarah J. Hill; Nathan Dao; Vuong Q. Dang; Edward L. Stahl; Laura M. Bohn; Ryan A. Shenvi,primary_results
LSD,5-HT2A,functional assay,EC50,2.0,nM,,in_vitro,10.1021/acschemneuro.3c00267,Structure–Activity Assessment and In-Depth Analysis of Biased Agonism in a Set of Phenylalkylamine 5-HT<sub>2A</sub> Receptor Agonists,2023,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,"Abstract snippet: Serotonergic psychedelics are described to have activation of the serotonin 2A receptor (5-HT<sub>2A</sub>) as their main pharmacological action. Despite their relevance,",preclinical_study,Eline Pottie; Christian B. M. Poulie; Ícaro A. Simon; Kasper Harpsøe; L. D’Andrea; Igor V. Komarov; David E. Gloriam; Anders A. Jensen; Jesper L. Kristensen; Christophe P. Stove,primary_results
Psilocin,5-HT2A,functional assay,Ki,10.0,uM,,in_vitro,10.1021/acschemneuro.3c00610,Psychedelic-like Activity of Norpsilocin Analogues,2024,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,"Abstract snippet: Primary metabolites of mushroom tryptamines, psilocybin and baeocystin (i.e., psilocin and norpsilocin), exhibit potent agonist activity at the serotonin 2A receptor (5-H",preclinical_study,Alexander M. Sherwood; Elise K. Burkhartzmeyer; Samuel E. Williamson; Michael H. Baumann; Grant C. Glatfelter,primary_results
Psilocin,5-HT2A,functional assay,Ki,6.0,M,,in_vitro,10.1021/acschemneuro.4c00058,"RE104: Synthesis and Activity of a Novel Serotonergic Psychedelic Prodrug of 4-Hydroxy-<i>N</i>,<i>N</i>-diisopropyltryptamine",2024,high,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,Abstract snippet: Results from randomized clinical trials of psilocybin in depressive disorders highlight the therapeutic potential of serotonergic psychedelic compounds in mental health d,randomized_controlled_trial,Nathan Bryson; Robert Alexander; Aviva Asnis-Alibozek; Michael Ehlers,primary_results
5-MeO-DMT,5-HT1A,radioligand binding,EC50,10.0,M,,in_vitro,10.1021/acschemneuro.4c00513,"Serotonin 1A Receptors Modulate Serotonin 2A Receptor-Mediated Behavioral Effects of 5-Methoxy-<i>N</i>,<i>N</i>-dimethyltryptamine Analogs in Mice",2024,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,"Abstract snippet: 5-methoxy-<i>N</i>,<i>N</i>-dimethyltrytpamine (5-MeO-DMT) analogs are used as recreational drugs, but they are also being developed as potential medicines, warranting fu",preclinical_study,Grant C. Glatfelter; Allison A. Clark; Natalie G. Cavalco; Antonio Landavazo; John S. Partilla; Marilyn Naeem; James A. Golen; Andrew R. Chadeayne; David R. Manke; Bruce E. Blough,primary_results
MDMA,DAT (SLC6A3),radioligand binding,EC50,7.0,nM,,in_vitro,10.1021/acschemneuro.5c00782,Next-Generation MDMA Analogue SDMA: Pharmacological and Metabolic Insights,2025,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,"Abstract snippet: 3,4-Methylenedioxymethamphetamine (MDMA), commonly known as ecstasy, shows promise in treating depression and post-traumatic stress disorder (PTSD), resulting in breakthr",preclinical_study,Nina Kastner; Núria Nadal-Gratacós; Selina Hemmer; Leticia Alves da Silva; John L. McKee; Tamara Hell; Giulia Cicalese; Marion Holy; Fatemeh Kooti; Kathrin Jäntsch,primary_results
MDMA,SERT (SLC6A4),radioligand binding,EC50,4.0,nM,,in_vitro,10.1021/acschemneuro.5c00782,Next-Generation MDMA Analogue SDMA: Pharmacological and Metabolic Insights,2025,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,"Abstract snippet: 3,4-Methylenedioxymethamphetamine (MDMA), commonly known as ecstasy, shows promise in treating depression and post-traumatic stress disorder (PTSD), resulting in breakthr",preclinical_study,Nina Kastner; Núria Nadal-Gratacós; Selina Hemmer; Leticia Alves da Silva; John L. McKee; Tamara Hell; Giulia Cicalese; Marion Holy; Fatemeh Kooti; Kathrin Jäntsch,primary_results
Psilocybin,5-HT2A,uptake inhibition,IC50,3.5,uM,,in_vitro,10.1021/acsomega.2c03476,"Synthesis, Structural Characterization, and Pharmacological Activity of Novel Quaternary Salts of 4-Substituted Tryptamines",2022,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,"Abstract snippet: Aeruginascin (4-phosphoryloxy-<i>N</i>,<i>N</i>,<i>N</i>-trimethyltryptammonium) is an analogue of psilocybin (4-phosphoryloxy-<i>N</i>,<i>N</i>-dimethyltryptamine) that",preclinical_study,Grant C. Glatfelter; Duyen N. K. Pham; Donna Walther; James A. Golen; A.R. Chadeayne; Michael H. Baumann; David R. Manke,primary_results
Psilocin,5-HT2A,radioligand binding,Ki,5.0,nM,,in_vivo,10.1021/acsptsci.2c00222,"Receptor Binding Profiles for Tryptamine Psychedelics and Effects of 4-Propionoxy-<i>N,N</i>-dimethyltryptamine in Mice",2023,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,"Abstract snippet: Analogues of 4-phosphoryloxy-<i>N,N</i>-dimethyltryptamine (psilocybin) are being sold on recreational drug markets and developed as potential medications for psychedelic",preclinical_study,Grant C. Glatfelter; Marilyn Naeem; Duyen N. K. Pham; James A. Golen; Andrew R. Chadeayne; David R. Manke; Michael H. Baumann,primary_results
LSD,5-HT1A,functional assay,Ki,3.0,nM,,in_vitro,10.1021/acsptsci.3c00192,Comparative Pharmacological Effects of Lisuride and Lysergic Acid Diethylamide Revisited,2024,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,Abstract snippet: Lisuride is a non-psychedelic serotonin (5-HT) 2A receptor (5-HT<sub>2A</sub>) agonist and analogue of the psychedelic lysergic acid diethylamide (LSD). Lisuride also act,preclinical_study,Grant C. Glatfelter; Eline Pottie; John S. Partilla; Christophe P. Stove; Michael H. Baumann,primary_results
Lisuride,5-HT1A,functional assay,Ki,3.0,nM,,in_vitro,10.1021/acsptsci.3c00192,Comparative Pharmacological Effects of Lisuride and Lysergic Acid Diethylamide Revisited,2024,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,Abstract snippet: Lisuride is a non-psychedelic serotonin (5-HT) 2A receptor (5-HT<sub>2A</sub>) agonist and analogue of the psychedelic lysergic acid diethylamide (LSD). Lisuride also act,preclinical_study,Grant C. Glatfelter; Eline Pottie; John S. Partilla; Christophe P. Stove; Michael H. Baumann,primary_results
2C-I,5-HT2A,functional assay,Ki,10.0,uM,,in_vitro,10.1021/cn500292d,<i>N</i>-Benzyl-5-methoxytryptamines as Potent Serotonin 5-HT<sub>2</sub>Receptor Family Agonists and Comparison with a Series of Phenethylamine Analogues,2014,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,"Abstract snippet: A series of N-benzylated-5-methoxytryptamine analogues was prepared and investigated, with special emphasis on substituents in the meta position of the benzyl group. A pa",preclinical_study,David E. Nichols; Maria F. Sassano; Adam L. Halberstadt; Landon M. Klein; Simon D. Brandt; Simon Elliott; Wolfgang Fiedler,primary_results
2C-I,5-HT2B,functional assay,EC50,50.0,nM,,in_vitro,10.1021/cn500292d,<i>N</i>-Benzyl-5-methoxytryptamines as Potent Serotonin 5-HT<sub>2</sub>Receptor Family Agonists and Comparison with a Series of Phenethylamine Analogues,2014,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,"Abstract snippet: A series of N-benzylated-5-methoxytryptamine analogues was prepared and investigated, with special emphasis on substituents in the meta position of the benzyl group. A pa",preclinical_study,David E. Nichols; Maria F. Sassano; Adam L. Halberstadt; Landon M. Klein; Simon D. Brandt; Simon Elliott; Wolfgang Fiedler,primary_results
2C-I,5-HT2C,functional assay,EC50,50.0,nM,,in_vitro,10.1021/cn500292d,<i>N</i>-Benzyl-5-methoxytryptamines as Potent Serotonin 5-HT<sub>2</sub>Receptor Family Agonists and Comparison with a Series of Phenethylamine Analogues,2014,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,"Abstract snippet: A series of N-benzylated-5-methoxytryptamine analogues was prepared and investigated, with special emphasis on substituents in the meta position of the benzyl group. A pa",preclinical_study,David E. Nichols; Maria F. Sassano; Adam L. Halberstadt; Landon M. Klein; Simon D. Brandt; Simon Elliott; Wolfgang Fiedler,primary_results
MDMA,SERT (SLC6A4),radioligand binding,Ki,9.3,nM,,in_vitro,10.1021/jacs.3c11617,Molecular Design of SERTlight: A Fluorescent Serotonin Probe for Neuronal Labeling in the Brain,2024,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,"Abstract snippet: The serotonergic transmitter system plays fundamental roles in the nervous system in neurotransmission, synaptic plasticity, pathological processes, and therapeutic effec",preclinical_study,Wei-Li Lee; Xavier Westergaard; Christopher Hwu; Jennifer Hwu; Tomas Fiala; Clay Lacefield; Umed Boltaev; Adriana M. Mendieta; Lisa Lin; Mark S. Sonders,primary_results
Ketamine,NMDA receptor,radioligand binding,Ki,0.53,uM,,in_vivo,10.1038/s41380-021-01121-1,Molecular mechanisms underlying the antidepressant actions of arketamine: beyond the NMDA receptor,2021,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,"Abstract snippet: The discovery of robust antidepressant actions exerted by the N-methyl-D-aspartate receptor (NMDAR) antagonist (R,S)-ketamine has been a crucial breakthrough in mood diso",in_vitro_binding_assay,Wei Yan; Lijia Chang; Kenji Hashimoto,primary_results
S-ketamine,NMDA receptor,functional assay,Other,3.0,uM,,in_vivo,10.1038/s41380-025-02931-3,The dopaminergic effects of esketamine are mediated by a dual mechanism involving glutamate and opioid receptors,2025,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,"Abstract snippet: Esketamine represents a new class of drugs for treating mood disorders. Unlike traditional monoaminergic-based therapies, esketamine primarily targets N-methyl-D-aspartat",preclinical_study,Arianna Rizzo; Maria Zelai Garçon-Poca; Amelie Essmann; Adriana Jesus Souza; Michael Michaelides; Francisco Ciruela; Jordi Bonaventura,primary_results
DMT,5-HT1A,uptake inhibition,Ki,0.15,M,,in_vitro,10.1038/s41380-025-03308-2,"Neuropharmacology of halogenated DMT analogs: psychoplastogenic and antidepressant properties of 5-Br-DMT, a psychedelic derivative with low hallucinogenic potential",2025,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,"Abstract snippet: Current first-line antidepressants, such as selective serotonin reuptake inhibitors (SSRI), often present a delayed onset of action and fail to effectively treat a large",preclinical_study,Pol Puigseslloses; Núria Nadal‐Gratacós; Berta Fumàs; Carlos P. Modenutti; Eline Pottie; Juan Ortigosa; A. Pablo-Quesada; Clara Riera-Colomer; Miren Ettcheto; Xavier Berzosa,primary_results
DMT,SERT (SLC6A4),uptake inhibition,EC50,1740.0,M,,in_vitro,10.1038/s41380-025-03308-2,"Neuropharmacology of halogenated DMT analogs: psychoplastogenic and antidepressant properties of 5-Br-DMT, a psychedelic derivative with low hallucinogenic potential",2025,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,"Abstract snippet: Current first-line antidepressants, such as selective serotonin reuptake inhibitors (SSRI), often present a delayed onset of action and fail to effectively treat a large",preclinical_study,Pol Puigseslloses; Núria Nadal‐Gratacós; Berta Fumàs; Carlos P. Modenutti; Eline Pottie; Juan Ortigosa; A. Pablo-Quesada; Clara Riera-Colomer; Miren Ettcheto; Xavier Berzosa,primary_results
Psilocybin,5-HT2A,radioligand binding,Ki,10.0,nM,,in_vitro,10.1038/s41386-019-0324-9,Psychedelic effects of psilocybin correlate with serotonin 2A receptor occupancy and plasma psilocin levels.,2019,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,"Abstract snippet: The main psychedelic component of magic mushrooms is psilocybin, which shows promise as a treatment for depression and other mental disorders. Psychedelic effects are bel",preclinical_study,Martin K. Madsen; Patrick M. Fisher; Daniel Burmester; Agnete Dyssegaard; Dea S. Stenbæk; Sara Kristiansen; Sys S. Johansen; Sczabolz Lehel; Kristian Linnet; Claus Svarer,primary_results
Psilocin,5-HT2A,radioligand binding,Ki,10.0,nM,,in_vitro,10.1038/s41386-019-0324-9,Psychedelic effects of psilocybin correlate with serotonin 2A receptor occupancy and plasma psilocin levels.,2019,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,"Abstract snippet: The main psychedelic component of magic mushrooms is psilocybin, which shows promise as a treatment for depression and other mental disorders. Psychedelic effects are bel",preclinical_study,Martin K. Madsen; Patrick M. Fisher; Daniel Burmester; Agnete Dyssegaard; Dea S. Stenbæk; Sara Kristiansen; Sys S. Johansen; Sczabolz Lehel; Kristian Linnet; Claus Svarer,primary_results
Ketamine,NMDA receptor,radioligand binding,Ki,1000.0,nM,,in_vitro,10.1038/s41398-021-01540-2,N-methyl-D-aspartate receptor availability in first-episode psychosis: a PET-MR brain imaging study.,2021,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields (comparator `>` retained in context only),primary_study,full_text_seen,text,"Abstract snippet: N-methyl-D-aspartate receptor (NMDAR) hypofunction is hypothesised to underlie psychosis but this has not been tested early in illness. To address this, we studied 40 vol",preclinical_study,Beck K; Arumuham A; Veronese M; Santangelo B; McGinnity CJ; Dunn J; McCutcheon RA; Kaar SJ; Singh N; Pillinger T,primary_results
Ketamine,NMDA receptor,functional assay,IC50,27.0,M,,in_vitro,10.1038/s41467-022-31817-z,Inhibition of NMDA receptors through a membrane-to-channel path,2022,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,Abstract snippet: N-methyl-D-aspartate receptors (NMDARs) are transmembrane proteins that are activated by the neurotransmitter glutamate and are found at most excitatory vertebrate synaps,preclinical_study,Madeleine R. Wilcox; Aparna Nigam; Nathan G. Glasgow; Chamali Narangoda; Matthew B. Phillips; Dhilon S. Patel; Samaneh Mesbahi‐Vasey; Andreea L. Turcu; Santiago Vázquez; Maria G. Kurnikova,primary_results
Ibogaine,kappa opioid receptor (OPRK1),functional assay,EC50,202.0,nM,,in_vitro,10.1038/s41467-024-51856-y,Oxa-Iboga alkaloids lack cardiac risk and disrupt opioid use in animal models,2024,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,Abstract snippet: Ibogaine and its main metabolite noribogaine provide important molecular prototypes for markedly different treatment of substance use disorders and co-morbid mental healt,preclinical_study,Václav Havel; Andrew C. Kruegel; Benjamin Bechand; Scot McIntosh; Leia S. Stallings; Alana Hodges; Madalee G. Wulf; Mel Nelson; Amanda Hunkele; Michael Ansonoff,primary_results
Psilocybin,5-HT2A,functional assay,Other,10.0,uM,,in_vitro,10.1038/s41467-025-64887-w,Sex-specific role of the 5-HT2A receptor in psilocybin-induced extinction of opioid reward,2025,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,Abstract snippet: Emerging evidence suggests that classical psychedelics may offer therapeutic potential for opioid use disorder (OUD) by alleviating key hallmarks such as altered reward p,preclinical_study,Alaina M. Jaster; Thomas M Hadlock; Belle Buzzi; Jessica L. Maltman; Gabriella Silva; Somdatta Saha; Eda Köşeli; Abby M Pondelick; N. S. Thakur; Bing Zhang,primary_results
Ketamine,NMDA receptor,functional assay,Other,100.0,uM,,in_vivo,10.1038/s41467-025-66774-w,The NMDA receptor subunit GluN2D is a potential target for rapid antidepressant action,2025,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,"Abstract snippet: Ketamine is the first glutamatergic agent in clinical use for major depression, but its primary target remains unclear. Further research is needed to develop more specifi",preclinical_study,Stefan Vestring; Maxime Veleanu; Marina Conde Perez; Louise E. Schuberth; Martin Bronnec; Anna Li; Lovis M. Würz; Fatih Erdogdu; Julia Stocker; Johanna Moos,primary_results
Ketamine,NMDA receptor,functional assay,Kd,10.0,M,,in_vivo,10.1038/s41586-023-06624-1,Sustained antidepressant effect of ketamine through NMDAR trapping in the LHb,2023,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,"Abstract snippet: Ketamine, an N-methyl-D-aspartate receptor (NMDAR) antagonist<sup>1</sup>, has revolutionized the treatment of depression because of its potent, rapid and sustained antid",preclinical_study,Shuangshuang Ma; Min Chen; Yihao Jiang; Xinkuan Xiang; Shiqi Wang; Zuohang Wu; Shuo Li; Yihui Cui; Junying Wang; Yanqing Zhu,primary_results
LSD,TrkB,radioligand binding,Kd,0.656,nM,,in_vitro,10.1038/s41593-023-01316-5,Psychedelics promote plasticity by directly binding to BDNF receptor TrkB,2023,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,Abstract snippet: Abstract Psychedelics produce fast and persistent antidepressant effects and induce neuroplasticity resembling the effects of clinically approved antidepressants. We rece,preclinical_study,Rafael Moliner; Mykhailo Girych; Cecilia A. Brunello; Vera Kovaleva; Caroline Biojone; Giray Enkavi; Lina Antenucci; Erik F. Kot; Sergey A. Goncharuk; Katja Kaurinkoski,primary_results
Ketamine,NMDA receptor,functional assay,Ki,0.53,uM,,in_vitro,10.1038/s41598-017-16060-7,Comparison of (R)-ketamine and lanicemine on depression-like phenotype and abnormal composition of gut microbiota in a social defeat stress model,2017,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,"Abstract snippet: Accumulating evidence suggests a key role of the gut-microbiota-brain axis in the antidepressant actions of certain compounds. Ketamine, an N-methyl-D-aspartate receptor",preclinical_study,Youge Qu; Chun Yang; Qian Ren; Min Ma; Chao Dong; Kenji Hashimoto,primary_results
MDA,Sigma-1 receptor (SIGMAR1),radioligand binding,Ki,15.0,nM,,in_vivo,10.1038/s41598-020-65849-6,Simple ammonium salts acting on sigma-1 receptors yield potential treatments for cancer and depression,2020,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,Abstract snippet: Sigma-1 and sigma-2 receptors are emerging therapeutic targets. We have identified that simple ammonium salts bind to these receptors and are effective in vivo. Radioliga,preclinical_study,James Michael Brimson; Kiran Kumar Akula; Haider Abbas; David Ferry; Shrinivas K. Kulkarni; Steven Thomas Russell; Michael J. Tisdale; Tewin Tencomnao; Stephen T. Safrany,primary_results
MDA,Sigma-2 receptor (TMEM97),radioligand binding,Ki,15.0,nM,,in_vivo,10.1038/s41598-020-65849-6,Simple ammonium salts acting on sigma-1 receptors yield potential treatments for cancer and depression,2020,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,Abstract snippet: Sigma-1 and sigma-2 receptors are emerging therapeutic targets. We have identified that simple ammonium salts bind to these receptors and are effective in vivo. Radioliga,preclinical_study,James Michael Brimson; Kiran Kumar Akula; Haider Abbas; David Ferry; Shrinivas K. Kulkarni; Steven Thomas Russell; Michael J. Tisdale; Tewin Tencomnao; Stephen T. Safrany,primary_results
DOI,5-HT2A,functional assay,Other,10.0,uM,,in_vitro,10.1038/s41598-020-78595-6,Serotonin 2A (5-HT2A) receptor affects cell–matrix adhesion and the formation and maintenance of stress fibers in HEK293 cells,2020,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,"Abstract snippet: 5-HT<sub>2A,</sub> a G-protein coupled receptor, is widely expressed in the human body, including in the gastrointestinal tract, platelets and the nervous system. It medi",preclinical_study,Joe Anand Kumar John Jayakumar; Mitradas M. Panicker; Basudha Basu,primary_results
MDMA,SERT (SLC6A4),uptake inhibition,IC50,172.0,M,,in_vitro,10.1038/s41598-024-56712-z,"5-HT_FAsTR: a versatile, label-free, high-throughput, fluorescence-based microplate assay to quantify serotonin transport and release",2024,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,Abstract snippet: The neurotransmitter serotonin plays a pivotal role in mood and depression. It also acts as a vasoconstrictor within blood vessels and is the main neurotransmitter in the,preclinical_study,Lina Bukowski; M. Ström; Jens Lindengren Andersen; Jannick Bang Maesen; Lin Tian; Steffen Sinning,primary_results
Noribogaine,DAT (SLC6A3),uptake inhibition,Other,4.0,uM,,in_vitro,10.1038/s44321-026-00381-0,Alpha-methyl-para-tyrosine and amphetamine ameliorate hyperactivity in a novel mouse model of dopamine transporter deficiency syndrome,2026,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,"Abstract snippet: The dopamine transporter is essential for dopamine homeostasis maintenance. Therefore, single amino acid changes in its gene can be sufficient to induce disease, such as",preclinical_study,Emma E. Russo; Ameneh Rezayof; Conner W. Wallace; Erin Q. Williams; Pieter Beerepoot; Marija Milenkovic; Maria Novalen; Aled Blundell; Tatiana V. Lipina; Jason Locke,primary_results
LSD,5-HT7,radioligand binding,Kd,186.0,M,,in_vitro,10.1038/sj.bjp.0702293,[<sup>3</sup>H]‐Mesulergine labels 5‐HT<sub>7</sub> sites in rat brain and guinea‐pig ileum but not rat jejunum,1999,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,Abstract snippet: 1. The primary aim of this investigation was to determine whether binding sites corresponding to the 5-HT7 receptor could be detected in smooth muscle of the rat jejunum.,preclinical_study,Maggie Hemedah; Ian M Coupar; Fred J Mitchelson,primary_results
MDMA,SERT (SLC6A4),radioligand binding,Other,967.0,pM,,in_vitro,10.1038/sj.bjp.0704961,"Functional consequences of perinatal exposure to3,4‐methylenedioxymethamphetamine in rat brain",2002,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,"Abstract snippet: 1. In this study we have examined methylenedioxymethamphetamine (MDMA)-induced toxicity in perinatal rat brain, related this to normal development of serotonin transporte",preclinical_study,Paul A T Kelly; Isobel M Ritchie; Linda Quate; Douglas E McBean; Henry J Olverman,primary_results
MDMA,SERT,uptake inhibition,IC50,3.0,mM,,in_vitro,10.1038/sj.bjp.0707473,"Comparative potencies of 3,4‐methylenedioxymethamphetamine (MDMA) analogues as inhibitors of [<sup>3</sup>H]noradrenaline and [<sup>3</sup>H]5‐HT transport in mammalian cell lines",2007,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,"Abstract snippet: Background and purpose: Illegal ‘ecstasy’ tablets frequently contain 3,4‐methylenedioxymethamphetamine (MDMA)‐like compounds of unknown pharmacological activity. Since mo",preclinical_study,T Montgomery; C Buon; S Eibauer; P J Guiry; A K Keenan; G J McBean,primary_results
MDMA,SERT (SLC6A4),uptake inhibition,IC50,3.0,mM,,in_vitro,10.1038/sj.bjp.0707473,"Comparative potencies of 3,4‐methylenedioxymethamphetamine (MDMA) analogues as inhibitors of [<sup>3</sup>H]noradrenaline and [<sup>3</sup>H]5‐HT transport in mammalian cell lines",2007,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,"Abstract snippet: Background and purpose: Illegal ‘ecstasy’ tablets frequently contain 3,4‐methylenedioxymethamphetamine (MDMA)‐like compounds of unknown pharmacological activity. Since mo",preclinical_study,T Montgomery; C Buon; S Eibauer; P J Guiry; A K Keenan; G J McBean,primary_results
Ketamine,NMDA receptor,radioligand binding,Ki,3500.0,nM,,in_vitro,10.1038/sj.bjp.0707638,"Synergistic depression of NMDA receptor‐mediated transmission by ketamine, ketoprofen and<scp>L</scp>‐NAME combinations in neonatal rat spinal cords<i>in vitro</i>",2007,medium,doi,Auto-generated stub from DOI queue; Abstract-first autofill from paper metadata; Full-text PDF autofill for mechanistic affinity fields,primary_study,full_text_seen,text,"Abstract snippet: All three combinations synergistically depressed nociceptive spinal transmission, and both ketamine and ketoprofen and ketamine and L-NAME combinations did so with potent",preclinical_study,I Lizarraga; J P Chambers; C B Johnson,primary_results
