# combined discovered DOI queue (mechanistic) generated at 2026-05-15T06:41:08.576758+00:00
# doi,compound,target,optional_study_title,optional_study_year,optional_authors
10.1007/s13205-025-04673-z,,,Neuropharmacology of synaptic plasticity: pathways to cognitive resilience in healthy aging,2026,Falguni Goel; Payal Singh; Sachchida Nand; Dharmendra Kumar Yadav
10.3390/ph16010068,,,"Psilocybin for Depression: From Credibility to Feasibility, What’s Missing?",2022,Antonio Munafò; Davide Arillotta; Guido Mannaioni; Fabrizio Schifano; Renato Bernardini; Giuseppina Cantarella
10.1017/s1092852922000888,,,"Psilocybin in neuropsychiatry: a review of its pharmacology, safety, and efficacy",2022,Seetal Dodd; Trevor R. Norman; Harris A. Eyre; Stephen M. Stahl; Arnie Phillips; André F. Carvalho; Michael Berk
10.1101/2022.02.28.482395,,,Psilocybin induces spatially constrained alterations in thalamic functional organizaton and connectivity,2022,Andrew Gaddis; Daniel E. Lidstone; Mary Beth Nebel; Roland R. Griffiths; Stewart H. Mostofsky; Amanda F. Mejia; Frederick S. Barrett
10.1016/j.neuroimage.2022.119434,,,Psilocybin induces spatially constrained alterations in thalamic functional organizaton and connectivity,2022,Andrew Gaddis; Daniel E. Lidstone; Mary Beth Nebel; Roland R. Griffiths; Stewart H. Mostofsky; Amanda F. Mejia; Frederick S. Barrett
10.1016/j.neuroimage.2022.119716,,,Psilocybin modulation of time-varying functional connectivity is associated with plasma psilocin and subjective effects,2022,Anders S. Olsen; Anders Lykkebo-Valløe; Brice Ozenne; M. Madsen; Dea Siggaard Stenbæk; Sophia Armand; Morten Mørup; Melanie Ganz; Gitte M. Knudsen; Patrick M. Fisher
10.1038/s41598-022-16325-w,,,Psilocybin reduces low frequency oscillatory power and neuronal phase-locking in the anterior cingulate cortex of awake rodents,2022,Caroline T. Golden; Paul Chadderton
10.3389/fphar.2022.841648,,,Psilocybin-Induced Mystical-Type Experiences are Related to Persisting Positive Effects: A Quantitative and Qualitative Report,2022,Drummond E-Wen McCulloch; Maria Zofia Grzywacz; Martin Korsbak Madsen; Peter Steen Jensen; Brice Ozenne; Sophia Armand; Gitte M. Knudsen; Patrick M. Fisher; Dea Siggaard Stenbæk
10.1136/bmjopen-2022-066019,,,"Psilocybin-assisted therapy for reducing alcohol intake in patients with alcohol use disorder: protocol for a randomised, double-blinded, placebo-controlled 12-week clinical trial (The QUANTUM Trip Trial)",2022,Mathias Ebbesen Jensen; Dea Siggaard Stenbæk; Tobias Søgaard Juul; Patrick M. Fisher; Claus Thorn Ekstrøm; Gitte M. Knudsen; Anders Fink‐Jensen
10.3389/fnins.2022.832375,,,Psychedelic Cognition—The Unreached Frontier of Psychedelic Science,2022,Maria Bălăeţ
10.1016/j.neubiorev.2022.104689,,,Psychedelic resting-state neuroimaging: A review and perspective on balancing replication and novel analyses,2022,Drummond E-Wen McCulloch; Gitte M. Knudsen; Frederick S. Barrett; Manoj K. Doss; Robin Carhart‐Harris; Fernando E. Rosas; Gustavo Deco; Morten L. Kringelbach; Katrin H. Preller; Johannes G. Ramaekers
10.3390/ijms232315284,,,Psychedelic-Induced Serotonin 2A Receptor Downregulation Does Not Predict Swim Stress Coping in Mice,2022,Błażej D. Pędzich; Mireia Medrano; An Buckinx; Ilse Smolders; Dimitri De Bundel
10.3389/fpsyg.2022.873279,,,Psychedelics and Psychotherapy: Cognitive-Behavioral Approaches as Default,2022,David B. Yaden; Dylan Earp; Marianna Graziosi; Dara G. Friedman‐Wheeler; Jason B. Luoma; Matthew W. Johnson
10.1117/1.nph.10.1.013506,,,Psychedelics and fNIRS neuroimaging: exploring new opportunities,2022,Felix Scholkmann; Franz X. Vollenweider
10.1556/2054.2022.00218,,,Psychedelics and mindfulness: A systematic review and meta-analysis,2022,Chelsea Radakovic; Ratko Radaković; Guy Peryer; Jo‐Anne Geere
10.1186/s40345-022-00265-5,,,Psychedelics in the treatment of unipolar and bipolar depression,2022,Oliver G. Bosch; Simon Halm; Erich Seifritz
10.3389/fnbeh.2022.1035350,,,Ranking the contribution of behavioral measures comprising oxycodone self-administration to reinstatement of drug-seeking in male and female rats,2022,Suman K. Guha; Yanaira Alonso‐Caraballo; Gillian S. Driscoll; Jessica A. Babb; Megan Neal; Nicholas J. Constantino; Tania Lintz; Elizabeth Kinard; Elena H. Chartoff
10.31480/2330-4871/138,,,Recent Developments in Ischemic Stroke Prehospital Care from Stroke 120 Special Task Forces,2022,Wang Yong; Yang Liu; Zheng Kunwen; Feng Chi; Zhao Jing
10.1192/bja.2022.14,,,Recent advances in the psychopharmacology of major depressive disorder,2022,Laith Alexander; Allan H. Young
10.1038/s41392-022-01110-y,,,Regulated cell death (RCD) in cancer: key pathways and targeted therapies,2022,Peng Fu; Minru Liao; Rui Qin; Shiou Zhu; Cheng Peng; Leilei Fu; Yi Chen; Bo Han
10.5688/ajpe9171,,,"Research and Education Poster Abstracts Presented at the 123rd Annual Meeting of the American Association of Colleges of Pharmacy, July 23-27, 2022",2022,
10.3389/fnbeh.2022.852235,,,Response Flexibility: The Role of the Lateral Habenula,2022,Victoria I. Hones; Sheri J. Y. Mizumori
10.1186/s12870-022-03520-0,,,"Response characteristics of highland barley under freeze-thaw, drought and artemisinin stresses",2022,Huichen Liu; Guozhang Bao; Zihao Dou; Haoyuan Liu; Jingqi Bai; Yingyi Chen; Yifu Yuan; Xın Zhang; Jinghui Xi
10.1007/s00213-022-06104-w,,,Role of 5-HT2A receptors in the effects of ayahuasca on ethanol self-administration using a two-bottle choice paradigm in male mice,2022,Yasmim A. Serra; Thaísa Barros-Santos; Alexia Anjos-Santos; Natali D. Kisaki; Caio Jovita-Farias; João Pereira Leite; Maria Clara E. Santana; João P. S. A. Coimbra; Nailton M. S. de Jesus; Agnieszka Sulima
10.1002/phar.2707,,,Safety and effectiveness of <scp>NMDA</scp> receptor antagonists for depression: A multidisciplinary review,2022,Thomas J. Moore; Abdallah Alami; G. Caleb Alexander; Donald R. Mattison
10.1038/s41386-021-01255-4,,,Selective 5HT3 antagonists and sensory processing: a systematic review,2022,Eirini Tsitsipa; Jonathan Rogers; Sebastian Casalotti; Clara Belessiotis‐Richards; Olga Zubko; Rimona S. Weil; Robert Howard; James A. Bisby; Suzanne Reeves
10.1124/pharmrev.121.000514,,,Self-Entropic Broadening Theory: Toward a New Understanding of Self and Behavior Change Informed by Psychedelics and Psychosis,2022,Haley Maria Dourron; Camilla K. Strauss; Peter S. Hendricks
10.3389/fncel.2021.804592,,,Serotonin Receptor and Transporter Endocytosis Is an Important Factor in the Cellular Basis of Depression and Anxiety,2022,Nikita Deo; Gregory Redpath
10.3390/ijms23126515,,,Serotonin Receptors as Therapeutic Targets for Autism Spectrum Disorder Treatment,2022,Ansoo Lee; Hyunah Choo; Byungsun Jeon
10.1002/epi4.12580,,,Serotonin receptors in epilepsy: Novel treatment targets?,2022,Jo Sourbron; Lieven Lagae
10.1038/s41380-022-01843-w,,,Serotonin-releasing agents with reduced off-target effects,2022,Felix P. Mayer; Marco Niello; Daniela Cintulová; Spyridon Sideromenos; Julian Maier; Yang Li; Simon Bulling; Oliver Kudlacek; Klaus Schicker; Hideki Iwamoto
10.1101/2022.03.18.484437,,,Shared and distinct brain regions targeted for immediate early gene expression by ketamine and psilocybin,2022,Pasha A. Davoudian; Ling-Xiao Shao; Alex C. Kwan
10.3390/biom13010035,,,Short-Term Consequences of Single Social Defeat on Accumbal Dopamine and Behaviors in Rats,2022,Vsevolod V. Nemets; Alex L. Deal; В. Е. Соболев; Vladimir P. Grinevich; Raul R. Gainetdinov; Evgeny A. Budygin
10.3389/fnins.2022.964724,,,Signaling underlying kappa opioid receptor-mediated behaviors in rodents,2022,Lee‐Yuan Liu‐Chen; Peng Huang
10.1038/s41598-022-08047-w,,,Simulated visual hallucinations in virtual reality enhance cognitive flexibility,2022,Clara Rastelli; Antonino Greco; Yoed N. Kenett; Chiara Finocchiaro; Nicola De Pisapia
10.3390/plants11182404,,,"Single and Associated Effects of Drought and Heat Stresses on Physiological, Biochemical and Antioxidant Machinery of Four Eggplant Cultivars",2022,Sami Hannachi; Angelo Signore; Mohd Adnan; Lassaad Mechi
10.1101/2022.02.23.481479,,,Somatostatin Neurons in the Bed Nucleus of the Stria Terminalis Play a Sex-Dependent Role in Binge Drinking,2022,Malini Suresh Nair; Nigel C. Dao; Daniela Lopez Melean; Keith R. Griffith; William D. Starnes; J. Brody Moyer; Avery R. Sicher; Dakota F. Brockway; Kathleen D. Meeks; Nicole A. Crowley
10.1016/j.bpj.2021.11.1499,,,Structural characterization of the human serotonin transporter’s N-terminus,2022,Alexandra C. Schwartz; Hassane S. Mchaourab
10.1038/s41594-022-00772-0,,,Structural insights into binding of therapeutic channel blockers in NMDA receptors,2022,Tsung‐Han Chou; Max Epstein; Kevin Michalski; Eve Fine; Philip C. Biggin; Hiro Furukawa
10.3390/biom12081025,,,"Structures and Biological Activities of Alkaloids Produced by Mushrooms, a Fungal Subgroup",2022,Jesús G. Zorrilla; Antonio Evidente
10.4062/biomolther.2022.096,,,Structure–Activity Relationship and Evaluation of Phenethylamine and Tryptamine Derivatives for Affinity towards 5-Hydroxytryptamine Type 2A Receptor,2022,Shujie Wang; Anlin Zhu; Suresh Paudel; Choon‐Gon Jang; Yong Sup Lee; Kyeong‐Man Kim
10.1038/s41386-022-01361-x,,,Sustained effects of single doses of classical psychedelics in humans,2022,Gitte M. Knudsen
10.1038/s41386-022-01370-w,,,"Synaptic plasticity and mental health: methods, challenges and opportunities",2022,Lawrence G. Appelbaum; Mohammad Ali Shenasa; Louise A. Stolz; Zafiris J. Daskalakis
10.3390/molecules28010265,,,Synthesis and Antiproliferative Activity against Cancer Cells of Indole-Aryl-Amide Derivatives,2022,Junwei Zhao; Jacopo Carbone; Giovanna Farruggia; Anna Janecka; Luca Gentilucci; Natalia Calonghi
10.3390/molecules27248808,,,Synthesis and Pharmacological Evaluation of Enantiopure N-Substituted Ortho-c Oxide-Bridged 5-Phenylmorphans,2022,Fuying Li; Theresa Kopajtic; Jonathan L. Katz; Dan Luo; Thomas E. Prisinzano; Gregory H. Imler; Jeffrey R. Deschamps; Arthur E. Jacobson; Kenner C. Rice
10.26434/chemrxiv-2022-cs8v5,,,Synthesis and target annotation of GB18,2022,Stone Woo; Ryan A. Shenvi
10.1038/s41586-022-04840-9,,,Synthesis and target annotation of the alkaloid GB18,2022,Stone Woo; Ryan A. Shenvi
10.1016/j.tet.2022.133064,,,Synthesis of psychotropic alkaloids from Galbulimima,2022,Stone Woo; Eleanor M. Landwehr; Ryan A. Shenvi
10.3390/molecules27072057,,,"Synthetic Cathinones: Recent Developments, Enantioselectivity Studies and Enantioseparation Methods",2022,Ana Sofia Almeida; Bárbara Silva; Paula Guedes de Pinho; Fernando Remião; Carla Fernandes
10.1172/jci158545,,,TIAM1-mediated synaptic plasticity underlies comorbid depression–like and ketamine antidepressant–like actions in chronic pain,2022,Qin Ru; Yungang Lu; Ali Bin Saifullah; Francisco A. Blanco; Changqun Yao; Juan P. Cata; De‐Pei Li; Kimberley F. Tolias; Lingyong Li
10.3389/fpain.2022.872696,,,Targeting Affective Mood Disorders With Ketamine to Prevent Chronic Postsurgical Pain,2022,Dianna E. Willis; Peter A. Goldstein
10.3389/fphar.2022.805986,,,The Chemical and Pharmacological Properties of Mitragynine and Its Diastereomers: An Insight Review,2022,Thiruventhan Karunakaran; Kok Zhuo Ngew; Ahmad Alif Danial Zailan; Vivien Yi Mian Jong; Mohamad Hafizi Abu Bakar
10.3390/cells11071110,,,The DREADDful Hurdles and Opportunities of the Chronic Chemogenetic Toolbox,2022,Marie Claes; Lies De Groef; Lieve Moons
10.1016/j.jpain.2022.09.013,,,The Delta-Opioid Receptor Bidirectionally Modulates Itch,2022,Kelly M. Smith; Eileen Nguyen; Sarah E. Ross
10.3390/ijms23073565,,,The Involvement of the Endogenous Opioid System in the Gastrointestinal Aging in Mice and Humans,2022,Agata Szymaszkiewicz; Marcin Talar; Jakub Włodarczyk; Mikołaj Świerczyński; Adrian Bartoszek; Julia Krajewska; Anna Mokrowiecka; Ewa Małecka‐Panas; Jakub Fichna; Marta Zielińska
10.31235/osf.io/vmakg,,,The Ontological Status of Visions and Hallucinations.,2022,Richard Michael Blaber
10.3390/neurolint14020025,,,The Possible Application of Ketamine in the Treatment of Depression in Alzheimer’s Disease,2022,Islam Mohammad Shehata; Waniyah Masood; Nouran Ehab Nemr; Alexandra Anderson; Kamal Bhusal; Amber N. Edinoff; Elyse M. Cornett; Adam M. Kaye; Alan D. Kaye
10.3390/psychoactives1020006,,,The Role of the Dynorphin/Kappa Opioid Receptor System in the Actions of Alcohol,2022,Keerthana Sureshkumar; Juliane Go; Michelle Tran; Sagunya Malhotra; Syed Muzzammil Ahmad; Kabirullah Lutfy
10.20944/preprints202208.0419.v1,,,The Role of the Dynorphin/Kappa Opioid Receptor System in the Actions of Alcohol,2022,Keerthana Sureshkumar; Julian Guo; Michelle Tran; Sagunya Malhotra; Syed Muzzammil Ahmad; Kabirullah Lutfy
10.1038/s41380-022-01661-0,,,The Serotonin Theory of Depression: A Systematic Umbrella Review of the Evidence,2022,Joanna Moncrieff; Ruth Cooper; Tom Stockmann; Simone Amendola; Michael P. Hengartner; Mark Horowitz
10.1016/j.jpainsymman.2022.01.024,,,The Therapeutic Potential of Psychedelic-assisted Therapies for Symptom Control in Patients Diagnosed With Serious Illness: A Systematic Review,2022,Lucas Oliveira Maia; Yvan Beaussant; Ana Cláudia Mesquita Garcia
10.1002/hup.2832,,,The chemical induction of synaesthesia,2022,David P. Luke; Laura Lungu; Ross Friday; Devin B. Terhune
10.1101/2022.08.09.503338,,,The delta-opioid receptor bidirectionally modulates itch,2022,Kelly M. Smith; Eileen Nguyen; Sarah E. Ross
10.1016/j.bbr.2022.113804,,,The safety and efficacy of ketamine NMDA receptor blocker as a therapeutic intervention for PTSD review of a randomized clinical trial,2022,Wisam Al Jumaili; Chintan Trivedi; Timothy Chao; Aaron Kubosumi; Shailesh Jain
10.1080/14740338.2022.2047929,,,The therapeutic potential of psilocybin: a systematic review,2022,Jan van Amsterdam; Wim van den Brink
10.3389/fphar.2022.988648,,,The treatment of depression — searching for new ideas,2022,Katarzyna Stachowicz; Magdalena Sowa-Kućma
10.1007/s00213-022-06142-4,,,"The use patterns of novel psychedelics: experiential fingerprints of substituted phenethylamines, tryptamines and lysergamides",2022,Pablo Mallaroni; Natasha L. Mason; Frederick Vinckenbosch; Johannes G. Ramaekers
10.1177/02698811221127954,,,Therapeutic (Sub)stance: Current practice and therapeutic conduct in preparatory sessions in substance-assisted psychotherapy—A systematized review,2022,Sascha Thal; Michelle Wieberneit; Jason M. Sharbanee; Petra Skeffington; Paris Baker; Raimondo Bruno; Tobias Wenge; Stephen Bright
10.31480/2330-4871/158,,,Therapeutic Potential of Salvinorin A and Its Analogues in Various Neurological Disorders,2022,Cichon Joseph; Renyu Liu; Hoang V. Le
10.1007/s00213-021-06046-9,,,Therapeutic effect of an ayahuasca analogue in clinically depressed patients: a longitudinal observational study,2022,Kim van Oorsouw; Stefan W. Toennes; Johannes G. Ramaekers
10.3389/fpsyt.2022.1040217,,,Therapeutic use of psilocybin: Practical considerations for dosing and administration,2022,Caroline A. MacCallum; Lindsay A. Lo; Carly A. Pistawka; Jagpaul Kaur Deol
10.1177/02698811221140009,,,Therapeutic uses of psychedelics for eating disorders and body dysmorphic disorder,2022,Nicole Ledwos; Justyne D. Rodas; Muhammad Ishrat Husain; Jamie D. Feusner; David Castle
10.1021/acschemneuro.2c00170,,,Tolerance and Cross-Tolerance among Psychedelic and Nonpsychedelic 5-HT<sub>2A</sub> Receptor Agonists in Mice,2022,Mario de la Fuente Revenga; Alaina M. Jaster; John McGinn; Gabriella Silva; Somdatta Saha; Javier González‐Maeso
10.3390/jcm11040938,,,Trajectory of Antidepressant Effects after Single- or Two-Dose Administration of Psilocybin: A Systematic Review and Multivariate Meta-Analysis,2022,Chia‐Ling Yu; Chih‐Sung Liang; Fu‐Chi Yang; Yu‐Kang Tu; Chih‐Wei Hsu; André F. Carvalho; Brendon Stubbs; Trevor Thompson; Chia‐Kuang Tsai; Ta‐Chuan Yeh
10.3390/life12111707,,,Trauma and Remembering: From Neuronal Circuits to Molecules,2022,Szabolcs Kéri
10.3389/fphar.2022.856672,,,Traumatic Stress-Induced Vulnerability to Addiction: Critical Role of the Dynorphin/Kappa Opioid Receptor System,2022,Claire Leconte; Raymond Mongeau; Florence Noble
10.3390/psychoactives1010003,,,Tripping to Cope: Coping Strategies and Use of Hallucinogens during the COVID-19 Pandemic in Three Cultural Contexts,2022,Genís Oña; Dóra Révész; Maja Kohek; Giordano Novak Rossi; Juliana Mendes Rocha; Rafael G. dos Santos; Jaime E. C. Hallak; Miguel Ángel Alcázar‐Córcoles; José Carlos Bouso
10.3390/ijms23158493,,,Tryptophan Metabolism in Depression: A Narrative Review with a Focus on Serotonin and Kynurenine Pathways,2022,Ana Salomé Correia; Nuno Vale
10.7717/peerj.12859,,,Uptake of a plasticizer (di-n-butyl phthalate) impacts the biochemical and physiological responses of barley,2022,Arpna Kumari; Rajinder Kaur
10.1007/s00213-022-06279-2,,,"Use of the head-twitch response to investigate the structure–activity relationships of 4-thio-substituted 2,5-dimethoxyphenylalkylamines",2022,Adam L. Halberstadt; Dino Luethi; Marius C. Hoener; Daniel Trachsel; Simon D. Brandt; Matthias E. Liechti
10.1038/s41380-022-01502-0,,,Validation of ketamine as a pharmacological model of thalamic dysconnectivity across the illness course of schizophrenia,2022,Samantha V. Abram; Brian J. Roach; Susanna L. Fryer; Vince D. Calhoun; Adrian Preda; Theo G.M. van Erp; Juan Bustillo; Kelvin O. Lim; Rachel Loewy; Barbara K. Stuart
10.1038/s41598-022-14165-2,,,"Validation of the forced swim test in Drosophila, and its use to demonstrate psilocybin has long-lasting antidepressant-like effects in flies",2022,Meghan Hibicke; Charles D. Nichols
10.21203/rs.3.rs-2286430/v1,,,Ventral striatal islands of Calleja neurons bidirectionally mediate depression-like behaviors in mice,2022,Yun Feng Zhang; Yingqi Wang; Natalie L. Johnson; Janardhan P. Bhattarai; Camilo Guevara Espitia; Hannah Shoenhard; Marc V. Fuccillo; Daniel W. Wesson; Minghong Ma
10.1007/s11064-022-03728-4,,,"Vitamin D (VD3) Intensifies the Effects of Exercise and Prevents Alterations of Behavior, Brain Oxidative Stress, and Neuroinflammation, in Hemiparkinsonian Rats",2022,Roberta Oliveira da Costa; Carlos Vinicius Jataí Gadelha-Filho; Peter Aquino; Ludmila Araújo Rodrigues Lima; Jalles Dantas de Lucena; Wesley Lyeverton Correia Ribeiro; Francisco Arnaldo Viana Lima; Kelly Rose Tavares Neves; Glauce Socorro de Barros Viana
10.1039/d1na00880c,,,"ZnO nanostructured materials and their potential applications: progress, challenges and perspectives",2022,Sauvik Raha; Md. Ahmaruzzaman
10.1038/s41386-021-01221-0,,,(2-Aminopropyl)benzo[β]thiophenes (APBTs) are novel monoamine transporter ligands that lack stimulant effects but display psychedelic-like activity in mice,2021,Deborah Rudin; John D. McCorvy; Grant C. Glatfelter; Dino Luethi; Dániel Szöllősi; Tea Ljubišić; Pierce V. Kavanagh; Geraldine Dowling; Marion Holy; Kathrin Jaentsch
10.3389/fnins.2021.625471,,,100 Hz Electroacupuncture Alleviated Chronic Itch and GRPR Expression Through Activation of Kappa Opioid Receptors in Spinal Dorsal Horn,2021,Hongping Li; Xiaoyu Wang; Chao Chen; Jinɡjinɡ Li; Chi Yu; Lixue Lin; Zi-E Yu; Zhiyuan Jin; He Zhu; Hong-Chun Xiang
10.3390/metabo11040212,,,"25CN-NBOMe Metabolites in Rat Urine, Human Liver Microsomes and C. elegans—Structure Determination and Synthesis of the Most Abundant Metabolites",2021,Anna Šuláková; Jitka Nykodemová; Petr Palivec; Radek Jurok; Silvie Rimpelová; Tereza Leonhardt; Klára Šíchová; Tomáš Páleníček; Martin Kuchař
10.1002/cmdc.202100395,,,25CN‐NBOH: A Selective Agonist for in vitro and in vivo Investigations of the Serotonin 2A Receptor,2021,Emil Märcher-Rørsted; Anders A. Jensen; Jesper L. Kristensen
10.3390/metabo11110775,,,"2C-B-Fly-NBOMe Metabolites in Rat Urine, Human Liver Microsomes and C. elegans: Confirmation with Synthesized Analytical Standards",2021,Jitka Nykodemová; Anna Šuláková; Petr Palivec; Hedvika Češková; Silvie Rimpelová; Klára Šíchová; Tereza Leonhardt; Bronislav Jurásek; Kateřina Hájková; Tomáš Páleníček
10.3390/f12081112,,,5-Aminolevulinic Acid Pretreatment Mitigates Drought and Salt Stresses in Poplar Plants,2021,Zhiyin Jiao; Shuo Han; Xiao Yu; Mengbo Huang; Conglong Lian; Chao Liu; Weilun Yin; Xinli Xia
10.7759/cureus.15811,,,"5-HT1A and 5-HT2A Signaling, Desensitization, and Downregulation: Serotonergic Dysfunction and Abnormal Receptor Density in Schizophrenia and the Prodrome",2021,Sun A Kim
10.1016/bs.pbr.2021.01.007,,,5-HT2A and 5-HT2C receptors as potential targets for the treatment of nicotine use and dependence,2021,Guy A. Higgins; Edward M. Sellers
10.26434/chemrxiv.14204834.v1,,,"6,5-Fused Ring, C2-Salvinorin Ester, Dual Kappa and Mu Opioid Receptor Agonists as Analgesics Devoid of Anxiogenic Effects",2021,Nicholas S. Akins; Nisha Mishra; Hannah M. Harris; Narendar Dudhipala; Seong Jong Kim; Adam W. Keasling; Soumyajit Majumdar; Jordan K. Zjawiony; Nicole M. Ashpole; Hoang V. Le
10.1002/mdc3.13344,,,<scp>MPTP</scp> Parkinsonism and Implications for Understanding Parkinson's Disease,2021,Sohaila Alshimemeri; Daniel G. Di Luca; Susan H. Fox
10.1093/ijnp/pyab040,,,A Complex Impact of Systemically Administered 5-HT2A Receptor Ligands on Conditioned Fear,2021,Sven Melker Hagsäter; Robert Pettersson; Christopher Pettersson; Daniela Atanasovski; Jakob Näslund; Elias Eriksson
10.1002/chem.202100560,,,A Protecting‐Group‐Free Synthesis of (−)‐Salvinorin A,2021,Patrick Zimdars; Yuzhou Wang; Peter Metz
10.1016/j.ntt.2021.106993,,,"A comparison of the pharmacokinetics and NMDAR antagonism-associated neurotoxicity of ketamine, (2R,6R)-hydroxynorketamine and MK-801",2021,Patrick J. Morris; Richard Burke; Alok Sharma; Daniel C. Lynch; Leslie E. Lemke-Boutcher; Shiny Mathew; Ikram Elayan; Deepa B. Rao; Todd D. Gould; Carlos A. Zarate
10.1038/s41598-021-87513-3,,,A neoclerodane orthoester and other new neoclerodane diterpenoids from Teucrium yemense chemistry and effect on secretion of insulin,2021,Mohammad Nur‐e‐Alam; Ifat Parveen; Barrie Wilkinson; Sarfaraz Ahmed; Rahman M. Hafizur; Ahmed Bari; Timothy J. Woodman; Michael D. Threadgill; Adnan J. Al‐Rehaily
10.1101/2021.04.22.440994,,,A novel mitragynine analog with low efficacy mu-opioid receptor agonism displays antinociception with attenuated adverse effects,2021,Soumen Chakraborty; Jeffrey F. DiBerto; Abdelfattah Faouzi; Sarah M. Bernhard; Anna M. Gutridge; Steven Ramsey; Yuchen Zhou; Davide Provasi; Nitin Nuthikattu; Rahul Jilakara
10.1007/s00213-021-05817-8,,,"A placebo-controlled study of the effects of ayahuasca, set and setting on mental health of participants in ayahuasca group retreats",2021,Malin V. Uthaug; Natasha L. Mason; Stefan W. Toennes; Johannes T. Reckweg; E. B. de Sousa Fernandes Perna; Kim P. C. Kuypers; Kim van Oorsouw; Jordi Riba; Johannes G. Ramaekers
10.3390/antiox10020277,,,"Abiotic Stress and Reactive Oxygen Species: Generation, Signaling, and Defense Mechanisms",2021,Swati Sachdev; Shamim Akhtar Ansari; Mohammad Israil Ansari; Masayuki Fujita; Mirza Hasanuzzaman
10.1002/cpt.2487,,,"Acute Effects of Psilocybin After Escitalopram or Placebo Pretreatment in a Randomized, Double‐Blind, Placebo‐Controlled, Crossover Study in Healthy Subjects",2021,A. Becker; Friederike Holze; Tanja Grandinetti; Aaron Klaiber; Vanja E. Toedtli; Karolina E. Kolaczynska; Urs Duthaler; Nimmy Varghese; Anne Eckert; Edna Grünblatt
10.1186/s43094-021-00341-0,,,Advances in the molecular understanding of G protein-coupled receptors and their future therapeutic opportunities,2021,Daniel N. Obot; Godswill J. Udom; Anwanabasi E. Udoh; Nkechi J. Onyeukwu; Ayobami J. Olusola; Ikanke M. Udoh; Israel Kevin Umana; Omoniyi K. Yemitan; Jude E. Okokon
10.1093/braincomms/fcab029,,,Alterations in dopamine system and in its connectivity with serotonin in a rat model of Alzheimer’s disease,2021,Kelly Ceyzériat; Yesica Gloria; Stergios Tsartsalis; Christine Fossey; Thomas Cailly; Frédéric Fabis; P. Millet; Benjamin B. Tournier
10.1371/journal.pone.0253779,,,Altered states phenomena induced by visual flicker light stimulation,2021,Marie Therese Bartossek; Johanna Kemmerer; Timo Torsten Schmidt
10.1016/j.sajb.2021.07.034,,,"Ameliorating effects of hydrogen sulfide on growth, physiological and biochemical characteristics of eggplant seedlings under salt stress",2021,Melek Ekinci; Ertan Yıldırım; Metin Turan
10.21203/rs.3.rs-933822/v1,,,Amitriptyline Accelerates SERT Binding Recovery Rate in MDMA-Induced Rat Model: In Vivo 4-[18F]-ADAM PET Imaging,2021,Skye Hsin‐Hsien Yeh; Chuang‐Hsin Chiu; Yu-Yeh Kuo; Chi-Jung Tsai; Tsung-Hsun Yu; Wen-Sheng Huang; Kuo‐Hsing Ma
10.1038/s41401-021-00677-6,,,Amygdala dynorphin/κ opioid receptor system modulates depressive-like behavior in mice following chronic social defeat stress,2021,Gui‐Ying Zan; Xiang Sun; Yujun Wang; Rui Liu; Chen-yao Wang; Weijia Du; Liubin Guo; Jing‐Rui Chai; Qinglin Li; Zhi-qiang Liu
10.3389/fpsyg.2021.720717,,,An Encounter With the Other: A Thematic and Content Analysis of DMT Experiences From a Naturalistic Field Study,2021,Pascal Michael; David Luke; Oliver Robinson
10.1007/s11013-021-09749-y,,,Ancient Roots of Today’s Emerging Renaissance in Psychedelic Medicine,2021,Daniel R. George; Ryan Hanson; Darryl Wilkinson; Albert Garcia‐Romeu
10.3390/diagnostics11010123,,,Animal Models of Depression: What Can They Teach Us about the Human Disease?,2021,Maria Becker; Albert Pinhasov; Asher Ornoy
10.1038/s41598-021-93787-4,,,Associations between lifetime classic psychedelic use and cardiometabolic diseases,2021,Otto Simonsson; Walter Osika; Robin Carhart‐Harris; Peter S. Hendricks
10.1177/0269881121996863,,,Associations between lifetime classic psychedelic use and markers of physical health,2021,Otto Simonsson; James Sexton; Peter S. Hendricks
10.26434/chemrxiv-2021-rtxqf,,,Asymmetric syntheses of (+)- and (–)-collybolide enable reevaluation of kappa-opioid receptor agonism,2021,Sophia L. Shevick; Stephan Freeman; Guanghu Tong; Robin Russo; Laura Bohn; Ryan A. Shenvi
10.7554/elife.69320.sa2,,,Author response: Transcriptomics-informed large-scale cortical model captures topography of pharmacological neuroimaging effects of LSD,2021,Joshua B. Burt; Katrin H. Preller; Murat Demirtaş; Jie Lisa Ji; John H. Krystal; Franz X. Vollenweider; Alan Anticevic; John D. Murray
10.1038/s41598-021-81552-6,,,Behavioral arrest and a characteristic slow waveform are hallmark responses to selective 5-HT2A receptor activation,2021,April Contreras; Matthew Khumnark; Rochelle M. Hines; Dustin J. Hines
10.3390/biom11091361,,,Beyond the GFAP-Astrocyte Protein Markers in the Brain,2021,Agnieszka M. Jurga; Martyna Paleczna; Justyna Kadłuczka; Katarzyna Kuter
10.1007/s42452-021-04505-8,,,Bias-inducing allosteric binding site in mu-opioid receptor signaling,2021,Andrés F. Marmolejo-Valencia; Abraham Madariaga‐Mazón; Karina Martínez‐Mayorga
